region,sector,product
East,Packaging,Other Thermoplastics
East,Packaging,PUR
East,Packaging,Other Plastics
East,PET beverage bottles,"PE-LD, -LLD"
East,PET beverage bottles,"PE-HD, -MD"
East,PET beverage bottles,PP
East,PET beverage bottles,PS
East,PET beverage bottles,PS-E
East,PET beverage bottles,PVC
East,PET beverage bottles,PET
East,PET beverage bottles,"ABS, SAN"
East,PET beverage bottles,PMMA
East,PET beverage bottles,"PA (PA6, PA66)"
East,PET beverage bottles,PC
East,PET beverage bottles,Other Thermoplastics
East,PET beverage bottles,PUR
East,PET beverage bottles,Other Plastics
East,PET other packaging,"PE-LD, -LLD"
East,PET other packaging,"PE-HD, -MD"
East,PET other packaging,PP
East,PET other packaging,PS
East,PET other packaging,PS-E
East,PET other packaging,PVC
East,PET other packaging,PET
East,PET other packaging,"ABS, SAN"
East,PET other packaging,PMMA
East,PET other packaging,"PA (PA6, PA66)"
East,PET other packaging,PC
East,PET other packaging,Other Thermoplastics
East,PET other packaging,PUR
East,PET other packaging,Other Plastics
East,PUR boards and panels rigid foam,"PE-LD, -LLD"
East,PUR boards and panels rigid foam,"PE-HD, -MD"
East,PUR boards and panels rigid foam,PP
East,PUR boards and panels rigid foam,PS
East,PUR boards and panels rigid foam,PS-E
East,PUR boards and panels rigid foam,PVC
East,PUR boards and panels rigid foam,PET
East,PUR boards and panels rigid foam,"ABS, SAN"
East,PUR boards and panels rigid foam,PMMA
East,PUR boards and panels rigid foam,"PA (PA6, PA66)"
East,PUR boards and panels rigid foam,PC
East,PUR boards and panels rigid foam,Other Thermoplastics
East,PUR boards and panels rigid foam,PUR
East,PUR boards and panels rigid foam,Other Plastics
East,PUR moulded automotive,"PE-LD, -LLD"
East,PUR moulded automotive,"PE-HD, -MD"
East,PUR moulded automotive,PP
East,PUR moulded automotive,PS
East,PUR moulded automotive,PS-E
East,PUR moulded automotive,PVC
East,PUR moulded automotive,PET
East,PUR moulded automotive,"ABS, SAN"
East,PUR moulded automotive,PMMA
East,PUR moulded automotive,"PA (PA6, PA66)"
East,PUR moulded automotive,PC
East,PUR moulded automotive,Other Thermoplastics
East,PUR moulded automotive,PUR
East,PUR moulded automotive,Other Plastics
East,PUR moulded furniture,"PE-LD, -LLD"
East,PUR moulded furniture,"PE-HD, -MD"
East,PUR moulded furniture,PP
East,PUR moulded furniture,PS
East,PUR moulded furniture,PS-E
East,PUR moulded furniture,PVC
East,PUR moulded furniture,PET
East,PUR moulded furniture,"ABS, SAN"
East,PUR moulded furniture,PMMA
East,PUR moulded furniture,"PA (PA6, PA66)"
East,PUR moulded furniture,PC
East,PUR moulded furniture,Other Thermoplastics
East,PUR moulded furniture,PUR
East,PUR moulded furniture,Other Plastics
East,PUR others in Automotive,"PE-LD, -LLD"
East,PUR others in Automotive,"PE-HD, -MD"
East,PUR others in Automotive,PP
East,PUR others in Automotive,PS
East,PUR others in Automotive,PS-E
East,PUR others in Automotive,PVC
East,PUR others in Automotive,PET
East,PUR others in Automotive,"ABS, SAN"
East,PUR others in Automotive,PMMA
East,PUR others in Automotive,"PA (PA6, PA66)"
East,PUR others in Automotive,PC
East,PUR others in Automotive,Other Thermoplastics
East,PUR others in Automotive,PUR
East,PUR others in Automotive,Other Plastics
East,PUR others in Others,"PE-LD, -LLD"
East,PUR others in Others,"PE-HD, -MD"
East,PUR others in Others,PP
East,PUR others in Others,PS
East,PUR others in Others,PS-E
East,PUR others in Others,PVC
East,PUR others in Others,PET
East,PUR others in Others,"ABS, SAN"
East,PUR others in Others,PMMA
East,PUR others in Others,"PA (PA6, PA66)"
East,PUR others in Others,PC
East,PUR others in Others,Other Thermoplastics
East,PUR others in Others,PUR
East,PUR others in Others,Other Plastics
East,PUR rigid spray foam,"PE-LD, -LLD"
East,PUR rigid spray foam,"PE-HD, -MD"
East,PUR rigid spray foam,PP
East,PUR rigid spray foam,PS
East,PUR rigid spray foam,PS-E
East,PUR rigid spray foam,PVC
East,PUR rigid spray foam,PET
East,PUR rigid spray foam,"ABS, SAN"
East,PUR rigid spray foam,PMMA
East,PUR rigid spray foam,"PA (PA6, PA66)"
East,PUR rigid spray foam,PC
East,PUR rigid spray foam,Other Thermoplastics
East,PUR rigid spray foam,PUR
East,PUR rigid spray foam,Other Plastics
East,PUR slabstock furniture,"PE-LD, -LLD"
East,PUR slabstock furniture,"PE-HD, -MD"
East,PUR slabstock furniture,PP
East,PUR slabstock furniture,PS
East,PUR slabstock furniture,PS-E
East,PUR slabstock furniture,PVC
East,PUR slabstock furniture,PET
East,PUR slabstock furniture,"ABS, SAN"
East,PUR slabstock furniture,PMMA
East,PUR slabstock furniture,"PA (PA6, PA66)"
East,PUR slabstock furniture,PC
East,PUR slabstock furniture,Other Thermoplastics
East,PUR slabstock furniture,PUR
East,PUR slabstock furniture,Other Plastics
East,PUR slabstock mattresses,"PE-LD, -LLD"
East,PUR slabstock mattresses,"PE-HD, -MD"
East,PUR slabstock mattresses,PP
East,PUR slabstock mattresses,PS
East,PUR slabstock mattresses,PS-E
East,PUR slabstock mattresses,PVC
East,PUR slabstock mattresses,PET
East,PUR slabstock mattresses,"ABS, SAN"
East,PUR slabstock mattresses,PMMA
East,PUR slabstock mattresses,"PA (PA6, PA66)"
East,PUR slabstock mattresses,PC
East,PUR slabstock mattresses,Other Thermoplastics
East,PUR slabstock mattresses,PUR
East,PUR slabstock mattresses,Other Plastics
East,PVC others in B&C,"PE-LD, -LLD"
East,PVC others in B&C,"PE-HD, -MD"
East,PVC others in B&C,PP
East,PVC others in B&C,PS
East,PVC others in B&C,PS-E
East,PVC others in B&C,PVC
East,PVC others in B&C,PET
East,PVC others in B&C,"ABS, SAN"
East,PVC others in B&C,PMMA
East,PVC others in B&C,"PA (PA6, PA66)"
East,PVC others in B&C,PC
East,PVC others in B&C,Other Thermoplastics
East,PVC others in B&C,PUR
East,PVC others in B&C,Other Plastics
East,PVC pipes,"PE-LD, -LLD"
East,PVC pipes,"PE-HD, -MD"
East,PVC pipes,PP
East,PVC pipes,PS
East,PVC pipes,PS-E
East,PVC pipes,PVC
East,PVC pipes,PET
East,PVC pipes,"ABS, SAN"
East,PVC pipes,PMMA
East,PVC pipes,"PA (PA6, PA66)"
East,PVC pipes,PC
East,PVC pipes,Other Thermoplastics
East,PVC pipes,PUR
East,PVC pipes,Other Plastics
East,PVC profiles,"PE-LD, -LLD"
East,PVC profiles,"PE-HD, -MD"
East,PVC profiles,PP
East,PVC profiles,PS
East,PVC profiles,PS-E
East,PVC profiles,PVC
East,PVC profiles,PET
East,PVC profiles,"ABS, SAN"
East,PVC profiles,PMMA
East,PVC profiles,"PA (PA6, PA66)"
East,PVC profiles,PC
East,PVC profiles,Other Thermoplastics
East,PVC profiles,PUR
East,PVC profiles,Other Plastics
EU27+3,Agriculture,"PE-LD, -LLD"
EU27+3,Agriculture,"PE-HD, -MD"
EU27+3,Agriculture,PP
EU27+3,Agriculture,PS
EU27+3,Agriculture,PS-E
EU27+3,Agriculture,PVC
EU27+3,Agriculture,PET
EU27+3,Agriculture,"ABS, SAN"
EU27+3,Agriculture,PMMA
EU27+3,Agriculture,"PA (PA6, PA66)"
EU27+3,Agriculture,PC
EU27+3,Agriculture,Other Thermoplastics
EU27+3,Agriculture,PUR
EU27+3,Agriculture,Other Plastics
EU27+3,Automotive,"PE-HD, -MD"
EU27+3,Automotive,PP
EU27+3,Automotive,PS
EU27+3,Automotive,PS-E
EU27+3,Automotive,PVC
EU27+3,Automotive,PET
EU27+3,Automotive,"ABS, SAN"
EU27+3,Automotive,PMMA
EU27+3,Automotive,"PA (PA6, PA66)"
EU27+3,Automotive,PC
EU27+3,Automotive,Other Thermoplastics
EU27+3,Automotive,PUR
EU27+3,Automotive,Other Plastics
EU27+3,Automotive,"PE-LD, -LLD"
EU27+3,Building and Construction,Other Plastics
EU27+3,Building and Construction,PUR
EU27+3,Building and Construction,"PE-LD, -LLD"
EU27+3,Building and Construction,"PE-HD, -MD"
EU27+3,Building and Construction,PP
EU27+3,Building and Construction,PS
EU27+3,Building and Construction,PS-E
EU27+3,Building and Construction,PVC
EU27+3,Building and Construction,PET
EU27+3,Building and Construction,"ABS, SAN"
EU27+3,Building and Construction,PMMA
EU27+3,Building and Construction,"PA (PA6, PA66)"
EU27+3,Building and Construction,PC
EU27+3,Building and Construction,Other Thermoplastics
EU27+3,Commercial & industrial packaging,"PE-LD, -LLD"
EU27+3,Commercial & industrial packaging,"PE-HD, -MD"
EU27+3,Commercial & industrial packaging,PP
EU27+3,Commercial & industrial packaging,PS-E
EU27+3,Commercial & industrial packaging,PVC
EU27+3,Commercial & industrial packaging,PET
EU27+3,Commercial & industrial packaging,PS
EU27+3,Commercial & industrial packaging,PMMA
EU27+3,Commercial & industrial packaging,"PA (PA6, PA66)"
EU27+3,Commercial & industrial packaging,PC
EU27+3,Commercial & industrial packaging,"ABS, SAN"
EU27+3,Commercial & industrial packaging,PUR
EU27+3,Commercial & industrial packaging,Other Plastics
EU27+3,Commercial & industrial packaging,Other Thermoplastics
EU27+3,Electrical and Electronics,"PE-LD, -LLD"
EU27+3,Electrical and Electronics,PP
EU27+3,Electrical and Electronics,PS
EU27+3,Electrical and Electronics,PS-E
EU27+3,Electrical and Electronics,PVC
EU27+3,Electrical and Electronics,PET
EU27+3,Electrical and Electronics,"ABS, SAN"
EU27+3,Electrical and Electronics,PMMA
EU27+3,Electrical and Electronics,"PA (PA6, PA66)"
EU27+3,Electrical and Electronics,PC
EU27+3,Electrical and Electronics,Other Thermoplastics
EU27+3,Electrical and Electronics,PUR
EU27+3,Electrical and Electronics,Other Plastics
EU27+3,Electrical and Electronics,"PE-HD, -MD"
EU27+3,EPS ETICS,"PE-LD, -LLD"
EU27+3,EPS ETICS,"PE-HD, -MD"
EU27+3,EPS ETICS,PS
EU27+3,EPS ETICS,PS-E
EU27+3,EPS ETICS,PVC
EU27+3,EPS ETICS,PP
EU27+3,EPS ETICS,"ABS, SAN"
EU27+3,EPS ETICS,PMMA
EU27+3,EPS ETICS,"PA (PA6, PA66)"
EU27+3,EPS ETICS,PET
EU27+3,EPS ETICS,Other Plastics
EU27+3,EPS ETICS,PC
EU27+3,EPS ETICS,Other Thermoplastics
EU27+3,EPS ETICS,PUR
EU27+3,EPS flat roof,PC
EU27+3,EPS flat roof,"PE-LD, -LLD"
EU27+3,EPS flat roof,"PE-HD, -MD"
EU27+3,EPS flat roof,PP
EU27+3,EPS flat roof,PS
EU27+3,EPS flat roof,PS-E
EU27+3,EPS flat roof,PVC
EU27+3,EPS flat roof,PET
EU27+3,EPS flat roof,"ABS, SAN"
EU27+3,EPS flat roof,PMMA
EU27+3,EPS flat roof,Other Thermoplastics
