region,time,sector,product
East,2040,Automotive,PVC
East,2040,Automotive,PET
East,2040,Automotive,"ABS, SAN"
East,2040,Automotive,PMMA
East,2040,Automotive,"PA (PA6, PA66)"
East,2040,Automotive,PC
East,2040,Automotive,Other Thermoplastics
East,2040,Automotive,PUR
East,2040,Automotive,Other Plastics
East,2045,Automotive,"PE-LD, -LLD"
East,2045,Automotive,"PE-HD, -MD"
East,2045,Automotive,PP
East,2045,Automotive,PS
East,2045,Automotive,PS-E
East,2045,Automotive,PVC
East,2045,Automotive,PET
East,2045,Automotive,"ABS, SAN"
East,2045,Automotive,PMMA
East,2045,Automotive,"PA (PA6, PA66)"
East,2045,Automotive,PC
East,2045,Automotive,Other Thermoplastics
East,2045,Automotive,PUR
East,2045,Automotive,Other Plastics
East,2050,Automotive,"PE-LD, -LLD"
East,2050,Automotive,"PE-HD, -MD"
East,2050,Automotive,PP
East,2050,Automotive,PS
East,2050,Automotive,PS-E
East,2050,Automotive,PVC
East,2050,Automotive,PET
East,2050,Automotive,"ABS, SAN"
East,2050,Automotive,PMMA
East,2050,Automotive,"PA (PA6, PA66)"
East,2050,Automotive,PC
East,2050,Automotive,Other Thermoplastics
East,2050,Automotive,PUR
East,2050,Automotive,Other Plastics
East,2020,Building and Construction,"PE-LD, -LLD"
East,2020,Building and Construction,"PE-HD, -MD"
East,2020,Building and Construction,PP
East,2020,Building and Construction,PS
East,2020,Building and Construction,PS-E
East,2020,Building and Construction,PVC
East,2020,Building and Construction,PET
East,2020,Building and Construction,"ABS, SAN"
East,2020,Building and Construction,PMMA
East,2020,Building and Construction,"PA (PA6, PA66)"
East,2020,Building and Construction,PC
East,2020,Building and Construction,Other Thermoplastics
East,2020,Building and Construction,PUR
East,2020,Building and Construction,Other Plastics
East,2025,Building and Construction,"PE-LD, -LLD"
East,2025,Building and Construction,"PE-HD, -MD"
East,2025,Building and Construction,PP
East,2025,Building and Construction,PS
East,2025,Building and Construction,PS-E
East,2025,Building and Construction,PVC
East,2025,Building and Construction,PET
East,2025,Building and Construction,"ABS, SAN"
East,2025,Building and Construction,PMMA
East,2025,Building and Construction,"PA (PA6, PA66)"
East,2025,Building and Construction,PC
East,2025,Building and Construction,Other Thermoplastics
East,2025,Building and Construction,PUR
East,2025,Building and Construction,Other Plastics
East,2030,Building and Construction,"PE-LD, -LLD"
East,2030,Building and Construction,"PE-HD, -MD"
East,2030,Building and Construction,PP
East,2030,Building and Construction,PS
East,2030,Building and Construction,PS-E
East,2030,Building and Construction,PVC
East,2030,Building and Construction,PET
East,2030,Building and Construction,"ABS, SAN"
East,2030,Building and Construction,PMMA
East,2030,Building and Construction,"PA (PA6, PA66)"
East,2030,Building and Construction,PC
East,2030,Building and Construction,Other Thermoplastics
East,2030,Building and Construction,PUR
East,2030,Building and Construction,Other Plastics
East,2035,Building and Construction,"PE-LD, -LLD"
East,2035,Building and Construction,"PE-HD, -MD"
East,2035,Building and Construction,PP
East,2035,Building and Construction,PS
East,2035,Building and Construction,PS-E
East,2035,Building and Construction,PVC
East,2035,Building and Construction,PET
East,2035,Building and Construction,"ABS, SAN"
East,2035,Building and Construction,PMMA
East,2035,Building and Construction,"PA (PA6, PA66)"
East,2035,Building and Construction,PC
East,2035,Building and Construction,Other Thermoplastics
East,2035,Building and Construction,PUR
East,2035,Building and Construction,Other Plastics
East,2040,Building and Construction,"PE-LD, -LLD"
East,2040,Building and Construction,"PE-HD, -MD"
East,2040,Building and Construction,PP
East,2040,Building and Construction,PS
East,2040,Building and Construction,PS-E
East,2040,Building and Construction,PVC
East,2040,Building and Construction,PET
East,2040,Building and Construction,"ABS, SAN"
East,2040,Building and Construction,PMMA
East,2040,Building and Construction,"PA (PA6, PA66)"
East,2040,Building and Construction,PC
East,2040,Building and Construction,Other Thermoplastics
East,2040,Building and Construction,PUR
East,2040,Building and Construction,Other Plastics
East,2045,Building and Construction,"PE-LD, -LLD"
East,2045,Building and Construction,"PE-HD, -MD"
East,2045,Building and Construction,PP
East,2045,Building and Construction,PS
East,2045,Building and Construction,PS-E
East,2045,Building and Construction,PVC
East,2045,Building and Construction,PET
East,2045,Building and Construction,"ABS, SAN"
East,2045,Building and Construction,PMMA
East,2045,Building and Construction,"PA (PA6, PA66)"
East,2045,Building and Construction,PC
East,2045,Building and Construction,Other Thermoplastics
East,2045,Building and Construction,PUR
East,2045,Building and Construction,Other Plastics
East,2050,Building and Construction,"PE-LD, -LLD"
East,2050,Building and Construction,"PE-HD, -MD"
East,2050,Building and Construction,PP
East,2050,Building and Construction,PS
East,2050,Building and Construction,PS-E
East,2050,Building and Construction,PVC
East,2050,Building and Construction,PET
East,2050,Building and Construction,"ABS, SAN"
East,2050,Building and Construction,PMMA
East,2050,Building and Construction,"PA (PA6, PA66)"
East,2050,Building and Construction,PC
East,2050,Building and Construction,Other Thermoplastics
East,2050,Building and Construction,PUR
East,2050,Building and Construction,Other Plastics
East,2020,Commercial & industrial packaging,"PE-LD, -LLD"
East,2020,Commercial & industrial packaging,"PE-HD, -MD"
East,2020,Commercial & industrial packaging,PP
East,2020,Commercial & industrial packaging,PS
East,2020,Commercial & industrial packaging,PS-E
East,2020,Commercial & industrial packaging,PVC
East,2020,Commercial & industrial packaging,PET
East,2020,Commercial & industrial packaging,"ABS, SAN"
East,2020,Commercial & industrial packaging,PMMA
East,2020,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2020,Commercial & industrial packaging,PC
East,2020,Commercial & industrial packaging,Other Thermoplastics
East,2020,Commercial & industrial packaging,PUR
East,2020,Commercial & industrial packaging,Other Plastics
East,2025,Commercial & industrial packaging,"PE-LD, -LLD"
East,2025,Commercial & industrial packaging,"PE-HD, -MD"
East,2025,Commercial & industrial packaging,PP
East,2025,Commercial & industrial packaging,PS
East,2025,Commercial & industrial packaging,PS-E
East,2025,Commercial & industrial packaging,PVC
East,2025,Commercial & industrial packaging,PET
East,2025,Commercial & industrial packaging,"ABS, SAN"
East,2025,Commercial & industrial packaging,PMMA
East,2025,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2025,Commercial & industrial packaging,PC
East,2025,Commercial & industrial packaging,Other Thermoplastics
East,2025,Commercial & industrial packaging,PUR
East,2025,Commercial & industrial packaging,Other Plastics
East,2030,Commercial & industrial packaging,"PE-LD, -LLD"
East,2030,Commercial & industrial packaging,"PE-HD, -MD"
East,2030,Commercial & industrial packaging,PP
East,2030,Commercial & industrial packaging,PS
East,2030,Commercial & industrial packaging,PS-E
East,2030,Commercial & industrial packaging,PVC
East,2030,Commercial & industrial packaging,PET
East,2030,Commercial & industrial packaging,"ABS, SAN"
East,2030,Commercial & industrial packaging,PMMA
East,2030,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2030,Commercial & industrial packaging,PC
East,2030,Commercial & industrial packaging,Other Thermoplastics
East,2030,Commercial & industrial packaging,PUR
East,2030,Commercial & industrial packaging,Other Plastics
East,2035,Commercial & industrial packaging,"PE-LD, -LLD"
East,2035,Commercial & industrial packaging,"PE-HD, -MD"
East,2035,Commercial & industrial packaging,PP
East,2035,Commercial & industrial packaging,PS
East,2035,Commercial & industrial packaging,PS-E
East,2035,Commercial & industrial packaging,PVC
East,2035,Commercial & industrial packaging,PET
East,2035,Commercial & industrial packaging,"ABS, SAN"
East,2035,Commercial & industrial packaging,PMMA
East,2035,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2035,Commercial & industrial packaging,PC
East,2035,Commercial & industrial packaging,Other Thermoplastics
East,2035,Commercial & industrial packaging,PUR
East,2035,Commercial & industrial packaging,Other Plastics
East,2040,Commercial & industrial packaging,"PE-LD, -LLD"
East,2040,Commercial & industrial packaging,"PE-HD, -MD"
East,2040,Commercial & industrial packaging,PP
East,2040,Commercial & industrial packaging,PS
East,2040,Commercial & industrial packaging,PS-E
East,2040,Commercial & industrial packaging,PVC
East,2040,Commercial & industrial packaging,PET
East,2040,Commercial & industrial packaging,"ABS, SAN"
East,2040,Commercial & industrial packaging,PMMA
East,2040,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2040,Commercial & industrial packaging,PC
East,2040,Commercial & industrial packaging,Other Thermoplastics
East,2040,Commercial & industrial packaging,PUR
East,2040,Commercial & industrial packaging,Other Plastics
East,2045,Commercial & industrial packaging,"PE-LD, -LLD"
East,2045,Commercial & industrial packaging,"PE-HD, -MD"
East,2045,Commercial & industrial packaging,PP
East,2045,Commercial & industrial packaging,PS
East,2045,Commercial & industrial packaging,PS-E
East,2045,Commercial & industrial packaging,PVC
East,2045,Commercial & industrial packaging,PET
East,2045,Commercial & industrial packaging,"ABS, SAN"
East,2045,Commercial & industrial packaging,PMMA
East,2045,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2045,Commercial & industrial packaging,PC
East,2045,Commercial & industrial packaging,Other Thermoplastics
East,2045,Commercial & industrial packaging,PUR
East,2045,Commercial & industrial packaging,Other Plastics
East,2050,Commercial & industrial packaging,"PE-LD, -LLD"
East,2050,Commercial & industrial packaging,"PE-HD, -MD"
East,2050,Commercial & industrial packaging,PP
East,2050,Commercial & industrial packaging,PS
East,2050,Commercial & industrial packaging,PS-E
East,2050,Commercial & industrial packaging,PVC
East,2050,Commercial & industrial packaging,PET
East,2050,Commercial & industrial packaging,"ABS, SAN"
East,2050,Commercial & industrial packaging,PMMA
East,2050,Commercial & industrial packaging,"PA (PA6, PA66)"
East,2050,Commercial & industrial packaging,PC
East,2050,Commercial & industrial packaging,Other Thermoplastics
East,2050,Commercial & industrial packaging,PUR
East,2050,Commercial & industrial packaging,Other Plastics
East,2020,Electrical and Electronics,"PE-LD, -LLD"
East,2020,Electrical and Electronics,"PE-HD, -MD"
East,2020,Electrical and Electronics,PP
East,2020,Electrical and Electronics,PS
East,2020,Electrical and Electronics,PS-E
East,2020,Electrical and Electronics,PVC
East,2020,Electrical and Electronics,PET
East,2020,Electrical and Electronics,"ABS, SAN"
East,2020,Electrical and Electronics,PMMA
East,2020,Electrical and Electronics,"PA (PA6, PA66)"
East,2020,Electrical and Electronics,PC
East,2020,Electrical and Electronics,Other Thermoplastics
East,2020,Electrical and Electronics,PUR
East,2020,Electrical and Electronics,Other Plastics
East,2025,Electrical and Electronics,"PE-LD, -LLD"
East,2025,Electrical and Electronics,"PE-HD, -MD"
East,2025,Electrical and Electronics,PP
East,2025,Electrical and Electronics,PS
East,2025,Electrical and Electronics,PS-E
East,2025,Electrical and Electronics,PVC
East,2025,Electrical and Electronics,PET
East,2025,Electrical and Electronics,"ABS, SAN"
East,2025,Electrical and Electronics,PMMA
East,2025,Electrical and Electronics,"PA (PA6, PA66)"
East,2025,Electrical and Electronics,PC
East,2025,Electrical and Electronics,Other Thermoplastics
East,2025,Electrical and Electronics,PUR
East,2025,Electrical and Electronics,Other Plastics
East,2030,Electrical and Electronics,"PE-LD, -LLD"
East,2030,Electrical and Electronics,"PE-HD, -MD"
East,2030,Electrical and Electronics,PP
East,2030,Electrical and Electronics,PS
East,2030,Electrical and Electronics,PS-E
East,2030,Electrical and Electronics,PVC
East,2030,Electrical and Electronics,PET
East,2030,Electrical and Electronics,"ABS, SAN"
East,2030,Electrical and Electronics,PMMA
East,2030,Electrical and Electronics,"PA (PA6, PA66)"
East,2030,Electrical and Electronics,PC
East,2030,Electrical and Electronics,Other Thermoplastics
East,2030,Electrical and Electronics,PUR
East,2030,Electrical and Electronics,Other Plastics
East,2035,Electrical and Electronics,"PE-LD, -LLD"
East,2035,Electrical and Electronics,"PE-HD, -MD"
East,2035,Electrical and Electronics,PP
East,2035,Electrical and Electronics,PS
East,2035,Electrical and Electronics,PS-E
East,2035,Electrical and Electronics,PVC
East,2035,Electrical and Electronics,PET
East,2035,Electrical and Electronics,"ABS, SAN"
East,2035,Electrical and Electronics,PMMA
East,2035,Electrical and Electronics,"PA (PA6, PA66)"
East,2035,Electrical and Electronics,PC
East,2035,Electrical and Electronics,Other Thermoplastics
East,2035,Electrical and Electronics,PUR
East,2035,Electrical and Electronics,Other Plastics
East,2040,Electrical and Electronics,"PE-LD, -LLD"
East,2040,Electrical and Electronics,"PE-HD, -MD"
East,2040,Electrical and Electronics,PP
East,2040,Electrical and Electronics,PS
East,2040,Electrical and Electronics,PS-E
East,2040,Electrical and Electronics,PVC
East,2040,Electrical and Electronics,PET
East,2040,Electrical and Electronics,"ABS, SAN"
East,2040,Electrical and Electronics,PMMA
East,2040,Electrical and Electronics,"PA (PA6, PA66)"
East,2040,Electrical and Electronics,PC
East,2040,Electrical and Electronics,Other Thermoplastics
East,2040,Electrical and Electronics,PUR
East,2040,Electrical and Electronics,Other Plastics
East,2045,Electrical and Electronics,"PE-LD, -LLD"
East,2045,Electrical and Electronics,"PE-HD, -MD"
East,2045,Electrical and Electronics,PP
East,2045,Electrical and Electronics,PS
East,2045,Electrical and Electronics,PS-E
East,2045,Electrical and Electronics,PVC
East,2045,Electrical and Electronics,PET
East,2045,Electrical and Electronics,"ABS, SAN"
East,2045,Electrical and Electronics,PMMA
East,2045,Electrical and Electronics,"PA (PA6, PA66)"
East,2045,Electrical and Electronics,PC
East,2045,Electrical and Electronics,Other Thermoplastics
East,2045,Electrical and Electronics,PUR
East,2045,Electrical and Electronics,Other Plastics
East,2050,Electrical and Electronics,"PE-LD, -LLD"
East,2050,Electrical and Electronics,"PE-HD, -MD"
East,2050,Electrical and Electronics,PP
East,2050,Electrical and Electronics,PS
East,2050,Electrical and Electronics,PS-E
East,2050,Electrical and Electronics,PVC
East,2050,Electrical and Electronics,PET
East,2050,Electrical and Electronics,"ABS, SAN"
East,2050,Electrical and Electronics,PMMA
East,2050,Electrical and Electronics,"PA (PA6, PA66)"
East,2050,Electrical and Electronics,PC
East,2050,Electrical and Electronics,Other Thermoplastics
East,2050,Electrical and Electronics,PUR
East,2050,Electrical and Electronics,Other Plastics
East,2020,EPS ETICS,"PE-LD, -LLD"
East,2020,EPS ETICS,"PE-HD, -MD"
East,2020,EPS ETICS,PP
East,2020,EPS ETICS,PS
East,2020,EPS ETICS,PS-E
East,2020,EPS ETICS,PVC
East,2020,EPS ETICS,PET
East,2020,EPS ETICS,"ABS, SAN"
East,2020,EPS ETICS,PMMA
East,2020,EPS ETICS,"PA (PA6, PA66)"
East,2020,EPS ETICS,PC
East,2020,EPS ETICS,Other Thermoplastics
East,2020,EPS ETICS,PUR
East,2020,EPS ETICS,Other Plastics
East,2025,EPS ETICS,"PE-LD, -LLD"
East,2025,EPS ETICS,"PE-HD, -MD"
East,2025,EPS ETICS,PP
East,2025,EPS ETICS,PS
East,2025,EPS ETICS,PS-E
East,2025,EPS ETICS,PVC
East,2025,EPS ETICS,PET
East,2025,EPS ETICS,"ABS, SAN"
East,2025,EPS ETICS,PMMA
East,2025,EPS ETICS,"PA (PA6, PA66)"
East,2025,EPS ETICS,PC
East,2025,EPS ETICS,Other Thermoplastics
East,2025,EPS ETICS,PUR
East,2025,EPS ETICS,Other Plastics
East,2030,EPS ETICS,"PE-LD, -LLD"
East,2030,EPS ETICS,"PE-HD, -MD"
East,2030,EPS ETICS,PP
East,2030,EPS ETICS,PS
East,2030,EPS ETICS,PS-E
East,2030,EPS ETICS,PVC
East,2030,EPS ETICS,PET
East,2030,EPS ETICS,"ABS, SAN"
East,2030,EPS ETICS,PMMA
East,2030,EPS ETICS,"PA (PA6, PA66)"
East,2030,EPS ETICS,PC
East,2030,EPS ETICS,Other Thermoplastics
East,2030,EPS ETICS,PUR
East,2030,EPS ETICS,Other Plastics
East,2035,EPS ETICS,"PE-LD, -LLD"
East,2035,EPS ETICS,"PE-HD, -MD"
East,2035,EPS ETICS,PP
East,2035,EPS ETICS,PS
East,2035,EPS ETICS,PS-E
East,2035,EPS ETICS,PVC
East,2035,EPS ETICS,PET
East,2035,EPS ETICS,"ABS, SAN"
East,2035,EPS ETICS,PMMA
East,2035,EPS ETICS,"PA (PA6, PA66)"
East,2035,EPS ETICS,PC
East,2035,EPS ETICS,Other Thermoplastics
East,2035,EPS ETICS,PUR
East,2035,EPS ETICS,Other Plastics
East,2040,EPS ETICS,"PE-LD, -LLD"
East,2040,EPS ETICS,"PE-HD, -MD"
East,2040,EPS ETICS,PP
East,2040,EPS ETICS,PS
East,2040,EPS ETICS,PS-E
East,2040,EPS ETICS,PVC
East,2040,EPS ETICS,PET
East,2040,EPS ETICS,"ABS, SAN"
East,2040,EPS ETICS,PMMA
East,2040,EPS ETICS,"PA (PA6, PA66)"
East,2040,EPS ETICS,PC
East,2040,EPS ETICS,Other Thermoplastics
East,2040,EPS ETICS,PUR
East,2040,EPS ETICS,Other Plastics
East,2045,EPS ETICS,"PE-LD, -LLD"
East,2045,EPS ETICS,"PE-HD, -MD"
East,2045,EPS ETICS,PP
East,2045,EPS ETICS,PS
East,2045,EPS ETICS,PS-E
East,2045,EPS ETICS,PVC
East,2045,EPS ETICS,PET
East,2045,EPS ETICS,"ABS, SAN"
East,2045,EPS ETICS,PMMA
East,2045,EPS ETICS,"PA (PA6, PA66)"
East,2045,EPS ETICS,PC
East,2045,EPS ETICS,Other Thermoplastics
East,2045,EPS ETICS,PUR
East,2045,EPS ETICS,Other Plastics
East,2050,EPS ETICS,"PE-LD, -LLD"
East,2050,EPS ETICS,"PE-HD, -MD"
East,2050,EPS ETICS,PP
East,2050,EPS ETICS,PS
East,2050,EPS ETICS,PS-E
East,2050,EPS ETICS,PVC
East,2050,EPS ETICS,PET
East,2050,EPS ETICS,"ABS, SAN"
East,2050,EPS ETICS,PMMA
East,2050,EPS ETICS,"PA (PA6, PA66)"
East,2050,EPS ETICS,PC
East,2050,EPS ETICS,Other Thermoplastics
East,2050,EPS ETICS,PUR
East,2050,EPS ETICS,Other Plastics
East,2020,EPS flat roof,"PE-LD, -LLD"
East,2020,EPS flat roof,"PE-HD, -MD"
East,2020,EPS flat roof,PP
East,2020,EPS flat roof,PS
East,2020,EPS flat roof,PS-E
East,2020,EPS flat roof,PVC
East,2020,EPS flat roof,PET
East,2020,EPS flat roof,"ABS, SAN"
East,2020,EPS flat roof,PMMA
East,2020,EPS flat roof,"PA (PA6, PA66)"
East,2020,EPS flat roof,PC
East,2020,EPS flat roof,Other Thermoplastics
East,2020,EPS flat roof,PUR
East,2020,EPS flat roof,Other Plastics
East,2025,EPS flat roof,"PE-LD, -LLD"
East,2025,EPS flat roof,"PE-HD, -MD"
East,2025,EPS flat roof,PP
East,2025,EPS flat roof,PS
East,2025,EPS flat roof,PS-E
East,2025,EPS flat roof,PVC
East,2025,EPS flat roof,PET
East,2025,EPS flat roof,"ABS, SAN"
East,2025,EPS flat roof,PMMA
East,2025,EPS flat roof,"PA (PA6, PA66)"
East,2025,EPS flat roof,PC
East,2025,EPS flat roof,Other Thermoplastics
East,2025,EPS flat roof,PUR
East,2025,EPS flat roof,Other Plastics
East,2030,EPS flat roof,"PE-LD, -LLD"
East,2030,EPS flat roof,"PE-HD, -MD"
East,2030,EPS flat roof,PP
East,2030,EPS flat roof,PS
East,2030,EPS flat roof,PS-E
East,2030,EPS flat roof,PVC
East,2030,EPS flat roof,PET
East,2030,EPS flat roof,"ABS, SAN"
East,2030,EPS flat roof,PMMA
East,2030,EPS flat roof,"PA (PA6, PA66)"
East,2030,EPS flat roof,PC
East,2030,EPS flat roof,Other Thermoplastics
East,2030,EPS flat roof,PUR
East,2030,EPS flat roof,Other Plastics
East,2035,EPS flat roof,"PE-LD, -LLD"
East,2035,EPS flat roof,"PE-HD, -MD"
East,2035,EPS flat roof,PP
East,2035,EPS flat roof,PS
East,2035,EPS flat roof,PS-E
East,2035,EPS flat roof,PVC
East,2035,EPS flat roof,PET
East,2035,EPS flat roof,"ABS, SAN"
East,2035,EPS flat roof,PMMA
East,2035,EPS flat roof,"PA (PA6, PA66)"
East,2035,EPS flat roof,PC
East,2035,EPS flat roof,Other Thermoplastics
East,2035,EPS flat roof,PUR
East,2035,EPS flat roof,Other Plastics
East,2040,EPS flat roof,"PE-LD, -LLD"
East,2040,EPS flat roof,"PE-HD, -MD"
East,2040,EPS flat roof,PP
East,2040,EPS flat roof,PS
East,2040,EPS flat roof,PS-E
East,2040,EPS flat roof,PVC
East,2040,EPS flat roof,PET
East,2040,EPS flat roof,"ABS, SAN"
East,2040,EPS flat roof,PMMA
East,2040,EPS flat roof,"PA (PA6, PA66)"
East,2040,EPS flat roof,PC
East,2040,EPS flat roof,Other Thermoplastics
East,2040,EPS flat roof,PUR
East,2040,EPS flat roof,Other Plastics
East,2045,EPS flat roof,"PE-LD, -LLD"
East,2045,EPS flat roof,"PE-HD, -MD"
East,2045,EPS flat roof,PP
East,2045,EPS flat roof,PS
East,2045,EPS flat roof,PS-E
East,2045,EPS flat roof,PVC
East,2045,EPS flat roof,PET
East,2045,EPS flat roof,"ABS, SAN"
East,2045,EPS flat roof,PMMA
East,2045,EPS flat roof,"PA (PA6, PA66)"
East,2045,EPS flat roof,PC
East,2045,EPS flat roof,Other Thermoplastics
East,2045,EPS flat roof,PUR
East,2045,EPS flat roof,Other Plastics
East,2050,EPS flat roof,"PE-LD, -LLD"
East,2050,EPS flat roof,"PE-HD, -MD"
East,2050,EPS flat roof,PP
East,2050,EPS flat roof,PS
East,2050,EPS flat roof,PS-E
East,2050,EPS flat roof,PVC
East,2050,EPS flat roof,PET
East,2050,EPS flat roof,"ABS, SAN"
East,2050,EPS flat roof,PMMA
East,2050,EPS flat roof,"PA (PA6, PA66)"
East,2050,EPS flat roof,PC
East,2050,EPS flat roof,Other Thermoplastics
East,2050,EPS flat roof,PUR
East,2050,EPS flat roof,Other Plastics
East,2020,EPS flooring,"PE-LD, -LLD"
East,2020,EPS flooring,"PE-HD, -MD"
East,2020,EPS flooring,PP
East,2020,EPS flooring,PS
East,2020,EPS flooring,PS-E
East,2020,EPS flooring,PVC
East,2020,EPS flooring,PET
East,2020,EPS flooring,"ABS, SAN"
East,2020,EPS flooring,PMMA
East,2020,EPS flooring,"PA (PA6, PA66)"
East,2020,EPS flooring,PC
East,2020,EPS flooring,Other Thermoplastics
East,2020,EPS flooring,PUR
East,2020,EPS flooring,Other Plastics
East,2025,EPS flooring,"PE-LD, -LLD"
East,2025,EPS flooring,"PE-HD, -MD"
East,2025,EPS flooring,PP
East,2025,EPS flooring,PS
