region_from,region_to,time,sector,product
EU27+3,EU27+3,1970,Agriculture,Other Plastics
EU27+3,EU27+3,1970,"Household, Leisure, Sports","PE-LD, -LLD"
EU27+3,EU27+3,1970,"Household, Leisure, Sports","PE-HD, -MD"
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PP
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PS
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PS-E
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PVC
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PET
EU27+3,EU27+3,1970,"Household, Leisure, Sports","ABS, SAN"
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PMMA
EU27+3,EU27+3,1970,"Household, Leisure, Sports","PA (PA6, PA66)"
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PC
EU27+3,EU27+3,1970,"Household, Leisure, Sports",Other Thermoplastics
EU27+3,EU27+3,1970,"Household, Leisure, Sports",PUR
EU27+3,EU27+3,1970,"Household, Leisure, Sports",Other Plastics
EU27+3,EU27+3,1970,Others,"PE-LD, -LLD"
EU27+3,EU27+3,1970,Others,"PE-HD, -MD"
EU27+3,EU27+3,1970,Others,PP
EU27+3,EU27+3,1970,Others,PS
EU27+3,EU27+3,1970,Others,PS-E
EU27+3,EU27+3,1970,Others,PVC
EU27+3,EU27+3,1970,Others,PET
EU27+3,EU27+3,1970,Others,"ABS, SAN"
EU27+3,EU27+3,1970,Others,PMMA
EU27+3,EU27+3,1970,Others,"PA (PA6, PA66)"
EU27+3,EU27+3,1970,Others,PC
EU27+3,EU27+3,1970,Others,Other Thermoplastics
EU27+3,EU27+3,1970,Others,PUR
EU27+3,EU27+3,1970,Others,Other Plastics
EU27+3,EU27+3,1970,PUR slabstock mattresses,PUR
EU27+3,EU27+3,1970,PUR slabstock furniture,PUR
EU27+3,EU27+3,1970,PUR moulded furniture,PUR
EU27+3,EU27+3,1970,PUR others in Others,PUR
EU27+3,EU27+3,1971,Packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Packaging,"PE-HD, -MD"
EU27+3,EU27+3,1971,Packaging,PP
EU27+3,EU27+3,1971,Packaging,PS
EU27+3,EU27+3,1971,Packaging,PS-E
EU27+3,EU27+3,1971,Packaging,PVC
EU27+3,EU27+3,1971,Packaging,PET
EU27+3,EU27+3,1971,Packaging,"ABS, SAN"
EU27+3,EU27+3,1971,Packaging,PMMA
EU27+3,EU27+3,1971,Packaging,"PA (PA6, PA66)"
