Time,Region,Glass product,value
2022,DNK,Container glass,0.0
2022,DNK,Other glass,0.0
2022,ESP,Flat glass,506344969.2564826
2022,ESP,Container glass,0.0
2022,ESP,Other glass,0.0
2022,EST,Flat glass,14828276.532479385
2022,EST,Container glass,0.0
2022,EST,Other glass,0.0
2022,FIN,Flat glass,42388518.166452214
2022,FIN,Container glass,0.0
2022,FIN,Other glass,0.0
2022,FRA,Flat glass,802560693.0238097
2022,FRA,Container glass,0.0
2022,FRA,Other glass,0.0
2022,GBR,Flat glass,636399105.9174032
2022,GBR,Container glass,0.0
2022,GBR,Other glass,0.0
2022,GRC,Flat glass,106939393.79822575
2022,GRC,Container glass,0.0
2022,GRC,Other glass,0.0
2022,HRV,Flat glass,9108103.33808142
2022,HRV,Container glass,0.0
2022,HRV,Other glass,0.0
2022,HUN,Flat glass,75583863.49027914
2022,HUN,Container glass,0.0
2022,HUN,Other glass,0.0
2022,IRL,Flat glass,57571559.24450348
2022,IRL,Container glass,0.0
2022,IRL,Other glass,0.0
2022,ITA,Flat glass,469747462.52304935
2022,ITA,Container glass,0.0
2022,ITA,Other glass,0.0
2022,LTU,Flat glass,19566552.463073738
2022,LTU,Container glass,0.0
2022,LTU,Other glass,0.0
2022,LUX,Flat glass,16073597.051281098
2022,LUX,Container glass,0.0
2022,LUX,Other glass,0.0
2022,LVA,Flat glass,12618265.296641601
2022,LVA,Container glass,0.0
2022,LVA,Other glass,0.0
2022,MLT,Flat glass,9903369.029756144
2022,MLT,Container glass,0.0
2022,MLT,Other glass,0.0
2022,NLD,Flat glass,263193288.0544705
2022,NLD,Container glass,0.0
2022,NLD,Other glass,0.0
2022,POL,Flat glass,436692899.68736005
2022,POL,Container glass,0.0
2022,POL,Other glass,0.0
2022,PRT,Flat glass,97878248.33170344
2022,PRT,Container glass,0.0
2022,PRT,Other glass,0.0
2022,ROU,Flat glass,58054983.38039306
2022,ROU,Container glass,0.0
2022,ROU,Other glass,0.0
2022,SVK,Flat glass,28984834.623040892
2022,SVK,Container glass,0.0
2022,SVK,Other glass,0.0
2022,SVN,Flat glass,25827090.37894474
2022,SVN,Container glass,0.0
2022,SVN,Other glass,0.0
2022,SWE,Flat glass,225173447.58107573
2022,SWE,Container glass,0.0
2022,SWE,Other glass,0.0
2023,AUT,Flat glass,122709388.38069358
2023,AUT,Container glass,0.0
2023,AUT,Other glass,0.0
2023,BEL,Flat glass,119125650.47165936
2023,BEL,Container glass,0.0
2023,BEL,Other glass,0.0
2023,BGR,Flat glass,36201912.4483031
2023,BGR,Container glass,0.0
2023,BGR,Other glass,0.0
2023,CYP,Flat glass,13627474.33628429
2023,CYP,Container glass,0.0
2023,CYP,Other glass,0.0
2023,CZE,Flat glass,79040456.19184823
2023,CZE,Container glass,0.0
2023,CZE,Other glass,0.0
2023,DEU,Flat glass,935550833.1386456
2023,DEU,Container glass,0.0
2023,DEU,Other glass,0.0
2023,DNK,Flat glass,118892684.33931257
2023,DNK,Container glass,0.0
2023,DNK,Other glass,0.0
2023,ESP,Flat glass,506344969.2564826
2023,ESP,Container glass,0.0
2023,ESP,Other glass,0.0
2023,EST,Flat glass,14828276.532479385
2023,EST,Container glass,0.0
2023,EST,Other glass,0.0
2023,FIN,Flat glass,42388518.16725221
2023,FIN,Container glass,0.0
2023,FIN,Other glass,0.0
2023,FRA,Flat glass,802560693.0238097
2023,FRA,Container glass,0.0
2023,FRA,Other glass,0.0
2023,GBR,Flat glass,636399105.9174032
2023,GBR,Container glass,0.0
2023,GBR,Other glass,0.0
2023,GRC,Flat glass,106939393.79942574
2023,GRC,Container glass,0.0
2023,GRC,Other glass,0.0
2023,HRV,Flat glass,9108103.33808142
2023,HRV,Container glass,0.0
2023,HRV,Other glass,0.0
2023,HUN,Flat glass,75583863.49027914
2023,HUN,Container glass,0.0
2023,HUN,Other glass,0.0
2023,IRL,Flat glass,57571559.24450348
2023,IRL,Container glass,0.0
2023,IRL,Other glass,0.0
2023,ITA,Flat glass,469747462.52304935
2023,ITA,Container glass,0.0
2023,ITA,Other glass,0.0
2023,LTU,Flat glass,19566552.463073738
2023,LTU,Container glass,0.0
2023,LTU,Other glass,0.0
2023,LUX,Flat glass,16073597.051281098
2023,LUX,Container glass,0.0
2023,LUX,Other glass,0.0
2023,LVA,Flat glass,12618265.296641601
2023,LVA,Container glass,0.0
2023,LVA,Other glass,0.0
2023,MLT,Flat glass,9903369.029756144
2023,MLT,Container glass,0.0
2023,MLT,Other glass,0.0
2023,NLD,Flat glass,263193288.0544705
2023,NLD,Container glass,0.0
2023,NLD,Other glass,0.0
2023,POL,Flat glass,436692899.68736005
2023,POL,Container glass,0.0
2023,POL,Other glass,0.0
2023,PRT,Flat glass,97878248.33170344
2023,PRT,Container glass,0.0
2023,PRT,Other glass,0.0
2023,ROU,Flat glass,58054983.38039306
2023,ROU,Container glass,0.0
2023,ROU,Other glass,0.0
2023,SVK,Flat glass,28984834.623040892
2023,SVK,Container glass,0.0
2023,SVK,Other glass,0.0
2023,SVN,Flat glass,25827090.37894474
2023,SVN,Container glass,0.0
2023,SVN,Other glass,0.0
2023,SWE,Flat glass,225173447.58107573
2023,SWE,Container glass,0.0
2023,SWE,Other glass,0.0
2024,AUT,Flat glass,122709388.3748936
2024,AUT,Container glass,0.0
2024,AUT,Other glass,0.0
2024,BEL,Flat glass,119125650.47165936
2024,BEL,Container glass,0.0
2024,BEL,Other glass,0.0
2024,BGR,Flat glass,36201912.449863106
2024,BGR,Container glass,0.0
2024,BGR,Other glass,0.0
2024,CYP,Flat glass,13627474.33628429
2024,CYP,Container glass,0.0
2024,CYP,Other glass,0.0
2024,CZE,Flat glass,79040456.19184823
2024,CZE,Container glass,0.0
2024,CZE,Other glass,0.0
2024,DEU,Flat glass,935550833.1386456
2024,DEU,Container glass,0.0
2024,DEU,Other glass,0.0
2024,DNK,Flat glass,118892684.33931257
2024,DNK,Container glass,0.0
2024,DNK,Other glass,0.0
2024,ESP,Flat glass,506344969.2564826
2024,ESP,Container glass,0.0
2024,ESP,Other glass,0.0
2024,EST,Flat glass,14828276.532479385
2024,EST,Container glass,0.0
2024,EST,Other glass,0.0
2024,FIN,Flat glass,42388518.16725221
2024,FIN,Container glass,0.0
2024,FIN,Other glass,0.0
2024,FRA,Flat glass,802560693.0238097
2024,FRA,Container glass,0.0
2024,FRA,Other glass,0.0
2024,GBR,Flat glass,636399105.9174032
2024,GBR,Container glass,0.0
2024,GBR,Other glass,0.0
2024,GRC,Flat glass,106939393.79822575
2024,GRC,Container glass,0.0
2024,GRC,Other glass,0.0
2024,HRV,Flat glass,9108103.33808142
2024,HRV,Container glass,0.0
2024,HRV,Other glass,0.0
2024,HUN,Flat glass,75583863.49027914
2024,HUN,Container glass,0.0
2024,HUN,Other glass,0.0
2024,IRL,Flat glass,57571559.24450348
2024,IRL,Container glass,0.0
2024,IRL,Other glass,0.0
2024,ITA,Flat glass,469747462.52304935
2024,ITA,Container glass,0.0
2024,ITA,Other glass,0.0
2024,LTU,Flat glass,19566552.463073738
2024,LTU,Container glass,0.0
