Time,Region,Steel product,value
2020,FIN,Seamless tubes,0.0
2020,FIN,Hot rolled plate,0.0
2020,FIN,"Hot rolled coil, sheet and strip",0.0
2020,FIN,Electrical sheet and strip,0.0
2020,FIN,Tinmill products,0.0
2020,FIN,Other metal coated sheet and strip,0.0
2020,FIN,Non-metallic coated sheet and strip,0.0
2020,FIN,Welded tubes,0.0
2020,FIN,Liquid steel,0.0
2020,FRA,Concrete reinforcing bars in transport concrete,0.0
2020,FRA,Concrete reinforcing bars in precast concrete,0.0
2020,FRA,Hot rolled bars,0.0
2020,FRA,Wire rod,0.0
2020,FRA,Railway track material,0.0
2020,FRA,Heavy sections,0.0
2020,FRA,Light sections,0.0
2020,FRA,Seamless tubes,0.0
2020,FRA,Hot rolled plate,0.0
2020,FRA,"Hot rolled coil, sheet and strip",0.0
2020,FRA,Electrical sheet and strip,0.0
2020,FRA,Tinmill products,0.0
2020,FRA,Other metal coated sheet and strip,0.0
2020,FRA,Non-metallic coated sheet and strip,0.0
2020,FRA,Welded tubes,0.0
2020,FRA,Liquid steel,0.0
2020,GBR,Concrete reinforcing bars in transport concrete,0.0
2020,GBR,Concrete reinforcing bars in precast concrete,0.0
2020,GBR,Hot rolled bars,0.0
2020,GBR,Wire rod,0.0
2020,GBR,Railway track material,0.0
2020,GBR,Heavy sections,0.0
2020,GBR,Light sections,0.0
2020,GBR,Seamless tubes,0.0
2020,GBR,Hot rolled plate,0.0
2020,GBR,"Hot rolled coil, sheet and strip",0.0
2020,GBR,Electrical sheet and strip,0.0
2020,GBR,Tinmill products,0.0
2020,GBR,Other metal coated sheet and strip,0.0
2020,GBR,Non-metallic coated sheet and strip,0.0
2020,GBR,Welded tubes,0.0
2020,GBR,Liquid steel,0.0
2020,GRC,Concrete reinforcing bars in transport concrete,0.0
2020,GRC,Concrete reinforcing bars in precast concrete,0.0
2020,GRC,Hot rolled bars,0.0
2020,GRC,Wire rod,0.0
2020,GRC,Railway track material,0.0
2020,GRC,Heavy sections,0.0
2020,GRC,Light sections,0.0
2020,GRC,Seamless tubes,0.0
2020,GRC,Hot rolled plate,0.0
2020,GRC,"Hot rolled coil, sheet and strip",0.0
2020,GRC,Electrical sheet and strip,0.0
2020,GRC,Tinmill products,0.0
2020,GRC,Other metal coated sheet and strip,0.0
2020,GRC,Non-metallic coated sheet and strip,0.0
2020,GRC,Welded tubes,0.0
2020,GRC,Liquid steel,0.0
2020,HRV,Concrete reinforcing bars in transport concrete,0.0
2020,HRV,Concrete reinforcing bars in precast concrete,0.0
2020,HRV,Hot rolled bars,0.0
2020,HRV,Wire rod,0.0
2020,HRV,Railway track material,0.0
2020,HRV,Heavy sections,0.0
2020,HRV,Light sections,0.0
2020,HRV,Seamless tubes,0.0
2020,HRV,Hot rolled plate,0.0
2020,HRV,"Hot rolled coil, sheet and strip",0.0
2020,HRV,Electrical sheet and strip,0.0
2020,HRV,Tinmill products,0.0
2020,HRV,Other metal coated sheet and strip,0.0
2020,HRV,Non-metallic coated sheet and strip,0.0
2020,HRV,Welded tubes,0.0
2020,HRV,Liquid steel,0.0
2020,HUN,Concrete reinforcing bars in transport concrete,0.0
2020,HUN,Concrete reinforcing bars in precast concrete,0.0
2020,HUN,Hot rolled bars,0.0
2020,HUN,Wire rod,0.0
2020,HUN,Railway track material,0.0
2020,HUN,Heavy sections,0.0
2020,HUN,Light sections,0.0
2020,HUN,Seamless tubes,0.0
2020,HUN,Hot rolled plate,0.0
2020,HUN,"Hot rolled coil, sheet and strip",0.0
2020,HUN,Electrical sheet and strip,0.0
2020,HUN,Tinmill products,0.0
2020,HUN,Other metal coated sheet and strip,0.0
2020,HUN,Non-metallic coated sheet and strip,0.0
2020,HUN,Welded tubes,0.0
2020,HUN,Liquid steel,0.0
2020,IRL,Concrete reinforcing bars in transport concrete,0.0
2020,IRL,Concrete reinforcing bars in precast concrete,0.0
2020,IRL,Hot rolled bars,0.0
2020,IRL,Wire rod,0.0
2020,IRL,Railway track material,0.0
2020,IRL,Heavy sections,0.0
2020,IRL,Light sections,0.0
2020,IRL,Seamless tubes,0.0
2020,IRL,Hot rolled plate,0.0
2020,IRL,"Hot rolled coil, sheet and strip",0.0
2020,IRL,Electrical sheet and strip,0.0
2020,IRL,Tinmill products,0.0
2020,IRL,Other metal coated sheet and strip,0.0
2020,IRL,Non-metallic coated sheet and strip,0.0
2020,IRL,Welded tubes,0.0
2020,IRL,Liquid steel,0.0
2020,ITA,Concrete reinforcing bars in transport concrete,0.0
2020,ITA,Concrete reinforcing bars in precast concrete,0.0
2020,ITA,Hot rolled bars,0.0
2020,ITA,Wire rod,0.0
2020,ITA,Railway track material,0.0
2020,ITA,Heavy sections,0.0
2020,ITA,Light sections,0.0
2020,ITA,Seamless tubes,0.0
2020,ITA,Hot rolled plate,0.0
2020,ITA,"Hot rolled coil, sheet and strip",0.0
2020,ITA,Electrical sheet and strip,0.0
2020,ITA,Tinmill products,0.0
2020,ITA,Other metal coated sheet and strip,0.0
2020,ITA,Non-metallic coated sheet and strip,0.0
2020,ITA,Welded tubes,0.0
2020,ITA,Liquid steel,0.0
2020,LTU,Concrete reinforcing bars in transport concrete,0.0
2020,LTU,Concrete reinforcing bars in precast concrete,0.0
2020,LTU,Hot rolled bars,0.0
2020,LTU,Wire rod,0.0
2020,LTU,Railway track material,0.0
2020,LTU,Heavy sections,0.0
2020,LTU,Light sections,0.0
2020,LTU,Seamless tubes,0.0
2020,LTU,Hot rolled plate,0.0
2020,LTU,"Hot rolled coil, sheet and strip",0.0
