Time,Region,Concrete product,value
2044,PRT,Precast concrete (not reinforced)_Roof,0.0
2044,PRT,Precast concrete (not reinforced)_Floor,0.0
2044,PRT,Precast concrete (not reinforced)_Basement wall,0.0
2044,PRT,Precast concrete (not reinforced)_Basement ceiling,0.0
2044,PRT,Precast concrete (not reinforced)_Basement ground floor,83529857.95951807
2044,PRT,Precast concrete (not reinforced)_Foundation,147553478.95173085
2044,ROU,Transport concrete (not reinforced),0.0
2044,ROU,Precast concrete (not reinforced),0.0
2044,ROU,Transport concrete (reinforced),0.0
2044,ROU,Precast concrete (reinforced),0.0
2044,ROU,Transport concrete (reinforced)_Exterior wall,318235709.19036627
2044,ROU,Transport concrete (reinforced)_Interior load-bearing wall,414812247.2628337
2044,ROU,Transport concrete (reinforced)_Interior wall,52023190.82175068
2044,ROU,Transport concrete (reinforced)_Roof,283481995.07530504
2044,ROU,Transport concrete (reinforced)_Floor,1378891420.004259
2044,ROU,Transport concrete (reinforced)_Basement wall,845834305.8944944
2044,ROU,Transport concrete (reinforced)_Basement ceiling,689312837.6736721
2044,ROU,Transport concrete (reinforced)_Basement ground floor,0.0
2044,ROU,Transport concrete (reinforced)_Foundation,0.0
2044,ROU,Transport concrete (not reinforced)_Exterior wall,2870210.3110479685
2044,ROU,Transport concrete (not reinforced)_Interior load-bearing wall,3946539.178095281
2044,ROU,Transport concrete (not reinforced)_Interior wall,0.0
2044,ROU,Transport concrete (not reinforced)_Roof,14061947.060857577
2044,ROU,Transport concrete (not reinforced)_Floor,0.0
2044,ROU,Transport concrete (not reinforced)_Basement wall,0.0
2044,ROU,Transport concrete (not reinforced)_Basement ceiling,0.0
2044,ROU,Transport concrete (not reinforced)_Basement ground floor,624591770.2097164
2044,ROU,Transport concrete (not reinforced)_Foundation,818492192.3505244
2044,ROU,Precast concrete (reinforced)_Exterior wall,146341968.4641136
2044,ROU,Precast concrete (reinforced)_Interior load-bearing wall,190753077.1862577
2044,ROU,Precast concrete (reinforced)_Interior wall,23923073.15267597
2044,ROU,Precast concrete (reinforced)_Roof,130360333.49702443
2044,ROU,Precast concrete (reinforced)_Floor,634088755.1944587
2044,ROU,Precast concrete (reinforced)_Basement wall,388960301.31527126
