Time,Region,Glass product,value
2022,DNK,Flat glass,3973213.4472415806
2022,DNK,Container glass,0.0
2022,DNK,Other glass,0.0
2022,ESP,Flat glass,18038461.69308075
2022,ESP,Container glass,0.0
2022,ESP,Other glass,0.0
2022,EST,Flat glass,766854.1469497307
2022,EST,Container glass,0.0
2022,EST,Other glass,0.0
2022,FIN,Flat glass,2602886.014414075
2022,FIN,Container glass,0.0
2022,FIN,Other glass,0.0
2022,FRA,Flat glass,50670967.9102131
2022,FRA,Container glass,0.0
2022,FRA,Other glass,0.0
2022,GBR,Flat glass,28804771.98034428
2022,GBR,Container glass,0.0
2022,GBR,Other glass,0.0
2022,GRC,Flat glass,6190513.724400596
2022,GRC,Container glass,0.0
2022,GRC,Other glass,0.0
2022,HRV,Flat glass,2339457.30185368
2022,HRV,Container glass,0.0
2022,HRV,Other glass,0.0
2022,HUN,Flat glass,6669762.279715411
2022,HUN,Container glass,0.0
2022,HUN,Other glass,0.0
2022,IRL,Flat glass,1548151.1626220657
2022,IRL,Container glass,0.0
2022,IRL,Other glass,0.0
2022,ITA,Flat glass,73600352.30852059
2022,ITA,Container glass,0.0
2022,ITA,Other glass,0.0
2022,LTU,Flat glass,2595043.544213159
2022,LTU,Container glass,0.0
2022,LTU,Other glass,0.0
2022,LUX,Flat glass,409000.977578817
2022,LUX,Container glass,0.0
2022,LUX,Other glass,0.0
2022,LVA,Flat glass,1579970.9258184112
2022,LVA,Container glass,0.0
2022,LVA,Other glass,0.0
2022,MLT,Flat glass,233597.33961476164
2022,MLT,Container glass,0.0
2022,MLT,Other glass,0.0
2022,NLD,Flat glass,10116636.584351992
2022,NLD,Container glass,0.0
2022,NLD,Other glass,0.0
2022,POL,Flat glass,18953607.078955088
2022,POL,Container glass,0.0
2022,POL,Other glass,0.0
2022,PRT,Flat glass,6234791.2906395225
2022,PRT,Container glass,0.0
2022,PRT,Other glass,0.0
2022,ROU,Flat glass,6072129.232100801
2022,ROU,Container glass,0.0
2022,ROU,Other glass,0.0
2022,SVK,Flat glass,2201961.087476091
2022,SVK,Container glass,0.0
2022,SVK,Other glass,0.0
2022,SVN,Flat glass,1020558.3799959092
2022,SVN,Container glass,0.0
2022,SVN,Other glass,0.0
2022,SWE,Flat glass,8718547.522753136
2022,SWE,Container glass,0.0
2022,SWE,Other glass,0.0
2023,AUT,Flat glass,6694975.25989981
2023,AUT,Container glass,0.0
2023,AUT,Other glass,0.0
2023,BEL,Flat glass,5255779.580445883
2023,BEL,Container glass,0.0
2023,BEL,Other glass,0.0
2023,BGR,Flat glass,4368527.804333801
2023,BGR,Container glass,0.0
2023,BGR,Other glass,0.0
2023,CYP,Flat glass,272916.33318906056
2023,CYP,Container glass,0.0
2023,CYP,Other glass,0.0
2023,CZE,Flat glass,4317392.669444048
2023,CZE,Container glass,0.0
2023,CZE,Other glass,0.0
2023,DEU,Flat glass,94579382.55778402
2023,DEU,Container glass,0.0
2023,DEU,Other glass,0.0
2023,DNK,Flat glass,3973213.4472415806
2023,DNK,Container glass,0.0
2023,DNK,Other glass,0.0
2023,ESP,Flat glass,18038461.69308075
2023,ESP,Container glass,0.0
2023,ESP,Other glass,0.0
2023,EST,Flat glass,766854.1469497307
2023,EST,Container glass,0.0
2023,EST,Other glass,0.0
2023,FIN,Flat glass,2602886.014414075
2023,FIN,Container glass,0.0
2023,FIN,Other glass,0.0
2023,FRA,Flat glass,50670967.9102131
2023,FRA,Container glass,0.0
2023,FRA,Other glass,0.0
2023,GBR,Flat glass,28804771.98034428
2023,GBR,Container glass,0.0
2023,GBR,Other glass,0.0
2023,GRC,Flat glass,6190513.724400596
2023,GRC,Container glass,0.0
2023,GRC,Other glass,0.0
2023,HRV,Flat glass,2339457.30185368
2023,HRV,Container glass,0.0
2023,HRV,Other glass,0.0
2023,HUN,Flat glass,6669762.279715411
2023,HUN,Container glass,0.0
2023,HUN,Other glass,0.0
2023,IRL,Flat glass,1548151.1626220657
2023,IRL,Container glass,0.0
2023,IRL,Other glass,0.0
2023,ITA,Flat glass,73600352.30852059
2023,ITA,Container glass,0.0
2023,ITA,Other glass,0.0
2023,LTU,Flat glass,2595043.544213159
2023,LTU,Container glass,0.0
2023,LTU,Other glass,0.0
2023,LUX,Flat glass,409000.977578817
2023,LUX,Container glass,0.0
2023,LUX,Other glass,0.0
2023,LVA,Flat glass,1579970.9258184112
2023,LVA,Container glass,0.0
2023,LVA,Other glass,0.0
2023,MLT,Flat glass,233597.33961476164
2023,MLT,Container glass,0.0
2023,MLT,Other glass,0.0
2023,NLD,Flat glass,10116636.584351992
2023,NLD,Container glass,0.0
2023,NLD,Other glass,0.0
2023,POL,Flat glass,18953607.078955088
2023,POL,Container glass,0.0
2023,POL,Other glass,0.0
2023,PRT,Flat glass,6234791.2906395225
2023,PRT,Container glass,0.0
2023,PRT,Other glass,0.0
2023,ROU,Flat glass,6072129.232100801
2023,ROU,Container glass,0.0
2023,ROU,Other glass,0.0
2023,SVK,Flat glass,2201961.087476091
2023,SVK,Container glass,0.0
2023,SVK,Other glass,0.0
2023,SVN,Flat glass,1020558.3799959092
2023,SVN,Container glass,0.0
2023,SVN,Other glass,0.0
2023,SWE,Flat glass,8718547.522753136
2023,SWE,Container glass,0.0
2023,SWE,Other glass,0.0
2024,AUT,Flat glass,6694975.25989981
2024,AUT,Container glass,0.0
2024,AUT,Other glass,0.0
2024,BEL,Flat glass,5255779.580445883
2024,BEL,Container glass,0.0
2024,BEL,Other glass,0.0
2024,BGR,Flat glass,4368527.804333801
2024,BGR,Container glass,0.0
2024,BGR,Other glass,0.0
2024,CYP,Flat glass,272916.33318906056
2024,CYP,Container glass,0.0
2024,CYP,Other glass,0.0
2024,CZE,Flat glass,4317392.669444048
2024,CZE,Container glass,0.0
2024,CZE,Other glass,0.0
2024,DEU,Flat glass,94579382.55778402
2024,DEU,Container glass,0.0
2024,DEU,Other glass,0.0
2024,DNK,Flat glass,3973213.4472415806
2024,DNK,Container glass,0.0
2024,DNK,Other glass,0.0
2024,ESP,Flat glass,18038461.69308075
2024,ESP,Container glass,0.0
2024,ESP,Other glass,0.0
2024,EST,Flat glass,766854.1469497307
2024,EST,Container glass,0.0
2024,EST,Other glass,0.0
2024,FIN,Flat glass,2602886.014414075
2024,FIN,Container glass,0.0
2024,FIN,Other glass,0.0
2024,FRA,Flat glass,50670967.9102131
2024,FRA,Container glass,0.0
2024,FRA,Other glass,0.0
2024,GBR,Flat glass,28804771.98034428
2024,GBR,Container glass,0.0
2024,GBR,Other glass,0.0
2024,GRC,Flat glass,6190513.724400596
2024,GRC,Container glass,0.0
2024,GRC,Other glass,0.0
2024,HRV,Flat glass,2339457.30185368
2024,HRV,Container glass,0.0
2024,HRV,Other glass,0.0
2024,HUN,Flat glass,6669762.279715411
2024,HUN,Container glass,0.0
2024,HUN,Other glass,0.0
2024,IRL,Flat glass,1548151.1626220657
2024,IRL,Container glass,0.0
2024,IRL,Other glass,0.0
2024,ITA,Flat glass,73600352.30852059
2024,ITA,Container glass,0.0
2024,ITA,Other glass,0.0
2024,LTU,Flat glass,2595043.544213159
2024,LTU,Container glass,0.0
2024,LTU,Other glass,0.0
2024,LUX,Flat glass,409000.977578817
2024,LUX,Container glass,0.0
2024,LUX,Other glass,0.0
2024,LVA,Flat glass,1579970.9258184112
2024,LVA,Container glass,0.0
2024,LVA,Other glass,0.0
