Time,Region,Insulation product,value
2021,AUT,Insulation (Exterior wall),0.0
2021,AUT,Insulation (Roof),0.0
2021,AUT,Insulation (Floor),0.0
2021,AUT,Insulation (Basement),0.0
2021,BEL,Insulation,-11936784.30156506
2021,BEL,Insulation (Exterior wall),0.0
2021,BEL,Insulation (Roof),0.0
2021,BEL,Insulation (Floor),0.0
2021,BEL,Insulation (Basement),0.0
2021,BGR,Insulation,-11721558.557152359
2021,BGR,Insulation (Exterior wall),0.0
2021,BGR,Insulation (Roof),0.0
2021,BGR,Insulation (Floor),0.0
2021,BGR,Insulation (Basement),0.0
2021,CYP,Insulation,-591075.8447541572
2021,CYP,Insulation (Exterior wall),0.0
2021,CYP,Insulation (Roof),0.0
2021,CYP,Insulation (Floor),0.0
2021,CYP,Insulation (Basement),0.0
2021,CZE,Insulation,-12075361.536528863
2021,CZE,Insulation (Exterior wall),0.0
2021,CZE,Insulation (Roof),0.0
2021,CZE,Insulation (Floor),0.0
2021,CZE,Insulation (Basement),0.0
2021,DEU,Insulation,-206927293.32007128
2021,DEU,Insulation (Exterior wall),0.0
2021,DEU,Insulation (Roof),0.0
2021,DEU,Insulation (Floor),0.0
2021,DEU,Insulation (Basement),0.0
2021,DNK,Insulation,0.0
2021,DNK,Insulation (Exterior wall),0.0
2021,DNK,Insulation (Roof),0.0
2021,DNK,Insulation (Floor),0.0
2021,DNK,Insulation (Basement),0.0
2021,ESP,Insulation,-22502749.504882988
2021,ESP,Insulation (Exterior wall),0.0
2021,ESP,Insulation (Roof),0.0
2021,ESP,Insulation (Floor),0.0
2021,ESP,Insulation (Basement),0.0
2021,EST,Insulation,-1743419.7478242833
2021,EST,Insulation (Exterior wall),0.0
2021,EST,Insulation (Roof),0.0
2021,EST,Insulation (Floor),0.0
2021,EST,Insulation (Basement),0.0
2021,FIN,Insulation,-6474761.301513391
2021,FIN,Insulation (Exterior wall),0.0
2021,FIN,Insulation (Roof),0.0
2021,FIN,Insulation (Floor),0.0
2021,FIN,Insulation (Basement),0.0
2021,FRA,Insulation,-69888722.53955428
2021,FRA,Insulation (Exterior wall),0.0
2021,FRA,Insulation (Roof),0.0
2021,FRA,Insulation (Floor),0.0
2021,FRA,Insulation (Basement),0.0
2021,GBR,Insulation,-72614657.16894378
2021,GBR,Insulation (Exterior wall),0.0
2021,GBR,Insulation (Roof),0.0
2021,GBR,Insulation (Floor),0.0
2021,GBR,Insulation (Basement),0.0
2021,GRC,Insulation,-9740296.033060726
2021,GRC,Insulation (Exterior wall),0.0
2021,GRC,Insulation (Roof),0.0
2021,GRC,Insulation (Floor),0.0
2021,GRC,Insulation (Basement),0.0
2021,HRV,Insulation,-7319423.844302437
2021,HRV,Insulation (Exterior wall),0.0
2021,HRV,Insulation (Roof),0.0
2021,HRV,Insulation (Floor),0.0
2021,HRV,Insulation (Basement),0.0
2021,HUN,Insulation,-16833563.018004436
2021,HUN,Insulation (Exterior wall),0.0
2021,HUN,Insulation (Roof),0.0
2021,HUN,Insulation (Floor),0.0
2021,HUN,Insulation (Basement),0.0
2021,IRL,Insulation,-4304943.776459704
2021,IRL,Insulation (Exterior wall),0.0
2021,IRL,Insulation (Roof),0.0
2021,IRL,Insulation (Floor),0.0
2021,IRL,Insulation (Basement),0.0
2021,ITA,Insulation,-84428223.30665556
2021,ITA,Insulation (Exterior wall),0.0
2021,ITA,Insulation (Roof),0.0
2021,ITA,Insulation (Floor),0.0
2021,ITA,Insulation (Basement),0.0
2021,LTU,Insulation,-8570181.233819932
2021,LTU,Insulation (Exterior wall),0.0
2021,LTU,Insulation (Roof),0.0
2021,LTU,Insulation (Floor),0.0
2021,LTU,Insulation (Basement),0.0
2021,LUX,Insulation,-1089900.3538521954
2021,LUX,Insulation (Exterior wall),0.0
2021,LUX,Insulation (Roof),0.0
2021,LUX,Insulation (Floor),0.0
2021,LUX,Insulation (Basement),0.0
2021,LVA,Insulation,-3825535.142652859
2021,LVA,Insulation (Exterior wall),0.0
2021,LVA,Insulation (Roof),0.0
2021,LVA,Insulation (Floor),0.0
2021,LVA,Insulation (Basement),0.0
2021,MLT,Insulation,-344012.23938774527
2021,MLT,Insulation (Exterior wall),0.0
2021,MLT,Insulation (Roof),0.0
2021,MLT,Insulation (Floor),0.0
2021,MLT,Insulation (Basement),0.0
2021,NLD,Insulation,-21883301.04955565
2021,NLD,Insulation (Exterior wall),0.0
2021,NLD,Insulation (Roof),0.0
2021,NLD,Insulation (Floor),0.0
2021,NLD,Insulation (Basement),0.0
2021,POL,Insulation,-42388363.3776477
2021,POL,Insulation (Exterior wall),0.0
2021,POL,Insulation (Roof),0.0
2021,POL,Insulation (Floor),0.0
2021,POL,Insulation (Basement),0.0
2021,PRT,Insulation,-8343522.555283392
2021,PRT,Insulation (Exterior wall),0.0
2021,PRT,Insulation (Roof),0.0
2021,PRT,Insulation (Floor),0.0
2021,PRT,Insulation (Basement),0.0
2021,ROU,Insulation,-19891236.02103419
2021,ROU,Insulation (Exterior wall),0.0
2021,ROU,Insulation (Roof),0.0
2021,ROU,Insulation (Floor),0.0
2021,ROU,Insulation (Basement),0.0
2021,SVK,Insulation,-5425279.037164814
2021,SVK,Insulation (Exterior wall),0.0
2021,SVK,Insulation (Roof),0.0
2021,SVK,Insulation (Floor),0.0
2021,SVK,Insulation (Basement),0.0
2021,SVN,Insulation,-2810938.4904256123
2021,SVN,Insulation (Exterior wall),0.0
2021,SVN,Insulation (Roof),0.0
2021,SVN,Insulation (Floor),0.0
2021,SVN,Insulation (Basement),0.0
2021,SWE,Insulation,-19258011.57891114
2021,SWE,Insulation (Exterior wall),0.0
2021,SWE,Insulation (Roof),0.0
2021,SWE,Insulation (Floor),0.0
2021,SWE,Insulation (Basement),0.0
2022,AUT,Insulation,-15332339.705415776
2022,AUT,Insulation (Exterior wall),0.0
2022,AUT,Insulation (Roof),0.0
2022,AUT,Insulation (Floor),0.0
2022,AUT,Insulation (Basement),0.0
2022,BEL,Insulation,-11936784.30156506
2022,BEL,Insulation (Exterior wall),0.0
2022,BEL,Insulation (Roof),0.0
2022,BEL,Insulation (Floor),0.0
2022,BEL,Insulation (Basement),0.0
2022,BGR,Insulation,-11721558.557152359
2022,BGR,Insulation (Exterior wall),0.0
2022,BGR,Insulation (Roof),0.0
2022,BGR,Insulation (Floor),0.0
2022,BGR,Insulation (Basement),0.0
2022,CYP,Insulation,-591075.8447541572
2022,CYP,Insulation (Exterior wall),0.0
2022,CYP,Insulation (Roof),0.0
2022,CYP,Insulation (Floor),0.0
2022,CYP,Insulation (Basement),0.0
2022,CZE,Insulation,-12075361.536528863
2022,CZE,Insulation (Exterior wall),0.0
2022,CZE,Insulation (Roof),0.0
2022,CZE,Insulation (Floor),0.0
2022,CZE,Insulation (Basement),0.0
2022,DEU,Insulation,-206927293.32007128
2022,DEU,Insulation (Exterior wall),0.0
2022,DEU,Insulation (Roof),0.0
2022,DEU,Insulation (Floor),0.0
2022,DEU,Insulation (Basement),0.0
2022,DNK,Insulation,0.0
2022,DNK,Insulation (Exterior wall),0.0
2022,DNK,Insulation (Roof),0.0
2022,DNK,Insulation (Floor),0.0
2022,DNK,Insulation (Basement),0.0
2022,ESP,Insulation,-22502749.504882988
2022,ESP,Insulation (Exterior wall),0.0
2022,ESP,Insulation (Roof),0.0
2022,ESP,Insulation (Floor),0.0
2022,ESP,Insulation (Basement),0.0
2022,EST,Insulation,-1743419.7478242833
2022,EST,Insulation (Exterior wall),0.0
2022,EST,Insulation (Roof),0.0
2022,EST,Insulation (Floor),0.0
2022,EST,Insulation (Basement),0.0
2022,FIN,Insulation,-6474761.301513391
2022,FIN,Insulation (Exterior wall),0.0
2022,FIN,Insulation (Roof),0.0
2022,FIN,Insulation (Floor),0.0
2022,FIN,Insulation (Basement),0.0
2022,FRA,Insulation,-69888722.53955428
2022,FRA,Insulation (Exterior wall),0.0
2022,FRA,Insulation (Roof),0.0
2022,FRA,Insulation (Floor),0.0
2022,FRA,Insulation (Basement),0.0
2022,GBR,Insulation,-72614657.16894378
2022,GBR,Insulation (Exterior wall),0.0
2022,GBR,Insulation (Roof),0.0
2022,GBR,Insulation (Floor),0.0
2022,GBR,Insulation (Basement),0.0
2022,GRC,Insulation,-9740296.033060726
2022,GRC,Insulation (Exterior wall),0.0
2022,GRC,Insulation (Roof),0.0
2022,GRC,Insulation (Floor),0.0
2022,GRC,Insulation (Basement),0.0
2022,HRV,Insulation,-7319423.844302437
2022,HRV,Insulation (Exterior wall),0.0
2022,HRV,Insulation (Roof),0.0
2022,HRV,Insulation (Floor),0.0
2022,HRV,Insulation (Basement),0.0
2022,HUN,Insulation,-16833563.018004436
2022,HUN,Insulation (Exterior wall),0.0
2022,HUN,Insulation (Roof),0.0
2022,HUN,Insulation (Floor),0.0
2022,HUN,Insulation (Basement),0.0
2022,IRL,Insulation,-4304943.776459704
2022,IRL,Insulation (Exterior wall),0.0
2022,IRL,Insulation (Roof),0.0
2022,IRL,Insulation (Floor),0.0
2022,IRL,Insulation (Basement),0.0
2022,ITA,Insulation,-84428223.30665556
2022,ITA,Insulation (Exterior wall),0.0
2022,ITA,Insulation (Roof),0.0
2022,ITA,Insulation (Floor),0.0
2022,ITA,Insulation (Basement),0.0
2022,LTU,Insulation,-8570181.233819932
2022,LTU,Insulation (Exterior wall),0.0
2022,LTU,Insulation (Roof),0.0
2022,LTU,Insulation (Floor),0.0
2022,LTU,Insulation (Basement),0.0
2022,LUX,Insulation,-1089900.3538521954
2022,LUX,Insulation (Exterior wall),0.0
2022,LUX,Insulation (Roof),0.0
