original_parameter,target_parameter,target_region,original_dimension,original_element,target_dimension,target_element,target_dimension,target_element,factor,comment
BottomUpDemand,FinalDemand,all,Plastics product,PP,sector,Automotive,polymer,PP,1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,PE,sector,Automotive,polymer,"PE-LD, -LLD",0.34,PE split (LD/LLD share) based on Plastics Europe data
BottomUpDemand,FinalDemand,all,Plastics product,PE,sector,Automotive,polymer,"PE-HD, -MD",0.66,PE split (HD/MD share) based on Plastics Europe data
BottomUpDemand,FinalDemand,all,Plastics product,ABS,sector,Automotive,polymer,"ABS, SAN",1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,PVC,sector,Automotive,polymer,PVC,1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,PC,sector,Automotive,polymer,PC,1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,PA/Nylon,sector,Automotive,polymer,"PA (PA6, PA66)",1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,PUR,sector,Automotive,polymer,PUR,1.0,"vehicles model already in kt; no unit conversion"
BottomUpDemand,FinalDemand,all,Plastics product,Rubber,sector,Automotive,polymer,Other Plastics,1.0,"Rubber mapped to Other Plastics catch-all; vehicles model already in kt"
