region,time,sector,polymer,waste_category,value
Germany,2045,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2050,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2020,Packaging,PMMA,Mechanical recycling,0.0
Germany,2025,Packaging,PMMA,Mechanical recycling,0.0
Germany,2030,Packaging,PMMA,Mechanical recycling,0.0
Germany,2035,Packaging,PMMA,Mechanical recycling,0.0
Germany,2040,Packaging,PMMA,Mechanical recycling,0.0
Germany,2045,Packaging,PMMA,Mechanical recycling,0.0
Germany,2050,Packaging,PMMA,Mechanical recycling,0.0
Germany,2020,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2025,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2030,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2035,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2040,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2045,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2050,Packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2020,Packaging,PC,Mechanical recycling,0.0
Germany,2025,Packaging,PC,Mechanical recycling,0.0
Germany,2030,Packaging,PC,Mechanical recycling,0.0
Germany,2035,Packaging,PC,Mechanical recycling,0.0
Germany,2040,Packaging,PC,Mechanical recycling,0.0
Germany,2045,Packaging,PC,Mechanical recycling,0.0
Germany,2050,Packaging,PC,Mechanical recycling,0.0
Germany,2020,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2025,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2030,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2035,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2040,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2045,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2050,Packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2020,Packaging,PUR,Mechanical recycling,0.0
Germany,2025,Packaging,PUR,Mechanical recycling,0.0
Germany,2030,Packaging,PUR,Mechanical recycling,0.0
Germany,2035,Packaging,PUR,Mechanical recycling,0.0
Germany,2040,Packaging,PUR,Mechanical recycling,0.0
Germany,2045,Packaging,PUR,Mechanical recycling,0.0
Germany,2050,Packaging,PUR,Mechanical recycling,0.0
Germany,2020,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2025,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2030,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2035,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2040,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2045,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2050,Packaging,Other Plastics,Mechanical recycling,0.0
Germany,2020,PET beverage bottles,PET,Mechanical recycling,0.98
Germany,2025,PET beverage bottles,PET,Mechanical recycling,0.98
Germany,2030,PET beverage bottles,PET,Mechanical recycling,0.99
Germany,2035,PET beverage bottles,PET,Mechanical recycling,0.99
Germany,2040,PET beverage bottles,PET,Mechanical recycling,0.99
Germany,2045,PET beverage bottles,PET,Mechanical recycling,0.99
Germany,2050,PET beverage bottles,PET,Mechanical recycling,0.99
Germany,2020,PET other packaging,PET,Mechanical recycling,0.6
Germany,2025,PET other packaging,PET,Mechanical recycling,0.66
Germany,2030,PET other packaging,PET,Mechanical recycling,0.73
Germany,2035,PET other packaging,PET,Mechanical recycling,0.79
Germany,2040,PET other packaging,PET,Mechanical recycling,0.8
Germany,2045,PET other packaging,PET,Mechanical recycling,0.8
Germany,2050,PET other packaging,PET,Mechanical recycling,0.8
Germany,2020,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.44
Germany,2025,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.53
Germany,2030,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2035,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2040,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2045,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2050,Household packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2020,Household packaging,"PE-HD, -MD",Mechanical recycling,0.44
Germany,2025,Household packaging,"PE-HD, -MD",Mechanical recycling,0.53
Germany,2030,Household packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2035,Household packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2040,Household packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2045,Household packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2050,Household packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2020,Household packaging,PP,Mechanical recycling,0.44
Germany,2025,Household packaging,PP,Mechanical recycling,0.53
Germany,2030,Household packaging,PP,Mechanical recycling,0.6
Germany,2035,Household packaging,PP,Mechanical recycling,0.6
Germany,2040,Household packaging,PP,Mechanical recycling,0.6
Germany,2045,Household packaging,PP,Mechanical recycling,0.6
Germany,2050,Household packaging,PP,Mechanical recycling,0.6
Germany,2020,Household packaging,PS,Mechanical recycling,0.44
Germany,2025,Household packaging,PS,Mechanical recycling,0.53
Germany,2030,Household packaging,PS,Mechanical recycling,0.6
Germany,2035,Household packaging,PS,Mechanical recycling,0.6
Germany,2040,Household packaging,PS,Mechanical recycling,0.6
Germany,2045,Household packaging,PS,Mechanical recycling,0.6
Germany,2050,Household packaging,PS,Mechanical recycling,0.6
Germany,2020,Household packaging,PS-E,Mechanical recycling,0.05
Germany,2025,Household packaging,PS-E,Mechanical recycling,0.2
Germany,2030,Household packaging,PS-E,Mechanical recycling,0.35
Germany,2035,Household packaging,PS-E,Mechanical recycling,0.4
Germany,2040,Household packaging,PS-E,Mechanical recycling,0.4
Germany,2045,Household packaging,PS-E,Mechanical recycling,0.4
Germany,2050,Household packaging,PS-E,Mechanical recycling,0.4
Germany,2020,Household packaging,PVC,Mechanical recycling,0.05
Germany,2025,Household packaging,PVC,Mechanical recycling,0.2
Germany,2030,Household packaging,PVC,Mechanical recycling,0.35
Germany,2035,Household packaging,PVC,Mechanical recycling,0.4
Germany,2040,Household packaging,PVC,Mechanical recycling,0.4
Germany,2045,Household packaging,PVC,Mechanical recycling,0.4
Germany,2050,Household packaging,PVC,Mechanical recycling,0.4
Germany,2020,Household packaging,PET,Mechanical recycling,0.83
Germany,2025,Household packaging,PET,Mechanical recycling,0.86
Germany,2030,Household packaging,PET,Mechanical recycling,0.88
Germany,2035,Household packaging,PET,Mechanical recycling,0.91
Germany,2040,Household packaging,PET,Mechanical recycling,0.91
Germany,2045,Household packaging,PET,Mechanical recycling,0.91
Germany,2050,Household packaging,PET,Mechanical recycling,0.91
Germany,2020,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2025,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2030,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2035,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2040,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2045,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2050,Household packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2020,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2025,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2030,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2035,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2040,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2045,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2050,Household packaging,PMMA,Mechanical recycling,0.0
Germany,2020,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2025,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2030,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2035,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2040,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2045,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2050,Household packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2020,Household packaging,PC,Mechanical recycling,0.0
Germany,2025,Household packaging,PC,Mechanical recycling,0.0
Germany,2030,Household packaging,PC,Mechanical recycling,0.0
Germany,2035,Household packaging,PC,Mechanical recycling,0.0
Germany,2040,Household packaging,PC,Mechanical recycling,0.0
Germany,2045,Household packaging,PC,Mechanical recycling,0.0
Germany,2050,Household packaging,PC,Mechanical recycling,0.0
Germany,2020,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2025,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2030,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2035,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2040,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2045,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2050,Household packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2020,Household packaging,PUR,Mechanical recycling,0.0
Germany,2025,Household packaging,PUR,Mechanical recycling,0.0
Germany,2030,Household packaging,PUR,Mechanical recycling,0.0
Germany,2035,Household packaging,PUR,Mechanical recycling,0.0
Germany,2040,Household packaging,PUR,Mechanical recycling,0.0
Germany,2045,Household packaging,PUR,Mechanical recycling,0.0
Germany,2050,Household packaging,PUR,Mechanical recycling,0.0
Germany,2020,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2025,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2030,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2035,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2040,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2045,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2050,Household packaging,Other Plastics,Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2025,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2030,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2035,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2040,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2045,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2050,Commercial & industrial packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2020,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2025,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2030,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2035,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2040,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2045,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2050,Commercial & industrial packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2020,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2025,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2030,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2035,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2040,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2045,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2050,Commercial & industrial packaging,PP,Mechanical recycling,0.6
Germany,2020,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2025,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2030,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2035,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2040,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2045,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2050,Commercial & industrial packaging,PS,Mechanical recycling,0.6
Germany,2020,Commercial & industrial packaging,PS-E,Mechanical recycling,0.18
Germany,2025,Commercial & industrial packaging,PS-E,Mechanical recycling,0.31
Germany,2030,Commercial & industrial packaging,PS-E,Mechanical recycling,0.4
Germany,2035,Commercial & industrial packaging,PS-E,Mechanical recycling,0.4
Germany,2040,Commercial & industrial packaging,PS-E,Mechanical recycling,0.4
Germany,2045,Commercial & industrial packaging,PS-E,Mechanical recycling,0.4
Germany,2050,Commercial & industrial packaging,PS-E,Mechanical recycling,0.4
Germany,2020,Commercial & industrial packaging,PVC,Mechanical recycling,0.18
Germany,2025,Commercial & industrial packaging,PVC,Mechanical recycling,0.31
Germany,2030,Commercial & industrial packaging,PVC,Mechanical recycling,0.4
Germany,2035,Commercial & industrial packaging,PVC,Mechanical recycling,0.4
Germany,2040,Commercial & industrial packaging,PVC,Mechanical recycling,0.4
Germany,2045,Commercial & industrial packaging,PVC,Mechanical recycling,0.4
Germany,2050,Commercial & industrial packaging,PVC,Mechanical recycling,0.4
Germany,2020,Commercial & industrial packaging,PET,Mechanical recycling,0.83
Germany,2025,Commercial & industrial packaging,PET,Mechanical recycling,0.86
Germany,2030,Commercial & industrial packaging,PET,Mechanical recycling,0.88
Germany,2035,Commercial & industrial packaging,PET,Mechanical recycling,0.91
Germany,2040,Commercial & industrial packaging,PET,Mechanical recycling,0.91
Germany,2045,Commercial & industrial packaging,PET,Mechanical recycling,0.91
Germany,2050,Commercial & industrial packaging,PET,Mechanical recycling,0.91
Germany,2020,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,PMMA,Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,PC,Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,Other Thermoplastics,Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,PUR,Mechanical recycling,0.0
Germany,2020,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2025,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2030,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2035,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2040,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2045,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2050,Commercial & industrial packaging,Other Plastics,Mechanical recycling,0.0
Germany,2020,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2025,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2030,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2035,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2040,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2045,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2050,Building and Construction,"PE-LD, -LLD",Mechanical recycling,0.0
Germany,2020,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.2
Germany,2025,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.33
Germany,2030,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.47
Germany,2035,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.59
Germany,2040,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.7
Germany,2045,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.7
Germany,2050,Building and Construction,"PE-HD, -MD",Mechanical recycling,0.7
Germany,2020,Building and Construction,PP,Mechanical recycling,0.0
Germany,2025,Building and Construction,PP,Mechanical recycling,0.0
Germany,2030,Building and Construction,PP,Mechanical recycling,0.0
Germany,2035,Building and Construction,PP,Mechanical recycling,0.0
Germany,2040,Building and Construction,PP,Mechanical recycling,0.0
Germany,2045,Building and Construction,PP,Mechanical recycling,0.0
Germany,2050,Building and Construction,PP,Mechanical recycling,0.0
Germany,2020,Building and Construction,PS,Mechanical recycling,0.0
Germany,2025,Building and Construction,PS,Mechanical recycling,0.0
Germany,2030,Building and Construction,PS,Mechanical recycling,0.0
Germany,2035,Building and Construction,PS,Mechanical recycling,0.0
Germany,2040,Building and Construction,PS,Mechanical recycling,0.0
Germany,2045,Building and Construction,PS,Mechanical recycling,0.0
Germany,2050,Building and Construction,PS,Mechanical recycling,0.0
Germany,2020,Building and Construction,PS-E,Mechanical recycling,0.09
Germany,2025,Building and Construction,PS-E,Mechanical recycling,0.24
Germany,2030,Building and Construction,PS-E,Mechanical recycling,0.39
Germany,2035,Building and Construction,PS-E,Mechanical recycling,0.5
Germany,2040,Building and Construction,PS-E,Mechanical recycling,0.5
Germany,2045,Building and Construction,PS-E,Mechanical recycling,0.5
Germany,2050,Building and Construction,PS-E,Mechanical recycling,0.5
Germany,2020,Building and Construction,PVC,Mechanical recycling,0.75
Germany,2025,Building and Construction,PVC,Mechanical recycling,0.8
Germany,2030,Building and Construction,PVC,Mechanical recycling,0.84
Germany,2035,Building and Construction,PVC,Mechanical recycling,0.88
Germany,2040,Building and Construction,PVC,Mechanical recycling,0.9
Germany,2045,Building and Construction,PVC,Mechanical recycling,0.9
Germany,2050,Building and Construction,PVC,Mechanical recycling,0.9
Germany,2020,Building and Construction,PET,Mechanical recycling,0.0
Germany,2025,Building and Construction,PET,Mechanical recycling,0.0
Germany,2030,Building and Construction,PET,Mechanical recycling,0.0
Germany,2035,Building and Construction,PET,Mechanical recycling,0.0
Germany,2040,Building and Construction,PET,Mechanical recycling,0.0
Germany,2045,Building and Construction,PET,Mechanical recycling,0.0
Germany,2050,Building and Construction,PET,Mechanical recycling,0.0
Germany,2020,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2025,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2030,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2035,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2040,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2045,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2050,Building and Construction,"ABS, SAN",Mechanical recycling,0.0
Germany,2020,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2025,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2030,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2035,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2040,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2045,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2050,Building and Construction,PMMA,Mechanical recycling,0.0
Germany,2020,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2025,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2030,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2035,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2040,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2045,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2050,Building and Construction,"PA (PA6, PA66)",Mechanical recycling,0.0
Germany,2020,Building and Construction,PC,Mechanical recycling,0.0
Germany,2025,Building and Construction,PC,Mechanical recycling,0.0
Germany,2030,Building and Construction,PC,Mechanical recycling,0.0
Germany,2035,Building and Construction,PC,Mechanical recycling,0.0
Germany,2040,Building and Construction,PC,Mechanical recycling,0.0
Germany,2045,Building and Construction,PC,Mechanical recycling,0.0
Germany,2050,Building and Construction,PC,Mechanical recycling,0.0
Germany,2020,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2025,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2030,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2035,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2040,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2045,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2050,Building and Construction,Other Thermoplastics,Mechanical recycling,0.0
Germany,2020,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2025,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2030,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2035,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2040,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2045,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2050,Building and Construction,PUR,Mechanical recycling,0.0
Germany,2020,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2025,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2030,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2035,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2040,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2045,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2050,Building and Construction,Other Plastics,Mechanical recycling,0.0
Germany,2020,EPS ETICS,PS-E,Mechanical recycling,0.09
Germany,2025,EPS ETICS,PS-E,Mechanical recycling,0.24
Germany,2030,EPS ETICS,PS-E,Mechanical recycling,0.39
Germany,2035,EPS ETICS,PS-E,Mechanical recycling,0.5
Germany,2040,EPS ETICS,PS-E,Mechanical recycling,0.5
