"region","time","sector","polymer","element","value"
"North",2028,"Household, Leisure, Sports","PC","All",0.01
"North",2028,"Household, Leisure, Sports","Other Thermoplastics","All",0.01
"East",2028,"Household, Leisure, Sports","PC","All",0.01
"East",2028,"Household, Leisure, Sports","PET","All",0.01
"East",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"East",2028,"Household, Leisure, Sports","PMMA","All",0.01
"North",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"North",2028,"Household, Leisure, Sports","PMMA","All",0.01
"South",2028,"Household, Leisure, Sports","PMMA","All",0.01
"South",2028,"Household, Leisure, Sports","PA (PA6, PA66)","All",0.01
"South",2028,"Household, Leisure, Sports","PC","All",0.01
"East",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"East",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"East",2028,"Household, Leisure, Sports","PP","All",0.01
"East",2028,"Household, Leisure, Sports","PS","All",0.01
"East",2028,"Household, Leisure, Sports","PS-E","All",0.01
"East",2028,"Household, Leisure, Sports","PVC","All",0.01
"West",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"West",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"West",2028,"Household, Leisure, Sports","PP","All",0.01
"West",2028,"Household, Leisure, Sports","PS","All",0.01
"West",2028,"Household, Leisure, Sports","PS-E","All",0.01
"West",2028,"Household, Leisure, Sports","PVC","All",0.01
"West",2028,"Household, Leisure, Sports","PET","All",0.01
"West",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"West",2028,"Household, Leisure, Sports","PMMA","All",0.01
"North",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"North",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"North",2028,"Household, Leisure, Sports","PP","All",0.01
"North",2028,"Household, Leisure, Sports","PS","All",0.01
"North",2028,"Household, Leisure, Sports","PS-E","All",0.01
"North",2028,"Household, Leisure, Sports","PVC","All",0.01
"North",2028,"Household, Leisure, Sports","PET","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PP","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PS","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PS-E","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PVC","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PET","All",0.01
"South",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"South",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"South",2028,"Household, Leisure, Sports","PP","All",0.01
"South",2028,"Household, Leisure, Sports","PS","All",0.01
"South",2028,"Household, Leisure, Sports","PS-E","All",0.01
"South",2028,"Household, Leisure, Sports","PVC","All",0.01
"South",2028,"Household, Leisure, Sports","PET","All",0.01
"South",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"Germany",2028,"Household, Leisure, Sports","PE-LD, -LLD","All",0.01
"Germany",2028,"Household, Leisure, Sports","PE-HD, -MD","All",0.01
"Germany",2028,"Household, Leisure, Sports","PP","All",0.01
"Germany",2028,"Household, Leisure, Sports","PS","All",0.01
"Germany",2028,"Household, Leisure, Sports","PS-E","All",0.01
"Germany",2028,"Household, Leisure, Sports","PVC","All",0.01
"Germany",2028,"Household, Leisure, Sports","PET","All",0.01
"Germany",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"Germany",2028,"Household, Leisure, Sports","PMMA","All",0.01
"Germany",2028,"Household, Leisure, Sports","PA (PA6, PA66)","All",0.01
"Germany",2028,"Household, Leisure, Sports","PC","All",0.01
"Germany",2028,"Household, Leisure, Sports","Other Thermoplastics","All",0.01
"Germany",2028,"Household, Leisure, Sports","PUR","All",0.01
"Germany",2028,"Household, Leisure, Sports","Other Plastics","All",0.01
"North",2028,"Household, Leisure, Sports","PUR","All",0.01
"West",2028,"Household, Leisure, Sports","PA (PA6, PA66)","All",0.01
"West",2028,"Household, Leisure, Sports","PC","All",0.01
"West",2028,"Household, Leisure, Sports","Other Thermoplastics","All",0.01
"West",2028,"Household, Leisure, Sports","PUR","All",0.01
"West",2028,"Household, Leisure, Sports","Other Plastics","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","Other Thermoplastics","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PUR","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","Other Plastics","All",0.01
"South",2028,"Household, Leisure, Sports","Other Thermoplastics","All",0.01
"North",2028,"Household, Leisure, Sports","Other Plastics","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","ABS, SAN","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PMMA","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PA (PA6, PA66)","All",0.01
"EU27+3",2028,"Household, Leisure, Sports","PC","All",0.01
"South",2028,"Household, Leisure, Sports","PUR","All",0.01
"South",2028,"Household, Leisure, Sports","Other Plastics","All",0.01
"Germany",2028,"Others","PE-HD, -MD","All",0.01
"Germany",2028,"Others","PP","All",0.01
"Germany",2028,"Others","PS","All",0.01
"Germany",2028,"Others","PE-LD, -LLD","All",0.01
"Germany",2028,"Others","Other Plastics","All",0.01
"East",2028,"Others","PC","All",0.01
"East",2028,"Others","Other Thermoplastics","All",0.01
"East",2028,"Others","PUR","All",0.01
"Germany",2028,"Others","PUR","All",0.01
"North",2028,"Others","ABS, SAN","All",0.01
"Germany",2028,"Others","PC","All",0.01
"Germany",2028,"Others","Other Thermoplastics","All",0.01
"North",2028,"Others","PC","All",0.01
"Germany",2028,"Others","PS-E","All",0.01
"North",2028,"Others","PMMA","All",0.01
"North",2028,"Others","PA (PA6, PA66)","All",0.01
"South",2028,"Others","PE-LD, -LLD","All",0.01
"South",2028,"Others","PE-HD, -MD","All",0.01
"South",2028,"Others","PP","All",0.01
"South",2028,"Others","PS","All",0.01
"South",2028,"Others","PS-E","All",0.01
"South",2028,"Others","PVC","All",0.01
"South",2028,"Others","PET","All",0.01
"South",2028,"Others","ABS, SAN","All",0.01
"South",2028,"Others","PMMA","All",0.01
"South",2028,"Others","PA (PA6, PA66)","All",0.01
"South",2028,"Others","PC","All",0.01
"East",2028,"Others","PE-LD, -LLD","All",0.01
"Germany",2028,"Others","PVC","All",0.01
"Germany",2028,"Others","PET","All",0.01
"Germany",2028,"Others","ABS, SAN","All",0.01
"Germany",2028,"Others","PMMA","All",0.01
"Germany",2028,"Others","PA (PA6, PA66)","All",0.01
"East",2028,"Others","PET","All",0.01
"East",2028,"Others","ABS, SAN","All",0.01
"East",2028,"Others","PMMA","All",0.01
"East",2028,"Others","PA (PA6, PA66)","All",0.01
"West",2028,"Others","PS-E","All",0.01
"West",2028,"Others","PVC","All",0.01
"West",2028,"Others","PET","All",0.01
"West",2028,"Others","ABS, SAN","All",0.01
"West",2028,"Others","PMMA","All",0.01
"North",2028,"Others","PE-LD, -LLD","All",0.01
"North",2028,"Others","PE-HD, -MD","All",0.01
"North",2028,"Others","PP","All",0.01
"North",2028,"Others","PS","All",0.01
"North",2028,"Others","PS-E","All",0.01
"North",2028,"Others","PVC","All",0.01
"North",2028,"Others","PET","All",0.01
"EU27+3",2028,"Others","PE-LD, -LLD","All",0.01
"EU27+3",2028,"Others","PE-HD, -MD","All",0.01
"EU27+3",2028,"Others","PP","All",0.01
"EU27+3",2028,"Others","PS","All",0.01
"EU27+3",2028,"Others","PS-E","All",0.01
"EU27+3",2028,"Others","PVC","All",0.01
"EU27+3",2028,"Others","PET","All",0.01
"EU27+3",2028,"Others","ABS, SAN","All",0.01
"EU27+3",2028,"Others","PMMA","All",0.01
"EU27+3",2028,"Others","PA (PA6, PA66)","All",0.01
"EU27+3",2028,"Others","PC","All",0.01
"EU27+3",2028,"Others","Other Thermoplastics","All",0.01
"EU27+3",2028,"Others","PUR","All",0.01
"EU27+3",2028,"Others","Other Plastics","All",0.01
"West",2028,"Others","PS","All",0.01
"East",2028,"Others","PE-HD, -MD","All",0.01
"East",2028,"Others","PP","All",0.01
"East",2028,"Others","PS","All",0.01
"South",2028,"Others","Other Thermoplastics","All",0.01
"East",2028,"Others","PVC","All",0.01
"West",2028,"Others","PE-LD, -LLD","All",0.01
"West",2028,"Others","PE-HD, -MD","All",0.01
"East",2028,"Others","PS-E","All",0.01
"West",2028,"Others","PC","All",0.01
"East",2028,"Others","Other Plastics","All",0.01
"North",2028,"Others","PUR","All",0.01
"West",2028,"Others","PP","All",0.01
"North",2028,"Others","Other Plastics","All",0.01
"West",2028,"Others","Other Thermoplastics","All",0.01
"West",2028,"Others","PUR","All",0.01
"West",2028,"Others","PA (PA6, PA66)","All",0.01
"South",2028,"Others","Other Plastics","All",0.01
"North",2028,"Others","Other Thermoplastics","All",0.01
"West",2028,"Others","Other Plastics","All",0.01
"South",2028,"Others","PUR","All",0.01
"West",2029,"Agriculture","PS","All",0.01
"West",2029,"Agriculture","PE-HD, -MD","All",0.01
"West",2029,"Agriculture","PP","All",0.01
"EU27+3",2029,"Agriculture","PE-LD, -LLD","All",0.01
"EU27+3",2029,"Agriculture","PE-HD, -MD","All",0.01
"EU27+3",2029,"Agriculture","PP","All",0.01
"EU27+3",2029,"Agriculture","PS","All",0.01
"South",2029,"Agriculture","PP","All",0.01
"South",2029,"Agriculture","PS","All",0.01
"West",2029,"Agriculture","PE-LD, -LLD","All",0.01
"South",2029,"Agriculture","PE-HD, -MD","All",0.01
"Germany",2029,"Agriculture","PE-LD, -LLD","All",0.01
"Germany",2029,"Agriculture","PE-HD, -MD","All",0.01
"South",2029,"Agriculture","PS-E","All",0.01
"South",2029,"Agriculture","PVC","All",0.01
"South",2029,"Agriculture","PUR","All",0.01
"South",2029,"Agriculture","Other Plastics","All",0.01
"Germany",2029,"Agriculture","PP","All",0.01
"South",2029,"Agriculture","PE-LD, -LLD","All",0.01
"Germany",2029,"Agriculture","PC","All",0.01
"Germany",2029,"Agriculture","Other Thermoplastics","All",0.01
"Germany",2029,"Agriculture","PMMA","All",0.01
"Germany",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"West",2029,"Agriculture","PET","All",0.01
"West",2029,"Agriculture","ABS, SAN","All",0.01
"West",2029,"Agriculture","PS-E","All",0.01
"West",2029,"Agriculture","PVC","All",0.01
"South",2029,"Agriculture","Other Thermoplastics","All",0.01
"North",2029,"Agriculture","PE-LD, -LLD","All",0.01
"North",2029,"Agriculture","PE-HD, -MD","All",0.01
"North",2029,"Agriculture","PP","All",0.01
"North",2029,"Agriculture","PS","All",0.01
"North",2029,"Agriculture","PS-E","All",0.01
"North",2029,"Agriculture","PVC","All",0.01
"North",2029,"Agriculture","PET","All",0.01
"North",2029,"Agriculture","ABS, SAN","All",0.01
"North",2029,"Agriculture","PMMA","All",0.01
"North",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"North",2029,"Agriculture","PC","All",0.01
"North",2029,"Agriculture","Other Thermoplastics","All",0.01
"North",2029,"Agriculture","PUR","All",0.01
"North",2029,"Agriculture","Other Plastics","All",0.01
"EU27+3",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"EU27+3",2029,"Agriculture","PC","All",0.01
"EU27+3",2029,"Agriculture","Other Thermoplastics","All",0.01
"EU27+3",2029,"Agriculture","PUR","All",0.01
"EU27+3",2029,"Agriculture","Other Plastics","All",0.01
"East",2029,"Agriculture","PET","All",0.01
"Germany",2029,"Agriculture","PUR","All",0.01
"South",2029,"Agriculture","PET","All",0.01
"South",2029,"Agriculture","ABS, SAN","All",0.01
"South",2029,"Agriculture","PMMA","All",0.01
"South",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"South",2029,"Agriculture","PC","All",0.01
"Germany",2029,"Agriculture","PVC","All",0.01
"Germany",2029,"Agriculture","PET","All",0.01
"Germany",2029,"Agriculture","ABS, SAN","All",0.01
"East",2029,"Agriculture","PS","All",0.01
"East",2029,"Agriculture","PS-E","All",0.01
"East",2029,"Agriculture","PVC","All",0.01
"East",2029,"Agriculture","PC","All",0.01
"West",2029,"Agriculture","PMMA","All",0.01
"Germany",2029,"Agriculture","Other Plastics","All",0.01
"East",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"West",2029,"Agriculture","Other Thermoplastics","All",0.01
"West",2029,"Agriculture","PUR","All",0.01
"West",2029,"Agriculture","PA (PA6, PA66)","All",0.01
"West",2029,"Agriculture","PC","All",0.01
"East",2029,"Agriculture","PMMA","All",0.01
"EU27+3",2029,"Agriculture","PS-E","All",0.01
"West",2029,"Agriculture","Other Plastics","All",0.01
"East",2029,"Agriculture","ABS, SAN","All",0.01
"EU27+3",2029,"Agriculture","ABS, SAN","All",0.01
"EU27+3",2029,"Agriculture","PMMA","All",0.01
"EU27+3",2029,"Agriculture","PVC","All",0.01
"EU27+3",2029,"Agriculture","PET","All",0.01
"Germany",2029,"Agriculture","PS","All",0.01
"Germany",2029,"Agriculture","PS-E","All",0.01
"East",2029,"Agriculture","PE-HD, -MD","All",0.01
"East",2029,"Agriculture","PP","All",0.01
"East",2029,"Agriculture","Other Thermoplastics","All",0.01
"East",2029,"Agriculture","PE-LD, -LLD","All",0.01
"East",2029,"Agriculture","Other Plastics","All",0.01
"East",2029,"Agriculture","PUR","All",0.01
"EU27+3",2029,"Automotive","PS","All",0.0078125
"EU27+3",2029,"Automotive","PP","All",0.0078125
"West",2029,"Automotive","PS","All",0.0078125
"EU27+3",2029,"Automotive","PE-HD, -MD","All",0.0078125
"West",2029,"Automotive","PP","All",0.0078125
"West",2029,"Automotive","ABS, SAN","All",0.0078125
"EU27+3",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"West",2029,"Automotive","PE-HD, -MD","All",0.0078125
"West",2029,"Automotive","PET","All",0.0078125
"North",2029,"Automotive","PE-HD, -MD","All",0.0078125
"West",2029,"Automotive","PS-E","All",0.0078125
"West",2029,"Automotive","PVC","All",0.0078125
"North",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"North",2029,"Automotive","PVC","All",0.0078125
"North",2029,"Automotive","PP","All",0.0078125
"North",2029,"Automotive","PS","All",0.0078125
"North",2029,"Automotive","PS-E","All",0.0078125
"EU27+3",2029,"Automotive","ABS, SAN","All",0.0078125
"EU27+3",2029,"Automotive","PS-E","All",0.0078125
"EU27+3",2029,"Automotive","PVC","All",0.0078125
"EU27+3",2029,"Automotive","PET","All",0.0078125
"EU27+3",2029,"Automotive","Other Thermoplastics","All",0.0078125
"EU27+3",2029,"Automotive","PUR","All",0.0078125
"EU27+3",2029,"Automotive","Other Plastics","All",0.0078125
"South",2029,"Automotive","PS","All",0.0078125
"South",2029,"Automotive","PS-E","All",0.0078125
"Germany",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"Germany",2029,"Automotive","PE-HD, -MD","All",0.0078125
"Germany",2029,"Automotive","PP","All",0.0078125
"Germany",2029,"Automotive","PS","All",0.0078125
"Germany",2029,"Automotive","PS-E","All",0.0078125
"Germany",2029,"Automotive","PVC","All",0.0078125
"Germany",2029,"Automotive","PET","All",0.0078125
"West",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"Germany",2029,"Automotive","PMMA","All",0.0078125
"Germany",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"Germany",2029,"Automotive","PC","All",0.0078125
"Germany",2029,"Automotive","Other Thermoplastics","All",0.0078125
"Germany",2029,"Automotive","PUR","All",0.0078125
"Germany",2029,"Automotive","Other Plastics","All",0.0078125
"East",2029,"Automotive","PET","All",0.0078125
"East",2029,"Automotive","ABS, SAN","All",0.0078125
"West",2029,"Automotive","PMMA","All",0.0078125
"West",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"West",2029,"Automotive","PC","All",0.0078125
"West",2029,"Automotive","Other Thermoplastics","All",0.0078125
"West",2029,"Automotive","PUR","All",0.0078125
"West",2029,"Automotive","Other Plastics","All",0.0078125
"South",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"South",2029,"Automotive","PE-HD, -MD","All",0.0078125
"South",2029,"Automotive","PP","All",0.0078125
"East",2029,"Automotive","PS","All",0.0078125
"East",2029,"Automotive","PS-E","All",0.0078125
"South",2029,"Automotive","PVC","All",0.0078125
"North",2029,"Automotive","PET","All",0.0078125
"North",2029,"Automotive","ABS, SAN","All",0.0078125
"North",2029,"Automotive","PMMA","All",0.0078125
"North",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"EU27+3",2029,"Automotive","PMMA","All",0.0078125
"EU27+3",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"EU27+3",2029,"Automotive","PC","All",0.0078125
"South",2029,"Automotive","Other Plastics","All",0.0078125
"East",2029,"Automotive","PE-HD, -MD","All",0.0078125
"East",2029,"Automotive","PP","All",0.0078125
"South",2029,"Automotive","ABS, SAN","All",0.0078125
"South",2029,"Automotive","PMMA","All",0.0078125
"East",2029,"Automotive","PVC","All",0.0078125
"South",2029,"Automotive","PET","All",0.0078125
"South",2029,"Automotive","Other Thermoplastics","All",0.0078125
"Germany",2029,"Automotive","ABS, SAN","All",0.0078125
"South",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"South",2029,"Automotive","PC","All",0.0078125
"East",2029,"Automotive","PC","All",0.0078125
"East",2029,"Automotive","Other Thermoplastics","All",0.0078125
"East",2029,"Automotive","Other Plastics","All",0.0078125
"North",2029,"Automotive","Other Plastics","All",0.0078125
"East",2029,"Automotive","PE-LD, -LLD","All",0.0078125
"East",2029,"Automotive","PMMA","All",0.0078125
"East",2029,"Automotive","PA (PA6, PA66)","All",0.0078125
"South",2029,"Automotive","PUR","All",0.0078125
"East",2029,"Automotive","PUR","All",0.0078125
"North",2029,"Automotive","PUR","All",0.0078125
"North",2029,"Automotive","PC","All",0.0078125
"North",2029,"Automotive","Other Thermoplastics","All",0.0078125
"Germany",2029,"Building and Construction","PUR","All",0.014184397
"Germany",2029,"Building and Construction","Other Plastics","All",0.014184397
"Germany",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"EU27+3",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"EU27+3",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"EU27+3",2029,"Building and Construction","PP","All",0.014184397
"Germany",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"EU27+3",2029,"Building and Construction","PS-E","All",0.014184397
"EU27+3",2029,"Building and Construction","PVC","All",0.014184397
"EU27+3",2029,"Building and Construction","PET","All",0.014184397
"Germany",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"Germany",2029,"Building and Construction","PC","All",0.014184397
"EU27+3",2029,"Building and Construction","Other Plastics","All",0.014184397
"South",2029,"Building and Construction","PP","All",0.014184397
"EU27+3",2029,"Building and Construction","PS","All",0.014184397
"South",2029,"Building and Construction","PS-E","All",0.014184397
"South",2029,"Building and Construction","PVC","All",0.014184397
"Germany",2029,"Building and Construction","PP","All",0.014184397
"South",2029,"Building and Construction","PS","All",0.014184397
"Germany",2029,"Building and Construction","PS-E","All",0.014184397
"Germany",2029,"Building and Construction","PVC","All",0.014184397
"Germany",2029,"Building and Construction","PET","All",0.014184397
"Germany",2029,"Building and Construction","PS","All",0.014184397
"Germany",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"EU27+3",2029,"Building and Construction","PUR","All",0.014184397
"West",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"West",2029,"Building and Construction","PP","All",0.014184397
"West",2029,"Building and Construction","PS","All",0.014184397
"West",2029,"Building and Construction","PS-E","All",0.014184397
"West",2029,"Building and Construction","PVC","All",0.014184397
"West",2029,"Building and Construction","PET","All",0.014184397
"West",2029,"Building and Construction","ABS, SAN","All",0.014184397
"West",2029,"Building and Construction","PMMA","All",0.014184397
"West",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"West",2029,"Building and Construction","PC","All",0.014184397
"West",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"Germany",2029,"Building and Construction","PMMA","All",0.014184397
"West",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"North",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"North",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"North",2029,"Building and Construction","PP","All",0.014184397
"North",2029,"Building and Construction","PS","All",0.014184397
"North",2029,"Building and Construction","PS-E","All",0.014184397
"North",2029,"Building and Construction","PVC","All",0.014184397
"North",2029,"Building and Construction","PET","All",0.014184397
"North",2029,"Building and Construction","ABS, SAN","All",0.014184397
"EU27+3",2029,"Building and Construction","ABS, SAN","All",0.014184397
"EU27+3",2029,"Building and Construction","PMMA","All",0.014184397
"EU27+3",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"EU27+3",2029,"Building and Construction","PC","All",0.014184397
"EU27+3",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"South",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"South",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"East",2029,"Building and Construction","PS","All",0.014184397
"East",2029,"Building and Construction","PS-E","All",0.014184397
"East",2029,"Building and Construction","PVC","All",0.014184397
"East",2029,"Building and Construction","PET","All",0.014184397
"South",2029,"Building and Construction","PET","All",0.014184397
"South",2029,"Building and Construction","ABS, SAN","All",0.014184397
"South",2029,"Building and Construction","PMMA","All",0.014184397
"South",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"South",2029,"Building and Construction","PC","All",0.014184397
"Germany",2029,"Building and Construction","ABS, SAN","All",0.014184397
"South",2029,"Building and Construction","PUR","All",0.014184397
"South",2029,"Building and Construction","Other Plastics","All",0.014184397
"East",2029,"Building and Construction","PP","All",0.014184397
"East",2029,"Building and Construction","ABS, SAN","All",0.014184397
"East",2029,"Building and Construction","PMMA","All",0.014184397
"East",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"East",2029,"Building and Construction","PC","All",0.014184397
"East",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"East",2029,"Building and Construction","PUR","All",0.014184397
"West",2029,"Building and Construction","PUR","All",0.014184397
"West",2029,"Building and Construction","Other Plastics","All",0.014184397
"North",2029,"Building and Construction","Other Plastics","All",0.014184397
"North",2029,"Building and Construction","PA (PA6, PA66)","All",0.014184397
"North",2029,"Building and Construction","PC","All",0.014184397
"North",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"North",2029,"Building and Construction","PMMA","All",0.014184397
"East",2029,"Building and Construction","PE-HD, -MD","All",0.014184397
"East",2029,"Building and Construction","Other Plastics","All",0.014184397
"North",2029,"Building and Construction","PUR","All",0.014184397
"East",2029,"Building and Construction","PE-LD, -LLD","All",0.014184397
"South",2029,"Building and Construction","Other Thermoplastics","All",0.014184397
"Germany",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"East",2029,"Commercial & industrial packaging","PET","All",0.01
"Germany",2029,"Commercial & industrial packaging","PUR","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"East",2029,"Commercial & industrial packaging","ABS, SAN","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PS","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PS-E","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PVC","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PP","All",0.01
"North",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"North",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"South",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"Germany",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"Germany",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"Germany",2029,"Commercial & industrial packaging","PP","All",0.01
"Germany",2029,"Commercial & industrial packaging","PS","All",0.01
"Germany",2029,"Commercial & industrial packaging","PMMA","All",0.01
"Germany",2029,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"Germany",2029,"Commercial & industrial packaging","PC","All",0.01
"Germany",2029,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"East",2029,"Commercial & industrial packaging","PS-E","All",0.01
"East",2029,"Commercial & industrial packaging","PVC","All",0.01
"West",2029,"Commercial & industrial packaging","PP","All",0.01
"West",2029,"Commercial & industrial packaging","PS","All",0.01
"West",2029,"Commercial & industrial packaging","PS-E","All",0.01
"West",2029,"Commercial & industrial packaging","PVC","All",0.01
"West",2029,"Commercial & industrial packaging","PET","All",0.01
"West",2029,"Commercial & industrial packaging","ABS, SAN","All",0.01
"West",2029,"Commercial & industrial packaging","PMMA","All",0.01
"West",2029,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"West",2029,"Commercial & industrial packaging","PC","All",0.01
"West",2029,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"West",2029,"Commercial & industrial packaging","PUR","All",0.01
"North",2029,"Commercial & industrial packaging","PP","All",0.01
"North",2029,"Commercial & industrial packaging","PS","All",0.01
"North",2029,"Commercial & industrial packaging","PS-E","All",0.01
"North",2029,"Commercial & industrial packaging","PVC","All",0.01
"North",2029,"Commercial & industrial packaging","PET","All",0.01
"North",2029,"Commercial & industrial packaging","ABS, SAN","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PET","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","ABS, SAN","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PMMA","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PC","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"EU27+3",2029,"Commercial & industrial packaging","PUR","All",0.01
"South",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"West",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"South",2029,"Commercial & industrial packaging","PP","All",0.01
"South",2029,"Commercial & industrial packaging","PS","All",0.01
"South",2029,"Commercial & industrial packaging","PS-E","All",0.01
"South",2029,"Commercial & industrial packaging","PVC","All",0.01
"Germany",2029,"Commercial & industrial packaging","PS-E","All",0.01
"Germany",2029,"Commercial & industrial packaging","PVC","All",0.01
"Germany",2029,"Commercial & industrial packaging","PET","All",0.01
"Germany",2029,"Commercial & industrial packaging","ABS, SAN","All",0.01
"East",2029,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"East",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"East",2029,"Commercial & industrial packaging","PP","All",0.01
"East",2029,"Commercial & industrial packaging","PS","All",0.01
"West",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"West",2029,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"East",2029,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"East",2029,"Commercial & industrial packaging","PC","All",0.01
"East",2029,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"East",2029,"Commercial & industrial packaging","PMMA","All",0.01
"East",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"North",2029,"Commercial & industrial packaging","PUR","All",0.01
"North",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"East",2029,"Commercial & industrial packaging","PUR","All",0.01
"South",2029,"Commercial & industrial packaging","Other Plastics","All",0.01
"North",2029,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"North",2029,"Commercial & industrial packaging","PMMA","All",0.01
"South",2029,"Commercial & industrial packaging","PUR","All",0.01
"North",2029,"Commercial & industrial packaging","PC","All",0.01
"South",2029,"Commercial & industrial packaging","PMMA","All",0.01
