"region","time","sector","intermediary_product","product","value"
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Tinned",0.9
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Electrical Sheet",0.9
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Welded Tube",0.9
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Seamless Tube",0.9
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Iron",0.9
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Steel",0.9
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Light Sections",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Heavy Sections",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rail",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rebar",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Wire Rod",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Bar",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Plate",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Electrical Sheet",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Welded Tube",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Seamless Tube",0.5
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Iron",0.5
