"region","sector","intermediary_product","product","value"
"EU27+1","Miscellaneous","Steel Intermediary","Plate",12
"EU27+1","Miscellaneous","Steel Intermediary","Hot Rolled Coil",12
"EU27+1","Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized",12
"EU27+1","Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip",12
"EU27+1","Miscellaneous","Steel Intermediary","Cold Rolled Coil",12
"EU27+1","Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized",12
"EU27+1","Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated",12
"EU27+1","Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned",12
"EU27+1","Miscellaneous","Steel Intermediary","Electrical Sheet",12
"EU27+1","Miscellaneous","Steel Intermediary","Welded Tube",12
"EU27+1","Miscellaneous","Steel Intermediary","Seamless Tube",12
"EU27+1","Miscellaneous","Steel Intermediary","Cast Iron",12
"EU27+1","Miscellaneous","Steel Intermediary","Cast Steel",12
"EU27+1","Metalware","Steel Intermediary","Light Sections",13
"EU27+1","Metalware","Steel Intermediary","Heavy Sections",13
"EU27+1","Metalware","Steel Intermediary","Rail",13
"EU27+1","Metalware","Steel Intermediary","Rebar",13
"EU27+1","Metalware","Steel Intermediary","Wire Rod",13
"EU27+1","Metalware","Steel Intermediary","Hot Rolled Bar",13
"EU27+1","Metalware","Steel Intermediary","Plate",13
"EU27+1","Metalware","Steel Intermediary","Hot Rolled Coil",13
"EU27+1","Metalware","Steel Intermediary","Hot Rolled Coil Galvanized",13
"EU27+1","Metalware","Steel Intermediary","Hot Rolled Narrow Strip",13
"EU27+1","Metalware","Steel Intermediary","Cold Rolled Coil",13
"EU27+1","Metalware","Steel Intermediary","Cold Rolled Coil Galvanized",13
"EU27+1","Metalware","Steel Intermediary","Cold Rolled Coil Organic Coated",13
"EU27+1","Metalware","Steel Intermediary","Cold Rolled Coil Tinned",13
"EU27+1","Metalware","Steel Intermediary","Electrical Sheet",13
"EU27+1","Metalware","Steel Intermediary","Welded Tube",13
"EU27+1","Metalware","Steel Intermediary","Seamless Tube",13
"EU27+1","Metalware","Steel Intermediary","Cast Iron",13
"EU27+1","Metalware","Steel Intermediary","Cast Steel",13
"EU27+1","Domestic appliances","Steel Intermediary","Light Sections",18
"EU27+1","Domestic appliances","Steel Intermediary","Heavy Sections",18
"EU27+1","Domestic appliances","Steel Intermediary","Rail",18
"EU27+1","Domestic appliances","Steel Intermediary","Rebar",18
"EU27+1","Domestic appliances","Steel Intermediary","Wire Rod",18
"EU27+1","Domestic appliances","Steel Intermediary","Hot Rolled Bar",18
"EU27+1","Domestic appliances","Steel Intermediary","Plate",18
"EU27+1","Domestic appliances","Steel Intermediary","Hot Rolled Coil",18
"EU27+1","Domestic appliances","Steel Intermediary","Hot Rolled Coil Galvanized",18
"EU27+1","Domestic appliances","Steel Intermediary","Hot Rolled Narrow Strip",18
"EU27+1","Domestic appliances","Steel Intermediary","Cold Rolled Coil",18
"EU27+1","Domestic appliances","Steel Intermediary","Cold Rolled Coil Galvanized",18
"EU27+1","Domestic appliances","Steel Intermediary","Cold Rolled Coil Organic Coated",18
"EU27+1","Domestic appliances","Steel Intermediary","Cold Rolled Coil Tinned",18
"EU27+1","Domestic appliances","Steel Intermediary","Electrical Sheet",18
"EU27+1","Domestic appliances","Steel Intermediary","Welded Tube",18
"EU27+1","Domestic appliances","Steel Intermediary","Seamless Tube",18
"EU27+1","Domestic appliances","Steel Intermediary","Cast Iron",18
"EU27+1","Domestic appliances","Steel Intermediary","Cast Steel",18
