Region;Building type;Age cohort;Steel product;value
CYP;Edu;2040<;Concrete reinforcing bars in precast concrete;12.096
CYP;Edu;2040<;Hot rolled bars;0
CYP;Edu;2040<;Wire rod;0
CYP;Edu;2040<;Railway track material;0
CYP;Edu;2040<;Heavy sections;0
CYP;Edu;2040<;Light sections;0
CYP;Edu;2040<;Seamless tubes;0
CYP;Edu;2040<;Hot rolled plate;0
CYP;Edu;2040<;Hot rolled coild, sheet and strip;0
CYP;Edu;2040<;Electrical sheet and strip;0
CYP;Edu;2040<;Tinmill products;0
CYP;Edu;2040<;Other metal coated sheet and strip;0
CYP;Edu;2040<;Non-metallic coated sheet and strip;0
CYP;Edu;2040<;Welded tubes;0
CYP;Edu;2040<;Liquid steel;0
CYP;Hea;>1945;Concrete reinforcing bars in transport concrete;0
CYP;Hea;>1945;Concrete reinforcing bars in precast concrete;0
CYP;Hea;>1945;Hot rolled bars;0
CYP;Hea;>1945;Wire rod;0
CYP;Hea;>1945;Railway track material;0
CYP;Hea;>1945;Heavy sections;0
CYP;Hea;>1945;Light sections;0
CYP;Hea;>1945;Seamless tubes;0
CYP;Hea;>1945;Hot rolled plate;0
CYP;Hea;>1945;Hot rolled coild, sheet and strip;0
CYP;Hea;>1945;Electrical sheet and strip;0
CYP;Hea;>1945;Tinmill products;0
CYP;Hea;>1945;Other metal coated sheet and strip;0
CYP;Hea;>1945;Non-metallic coated sheet and strip;0
CYP;Hea;>1945;Welded tubes;0
CYP;Hea;>1945;Liquid steel;0
CYP;Hea;1945-1969;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;1945-1969;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;1945-1969;Hot rolled bars;0
CYP;Hea;1945-1969;Wire rod;0
CYP;Hea;1945-1969;Railway track material;0
CYP;Hea;1945-1969;Heavy sections;0
CYP;Hea;1945-1969;Light sections;0
CYP;Hea;1945-1969;Seamless tubes;0
CYP;Hea;1945-1969;Hot rolled plate;0
CYP;Hea;1945-1969;Hot rolled coild, sheet and strip;0
CYP;Hea;1945-1969;Electrical sheet and strip;0
CYP;Hea;1945-1969;Tinmill products;0
CYP;Hea;1945-1969;Other metal coated sheet and strip;0
CYP;Hea;1945-1969;Non-metallic coated sheet and strip;0
CYP;Hea;1945-1969;Welded tubes;0
CYP;Hea;1945-1969;Liquid steel;0
CYP;Hea;1970-1989;Concrete reinforcing bars in transport concrete;97.6524492
CYP;Hea;1970-1989;Concrete reinforcing bars in precast concrete;44.9058708
CYP;Hea;1970-1989;Hot rolled bars;0
CYP;Hea;1970-1989;Wire rod;0
CYP;Hea;1970-1989;Railway track material;0
CYP;Hea;1970-1989;Heavy sections;0
CYP;Hea;1970-1989;Light sections;0
CYP;Hea;1970-1989;Seamless tubes;0
CYP;Hea;1970-1989;Hot rolled plate;0
CYP;Hea;1970-1989;Hot rolled coild, sheet and strip;0
CYP;Hea;1970-1989;Electrical sheet and strip;0
CYP;Hea;1970-1989;Tinmill products;0
CYP;Hea;1970-1989;Other metal coated sheet and strip;0
CYP;Hea;1970-1989;Non-metallic coated sheet and strip;0
CYP;Hea;1970-1989;Welded tubes;0
CYP;Hea;1970-1989;Liquid steel;0
CYP;Hea;1990-2010;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;1990-2010;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;1990-2010;Hot rolled bars;0
CYP;Hea;1990-2010;Wire rod;0
CYP;Hea;1990-2010;Railway track material;0
CYP;Hea;1990-2010;Heavy sections;0
CYP;Hea;1990-2010;Light sections;0
CYP;Hea;1990-2010;Seamless tubes;0
CYP;Hea;1990-2010;Hot rolled plate;0
CYP;Hea;1990-2010;Hot rolled coild, sheet and strip;0
CYP;Hea;1990-2010;Electrical sheet and strip;0
CYP;Hea;1990-2010;Tinmill products;0
CYP;Hea;1990-2010;Other metal coated sheet and strip;0
CYP;Hea;1990-2010;Non-metallic coated sheet and strip;0
CYP;Hea;1990-2010;Welded tubes;0
CYP;Hea;1990-2010;Liquid steel;0
CYP;Hea;2011-2020;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;2011-2020;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;2011-2020;Hot rolled bars;0
CYP;Hea;2011-2020;Wire rod;0
CYP;Hea;2011-2020;Railway track material;0
CYP;Hea;2011-2020;Heavy sections;0
CYP;Hea;2011-2020;Light sections;0
CYP;Hea;2011-2020;Seamless tubes;0
CYP;Hea;2011-2020;Hot rolled plate;0
CYP;Hea;2011-2020;Hot rolled coild, sheet and strip;0
CYP;Hea;2011-2020;Electrical sheet and strip;0
CYP;Hea;2011-2020;Tinmill products;0
CYP;Hea;2011-2020;Other metal coated sheet and strip;0
CYP;Hea;2011-2020;Non-metallic coated sheet and strip;0
CYP;Hea;2011-2020;Welded tubes;0
CYP;Hea;2011-2020;Liquid steel;0
CYP;Hea;2021-2030;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;2021-2030;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;2021-2030;Hot rolled bars;0
CYP;Hea;2021-2030;Wire rod;0
CYP;Hea;2021-2030;Railway track material;0
CYP;Hea;2021-2030;Heavy sections;0
CYP;Hea;2021-2030;Light sections;0
CYP;Hea;2021-2030;Seamless tubes;0
CYP;Hea;2021-2030;Hot rolled plate;0
CYP;Hea;2021-2030;Hot rolled coild, sheet and strip;0
CYP;Hea;2021-2030;Electrical sheet and strip;0
CYP;Hea;2021-2030;Tinmill products;0
CYP;Hea;2021-2030;Other metal coated sheet and strip;0
CYP;Hea;2021-2030;Non-metallic coated sheet and strip;0
CYP;Hea;2021-2030;Welded tubes;0
CYP;Hea;2021-2030;Liquid steel;0
CYP;Hea;2031-2040;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;2031-2040;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;2031-2040;Hot rolled bars;0
CYP;Hea;2031-2040;Wire rod;0
CYP;Hea;2031-2040;Railway track material;0
CYP;Hea;2031-2040;Heavy sections;0
CYP;Hea;2031-2040;Light sections;0
CYP;Hea;2031-2040;Seamless tubes;0
CYP;Hea;2031-2040;Hot rolled plate;0
CYP;Hea;2031-2040;Hot rolled coild, sheet and strip;0
CYP;Hea;2031-2040;Electrical sheet and strip;0
CYP;Hea;2031-2040;Tinmill products;0
CYP;Hea;2031-2040;Other metal coated sheet and strip;0
CYP;Hea;2031-2040;Non-metallic coated sheet and strip;0
CYP;Hea;2031-2040;Welded tubes;0
CYP;Hea;2031-2040;Liquid steel;0
CYP;Hea;2040<;Concrete reinforcing bars in transport concrete;26.304
CYP;Hea;2040<;Concrete reinforcing bars in precast concrete;12.096
CYP;Hea;2040<;Hot rolled bars;0
CYP;Hea;2040<;Wire rod;0
CYP;Hea;2040<;Railway track material;0
CYP;Hea;2040<;Heavy sections;0
CYP;Hea;2040<;Light sections;0
CYP;Hea;2040<;Seamless tubes;0
CYP;Hea;2040<;Hot rolled plate;0
CYP;Hea;2040<;Hot rolled coild, sheet and strip;0
CYP;Hea;2040<;Electrical sheet and strip;0
CYP;Hea;2040<;Tinmill products;0
CYP;Hea;2040<;Other metal coated sheet and strip;0
CYP;Hea;2040<;Non-metallic coated sheet and strip;0
CYP;Hea;2040<;Welded tubes;0
CYP;Hea;2040<;Liquid steel;0
CYP;Oth;>1945;Concrete reinforcing bars in transport concrete;0
CYP;Oth;>1945;Concrete reinforcing bars in precast concrete;0
CYP;Oth;>1945;Hot rolled bars;0
CYP;Oth;>1945;Wire rod;0
CYP;Oth;>1945;Railway track material;0
CYP;Oth;>1945;Heavy sections;0
CYP;Oth;>1945;Light sections;0
CYP;Oth;>1945;Seamless tubes;0
CYP;Oth;>1945;Hot rolled plate;0
CYP;Oth;>1945;Hot rolled coild, sheet and strip;0
CYP;Oth;>1945;Electrical sheet and strip;0
CYP;Oth;>1945;Tinmill products;0
CYP;Oth;>1945;Other metal coated sheet and strip;0
CYP;Oth;>1945;Non-metallic coated sheet and strip;0
CYP;Oth;>1945;Welded tubes;0
CYP;Oth;>1945;Liquid steel;0
CYP;Oth;1945-1969;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;1945-1969;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;1945-1969;Hot rolled bars;0
CYP;Oth;1945-1969;Wire rod;0
CYP;Oth;1945-1969;Railway track material;0
CYP;Oth;1945-1969;Heavy sections;0
CYP;Oth;1945-1969;Light sections;0
CYP;Oth;1945-1969;Seamless tubes;0
CYP;Oth;1945-1969;Hot rolled plate;0
CYP;Oth;1945-1969;Hot rolled coild, sheet and strip;0
CYP;Oth;1945-1969;Electrical sheet and strip;0
CYP;Oth;1945-1969;Tinmill products;0
CYP;Oth;1945-1969;Other metal coated sheet and strip;0
CYP;Oth;1945-1969;Non-metallic coated sheet and strip;0
CYP;Oth;1945-1969;Welded tubes;0
CYP;Oth;1945-1969;Liquid steel;0
CYP;Oth;1970-1989;Concrete reinforcing bars in transport concrete;79.71496613
CYP;Oth;1970-1989;Concrete reinforcing bars in precast concrete;36.6572472
CYP;Oth;1970-1989;Hot rolled bars;0
CYP;Oth;1970-1989;Wire rod;0
CYP;Oth;1970-1989;Railway track material;0
CYP;Oth;1970-1989;Heavy sections;0
CYP;Oth;1970-1989;Light sections;0
CYP;Oth;1970-1989;Seamless tubes;0
CYP;Oth;1970-1989;Hot rolled plate;0
CYP;Oth;1970-1989;Hot rolled coild, sheet and strip;0
CYP;Oth;1970-1989;Electrical sheet and strip;0
CYP;Oth;1970-1989;Tinmill products;0
CYP;Oth;1970-1989;Other metal coated sheet and strip;0
CYP;Oth;1970-1989;Non-metallic coated sheet and strip;0
CYP;Oth;1970-1989;Welded tubes;0
CYP;Oth;1970-1989;Liquid steel;0
CYP;Oth;1990-2010;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;1990-2010;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;1990-2010;Hot rolled bars;0
CYP;Oth;1990-2010;Wire rod;0
CYP;Oth;1990-2010;Railway track material;0
CYP;Oth;1990-2010;Heavy sections;0
CYP;Oth;1990-2010;Light sections;0
CYP;Oth;1990-2010;Seamless tubes;0
CYP;Oth;1990-2010;Hot rolled plate;0
CYP;Oth;1990-2010;Hot rolled coild, sheet and strip;0
CYP;Oth;1990-2010;Electrical sheet and strip;0
CYP;Oth;1990-2010;Tinmill products;0
CYP;Oth;1990-2010;Other metal coated sheet and strip;0
CYP;Oth;1990-2010;Non-metallic coated sheet and strip;0
CYP;Oth;1990-2010;Welded tubes;0
CYP;Oth;1990-2010;Liquid steel;0
CYP;Oth;2011-2020;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;2011-2020;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;2011-2020;Hot rolled bars;0
CYP;Oth;2011-2020;Wire rod;0
CYP;Oth;2011-2020;Railway track material;0
CYP;Oth;2011-2020;Heavy sections;0
CYP;Oth;2011-2020;Light sections;0
CYP;Oth;2011-2020;Seamless tubes;0
CYP;Oth;2011-2020;Hot rolled plate;0
CYP;Oth;2011-2020;Hot rolled coild, sheet and strip;0
CYP;Oth;2011-2020;Electrical sheet and strip;0
CYP;Oth;2011-2020;Tinmill products;0
CYP;Oth;2011-2020;Other metal coated sheet and strip;0
CYP;Oth;2011-2020;Non-metallic coated sheet and strip;0
CYP;Oth;2011-2020;Welded tubes;0
CYP;Oth;2011-2020;Liquid steel;0
CYP;Oth;2021-2030;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;2021-2030;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;2021-2030;Hot rolled bars;0
CYP;Oth;2021-2030;Wire rod;0
CYP;Oth;2021-2030;Railway track material;0
CYP;Oth;2021-2030;Heavy sections;0
CYP;Oth;2021-2030;Light sections;0
CYP;Oth;2021-2030;Seamless tubes;0
CYP;Oth;2021-2030;Hot rolled plate;0
CYP;Oth;2021-2030;Hot rolled coild, sheet and strip;0
CYP;Oth;2021-2030;Electrical sheet and strip;0
CYP;Oth;2021-2030;Tinmill products;0
CYP;Oth;2021-2030;Other metal coated sheet and strip;0
CYP;Oth;2021-2030;Non-metallic coated sheet and strip;0
CYP;Oth;2021-2030;Welded tubes;0
CYP;Oth;2021-2030;Liquid steel;0
CYP;Oth;2031-2040;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;2031-2040;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;2031-2040;Hot rolled bars;0
CYP;Oth;2031-2040;Wire rod;0
CYP;Oth;2031-2040;Railway track material;0
CYP;Oth;2031-2040;Heavy sections;0
CYP;Oth;2031-2040;Light sections;0
CYP;Oth;2031-2040;Seamless tubes;0
CYP;Oth;2031-2040;Hot rolled plate;0
CYP;Oth;2031-2040;Hot rolled coild, sheet and strip;0
CYP;Oth;2031-2040;Electrical sheet and strip;0
CYP;Oth;2031-2040;Tinmill products;0
CYP;Oth;2031-2040;Other metal coated sheet and strip;0
CYP;Oth;2031-2040;Non-metallic coated sheet and strip;0
CYP;Oth;2031-2040;Welded tubes;0
CYP;Oth;2031-2040;Liquid steel;0
CYP;Oth;2040<;Concrete reinforcing bars in transport concrete;32.14933333
CYP;Oth;2040<;Concrete reinforcing bars in precast concrete;14.784
CYP;Oth;2040<;Hot rolled bars;0
CYP;Oth;2040<;Wire rod;0
CYP;Oth;2040<;Railway track material;0
CYP;Oth;2040<;Heavy sections;0
CYP;Oth;2040<;Light sections;0
CYP;Oth;2040<;Seamless tubes;0
CYP;Oth;2040<;Hot rolled plate;0
CYP;Oth;2040<;Hot rolled coild, sheet and strip;0
CYP;Oth;2040<;Electrical sheet and strip;0
CYP;Oth;2040<;Tinmill products;0
CYP;Oth;2040<;Other metal coated sheet and strip;0
CYP;Oth;2040<;Non-metallic coated sheet and strip;0
CYP;Oth;2040<;Welded tubes;0
CYP;Oth;2040<;Liquid steel;0
CZE;SFH;>1945;Concrete reinforcing bars in transport concrete;0
CZE;SFH;>1945;Concrete reinforcing bars in precast concrete;0
CZE;SFH;>1945;Hot rolled bars;0
CZE;SFH;>1945;Wire rod;0
CZE;SFH;>1945;Railway track material;0
CZE;SFH;>1945;Heavy sections;0
CZE;SFH;>1945;Light sections;0
CZE;SFH;>1945;Seamless tubes;0
CZE;SFH;>1945;Hot rolled plate;0
CZE;SFH;>1945;Hot rolled coild, sheet and strip;0
CZE;SFH;>1945;Electrical sheet and strip;0
CZE;SFH;>1945;Tinmill products;0
CZE;SFH;>1945;Other metal coated sheet and strip;0
CZE;SFH;>1945;Non-metallic coated sheet and strip;0
CZE;SFH;>1945;Welded tubes;0
CZE;SFH;>1945;Liquid steel;0
CZE;SFH;1945-1969;Concrete reinforcing bars in transport concrete;21.67968912
CZE;SFH;1945-1969;Concrete reinforcing bars in precast concrete;9.969492079
CZE;SFH;1945-1969;Hot rolled bars;0
CZE;SFH;1945-1969;Wire rod;0
CZE;SFH;1945-1969;Railway track material;0
CZE;SFH;1945-1969;Heavy sections;0
CZE;SFH;1945-1969;Light sections;0
CZE;SFH;1945-1969;Seamless tubes;0
CZE;SFH;1945-1969;Hot rolled plate;0
CZE;SFH;1945-1969;Hot rolled coild, sheet and strip;0
CZE;SFH;1945-1969;Electrical sheet and strip;0
CZE;SFH;1945-1969;Tinmill products;0
CZE;SFH;1945-1969;Other metal coated sheet and strip;0
CZE;SFH;1945-1969;Non-metallic coated sheet and strip;0
CZE;SFH;1945-1969;Welded tubes;0
CZE;SFH;1945-1969;Liquid steel;0
CZE;SFH;1970-1989;Concrete reinforcing bars in transport concrete;37.6162917
CZE;SFH;1970-1989;Concrete reinforcing bars in precast concrete;17.29800275
CZE;SFH;1970-1989;Hot rolled bars;0
CZE;SFH;1970-1989;Wire rod;0
CZE;SFH;1970-1989;Railway track material;0
CZE;SFH;1970-1989;Heavy sections;0
CZE;SFH;1970-1989;Light sections;0
CZE;SFH;1970-1989;Seamless tubes;0
CZE;SFH;1970-1989;Hot rolled plate;0
CZE;SFH;1970-1989;Hot rolled coild, sheet and strip;0
CZE;SFH;1970-1989;Electrical sheet and strip;0
CZE;SFH;1970-1989;Tinmill products;0
CZE;SFH;1970-1989;Other metal coated sheet and strip;0
CZE;SFH;1970-1989;Non-metallic coated sheet and strip;0
CZE;SFH;1970-1989;Welded tubes;0
CZE;SFH;1970-1989;Liquid steel;0
CZE;SFH;1990-2010;Concrete reinforcing bars in transport concrete;36.9505656
CZE;SFH;1990-2010;Concrete reinforcing bars in precast concrete;16.99186593
CZE;SFH;1990-2010;Hot rolled bars;0
CZE;SFH;1990-2010;Wire rod;0
CZE;SFH;1990-2010;Railway track material;0
CZE;SFH;1990-2010;Heavy sections;0
CZE;SFH;1990-2010;Light sections;0
CZE;SFH;1990-2010;Seamless tubes;0
CZE;SFH;1990-2010;Hot rolled plate;0
CZE;SFH;1990-2010;Hot rolled coild, sheet and strip;0
CZE;SFH;1990-2010;Electrical sheet and strip;0
CZE;SFH;1990-2010;Tinmill products;0
CZE;SFH;1990-2010;Other metal coated sheet and strip;0
CZE;SFH;1990-2010;Non-metallic coated sheet and strip;0
CZE;SFH;1990-2010;Welded tubes;0
CZE;SFH;1990-2010;Liquid steel;0
CZE;SFH;2011-2020;Concrete reinforcing bars in transport concrete;34.90438232
CZE;SFH;2011-2020;Concrete reinforcing bars in precast concrete;16.05092033
CZE;SFH;2011-2020;Hot rolled bars;0
CZE;SFH;2011-2020;Wire rod;0
CZE;SFH;2011-2020;Railway track material;0
CZE;SFH;2011-2020;Heavy sections;0
CZE;SFH;2011-2020;Light sections;0
CZE;SFH;2011-2020;Seamless tubes;0
CZE;SFH;2011-2020;Hot rolled plate;0
CZE;SFH;2011-2020;Hot rolled coild, sheet and strip;0
CZE;SFH;2011-2020;Electrical sheet and strip;0
CZE;SFH;2011-2020;Tinmill products;0
CZE;SFH;2011-2020;Other metal coated sheet and strip;0
CZE;SFH;2011-2020;Non-metallic coated sheet and strip;0
CZE;SFH;2011-2020;Welded tubes;0
CZE;SFH;2011-2020;Liquid steel;0
CZE;SFH;2021-2030;Concrete reinforcing bars in transport concrete;34.90438232
CZE;SFH;2021-2030;Concrete reinforcing bars in precast concrete;16.05092033
CZE;SFH;2021-2030;Hot rolled bars;0
CZE;SFH;2021-2030;Wire rod;0
CZE;SFH;2021-2030;Railway track material;0
CZE;SFH;2021-2030;Heavy sections;0
CZE;SFH;2021-2030;Light sections;0
CZE;SFH;2021-2030;Seamless tubes;0
CZE;SFH;2021-2030;Hot rolled plate;0
CZE;SFH;2021-2030;Hot rolled coild, sheet and strip;0
CZE;SFH;2021-2030;Electrical sheet and strip;0
CZE;SFH;2021-2030;Tinmill products;0
CZE;SFH;2021-2030;Other metal coated sheet and strip;0
CZE;SFH;2021-2030;Non-metallic coated sheet and strip;0
CZE;SFH;2021-2030;Welded tubes;0
CZE;SFH;2021-2030;Liquid steel;0
CZE;SFH;2031-2040;Concrete reinforcing bars in transport concrete;34.90438232
CZE;SFH;2031-2040;Concrete reinforcing bars in precast concrete;16.05092033
CZE;SFH;2031-2040;Hot rolled bars;0
CZE;SFH;2031-2040;Wire rod;0
CZE;SFH;2031-2040;Railway track material;0
CZE;SFH;2031-2040;Heavy sections;0
CZE;SFH;2031-2040;Light sections;0
CZE;SFH;2031-2040;Seamless tubes;0
CZE;SFH;2031-2040;Hot rolled plate;0
CZE;SFH;2031-2040;Hot rolled coild, sheet and strip;0
CZE;SFH;2031-2040;Electrical sheet and strip;0
CZE;SFH;2031-2040;Tinmill products;0
CZE;SFH;2031-2040;Other metal coated sheet and strip;0
CZE;SFH;2031-2040;Non-metallic coated sheet and strip;0
CZE;SFH;2031-2040;Welded tubes;0
CZE;SFH;2031-2040;Liquid steel;0
CZE;SFH;2040<;Concrete reinforcing bars in transport concrete;34.90438232
CZE;SFH;2040<;Concrete reinforcing bars in precast concrete;16.05092033
CZE;SFH;2040<;Hot rolled bars;0
CZE;SFH;2040<;Wire rod;0
CZE;SFH;2040<;Railway track material;0
CZE;SFH;2040<;Heavy sections;0
CZE;SFH;2040<;Light sections;0
CZE;SFH;2040<;Seamless tubes;0
CZE;SFH;2040<;Hot rolled plate;0
CZE;SFH;2040<;Hot rolled coild, sheet and strip;0
CZE;SFH;2040<;Electrical sheet and strip;0
CZE;SFH;2040<;Tinmill products;0
CZE;SFH;2040<;Other metal coated sheet and strip;0
CZE;SFH;2040<;Non-metallic coated sheet and strip;0
CZE;SFH;2040<;Welded tubes;0
CZE;SFH;2040<;Liquid steel;0
CZE;MFH;>1945;Concrete reinforcing bars in transport concrete;0
CZE;MFH;>1945;Concrete reinforcing bars in precast concrete;0
CZE;MFH;>1945;Hot rolled bars;0
CZE;MFH;>1945;Wire rod;0
CZE;MFH;>1945;Railway track material;0
CZE;MFH;>1945;Heavy sections;0
CZE;MFH;>1945;Light sections;0
CZE;MFH;>1945;Seamless tubes;0
CZE;MFH;>1945;Hot rolled plate;0
CZE;MFH;>1945;Hot rolled coild, sheet and strip;0
CZE;MFH;>1945;Electrical sheet and strip;0
CZE;MFH;>1945;Tinmill products;0
CZE;MFH;>1945;Other metal coated sheet and strip;0
CZE;MFH;>1945;Non-metallic coated sheet and strip;0
CZE;MFH;>1945;Welded tubes;0
CZE;MFH;>1945;Liquid steel;0
CZE;MFH;1945-1969;Concrete reinforcing bars in transport concrete;56.0580401
CZE;MFH;1945-1969;Concrete reinforcing bars in precast concrete;25.77851479
CZE;MFH;1945-1969;Hot rolled bars;0
CZE;MFH;1945-1969;Wire rod;0
CZE;MFH;1945-1969;Railway track material;0
CZE;MFH;1945-1969;Heavy sections;0
CZE;MFH;1945-1969;Light sections;0
CZE;MFH;1945-1969;Seamless tubes;0
CZE;MFH;1945-1969;Hot rolled plate;0
CZE;MFH;1945-1969;Hot rolled coild, sheet and strip;0
CZE;MFH;1945-1969;Electrical sheet and strip;0
CZE;MFH;1945-1969;Tinmill products;0
CZE;MFH;1945-1969;Other metal coated sheet and strip;0
CZE;MFH;1945-1969;Non-metallic coated sheet and strip;0
CZE;MFH;1945-1969;Welded tubes;0
CZE;MFH;1945-1969;Liquid steel;0
CZE;MFH;1970-1989;Concrete reinforcing bars in transport concrete;51.18870641
CZE;MFH;1970-1989;Concrete reinforcing bars in precast concrete;23.53933214
CZE;MFH;1970-1989;Hot rolled bars;0
CZE;MFH;1970-1989;Wire rod;0
CZE;MFH;1970-1989;Railway track material;0
CZE;MFH;1970-1989;Heavy sections;0
CZE;MFH;1970-1989;Light sections;0
CZE;MFH;1970-1989;Seamless tubes;0
CZE;MFH;1970-1989;Hot rolled plate;0
CZE;MFH;1970-1989;Hot rolled coild, sheet and strip;0
CZE;MFH;1970-1989;Electrical sheet and strip;0
CZE;MFH;1970-1989;Tinmill products;0
CZE;MFH;1970-1989;Other metal coated sheet and strip;0
CZE;MFH;1970-1989;Non-metallic coated sheet and strip;0
CZE;MFH;1970-1989;Welded tubes;0
CZE;MFH;1970-1989;Liquid steel;0
CZE;MFH;1990-2010;Concrete reinforcing bars in transport concrete;36.38720637
CZE;MFH;1990-2010;Concrete reinforcing bars in precast concrete;16.73280293
CZE;MFH;1990-2010;Hot rolled bars;0
CZE;MFH;1990-2010;Wire rod;0
CZE;MFH;1990-2010;Railway track material;0
CZE;MFH;1990-2010;Heavy sections;0
CZE;MFH;1990-2010;Light sections;0
CZE;MFH;1990-2010;Seamless tubes;0
CZE;MFH;1990-2010;Hot rolled plate;0
CZE;MFH;1990-2010;Hot rolled coild, sheet and strip;0
CZE;MFH;1990-2010;Electrical sheet and strip;0
CZE;MFH;1990-2010;Tinmill products;0
CZE;MFH;1990-2010;Other metal coated sheet and strip;0
CZE;MFH;1990-2010;Non-metallic coated sheet and strip;0
CZE;MFH;1990-2010;Welded tubes;0
CZE;MFH;1990-2010;Liquid steel;0
CZE;MFH;2011-2020;Concrete reinforcing bars in transport concrete;48.7706186
CZE;MFH;2011-2020;Concrete reinforcing bars in precast concrete;22.42736476
CZE;MFH;2011-2020;Hot rolled bars;0
CZE;MFH;2011-2020;Wire rod;0
CZE;MFH;2011-2020;Railway track material;0
CZE;MFH;2011-2020;Heavy sections;0
CZE;MFH;2011-2020;Light sections;0
CZE;MFH;2011-2020;Seamless tubes;0
CZE;MFH;2011-2020;Hot rolled plate;0
CZE;MFH;2011-2020;Hot rolled coild, sheet and strip;0
CZE;MFH;2011-2020;Electrical sheet and strip;0
CZE;MFH;2011-2020;Tinmill products;0
CZE;MFH;2011-2020;Other metal coated sheet and strip;0
CZE;MFH;2011-2020;Non-metallic coated sheet and strip;0
CZE;MFH;2011-2020;Welded tubes;0
CZE;MFH;2011-2020;Liquid steel;0
CZE;MFH;2021-2030;Concrete reinforcing bars in transport concrete;48.7706186
CZE;MFH;2021-2030;Concrete reinforcing bars in precast concrete;22.42736476
CZE;MFH;2021-2030;Hot rolled bars;0
CZE;MFH;2021-2030;Wire rod;0
CZE;MFH;2021-2030;Railway track material;0
CZE;MFH;2021-2030;Heavy sections;0
CZE;MFH;2021-2030;Light sections;0
CZE;MFH;2021-2030;Seamless tubes;0
CZE;MFH;2021-2030;Hot rolled plate;0
CZE;MFH;2021-2030;Hot rolled coild, sheet and strip;0
CZE;MFH;2021-2030;Electrical sheet and strip;0
CZE;MFH;2021-2030;Tinmill products;0
CZE;MFH;2021-2030;Other metal coated sheet and strip;0
CZE;MFH;2021-2030;Non-metallic coated sheet and strip;0
CZE;MFH;2021-2030;Welded tubes;0
CZE;MFH;2021-2030;Liquid steel;0
CZE;MFH;2031-2040;Concrete reinforcing bars in transport concrete;48.7706186
CZE;MFH;2031-2040;Concrete reinforcing bars in precast concrete;22.42736476
CZE;MFH;2031-2040;Hot rolled bars;0
CZE;MFH;2031-2040;Wire rod;0
CZE;MFH;2031-2040;Railway track material;0
CZE;MFH;2031-2040;Heavy sections;0
CZE;MFH;2031-2040;Light sections;0
CZE;MFH;2031-2040;Seamless tubes;0
CZE;MFH;2031-2040;Hot rolled plate;0
CZE;MFH;2031-2040;Hot rolled coild, sheet and strip;0
CZE;MFH;2031-2040;Electrical sheet and strip;0
CZE;MFH;2031-2040;Tinmill products;0
CZE;MFH;2031-2040;Other metal coated sheet and strip;0
CZE;MFH;2031-2040;Non-metallic coated sheet and strip;0
CZE;MFH;2031-2040;Welded tubes;0
CZE;MFH;2031-2040;Liquid steel;0
CZE;MFH;2040<;Concrete reinforcing bars in transport concrete;48.7706186
CZE;MFH;2040<;Concrete reinforcing bars in precast concrete;22.42736476
CZE;MFH;2040<;Hot rolled bars;0
CZE;MFH;2040<;Wire rod;0
CZE;MFH;2040<;Railway track material;0
CZE;MFH;2040<;Heavy sections;0
CZE;MFH;2040<;Light sections;0
CZE;MFH;2040<;Seamless tubes;0
CZE;MFH;2040<;Hot rolled plate;0
CZE;MFH;2040<;Hot rolled coild, sheet and strip;0
CZE;MFH;2040<;Electrical sheet and strip;0
CZE;MFH;2040<;Tinmill products;0
CZE;MFH;2040<;Other metal coated sheet and strip;0
CZE;MFH;2040<;Non-metallic coated sheet and strip;0
CZE;MFH;2040<;Welded tubes;0
CZE;MFH;2040<;Liquid steel;0
CZE;Ret;>1945;Concrete reinforcing bars in transport concrete;0
CZE;Ret;>1945;Concrete reinforcing bars in precast concrete;0
CZE;Ret;>1945;Hot rolled bars;0
CZE;Ret;>1945;Wire rod;0
CZE;Ret;>1945;Railway track material;0
CZE;Ret;>1945;Heavy sections;0
CZE;Ret;>1945;Light sections;0
CZE;Ret;>1945;Seamless tubes;0
CZE;Ret;>1945;Hot rolled plate;0
CZE;Ret;>1945;Hot rolled coild, sheet and strip;0
CZE;Ret;>1945;Electrical sheet and strip;0
CZE;Ret;>1945;Tinmill products;0
CZE;Ret;>1945;Other metal coated sheet and strip;0
