Region;Building type;Age cohort;Steel product;value
AUT;MFH;2021-2030;Seamless tubes;0
AUT;MFH;2021-2030;Hot rolled plate;0
AUT;MFH;2021-2030;Hot rolled coild, sheet and strip;0
AUT;MFH;2021-2030;Electrical sheet and strip;0
AUT;MFH;2021-2030;Tinmill products;0
AUT;MFH;2021-2030;Other metal coated sheet and strip;0
AUT;MFH;2021-2030;Non-metallic coated sheet and strip;0
AUT;MFH;2021-2030;Welded tubes;0
AUT;MFH;2021-2030;Liquid steel;0
AUT;MFH;2031-2040;Concrete reinforcing bars in transport concrete;48.7706186
AUT;MFH;2031-2040;Concrete reinforcing bars in precast concrete;22.42736476
AUT;MFH;2031-2040;Hot rolled bars;0
AUT;MFH;2031-2040;Wire rod;0
AUT;MFH;2031-2040;Railway track material;0
AUT;MFH;2031-2040;Heavy sections;0
AUT;MFH;2031-2040;Light sections;0
AUT;MFH;2031-2040;Seamless tubes;0
AUT;MFH;2031-2040;Hot rolled plate;0
AUT;MFH;2031-2040;Hot rolled coild, sheet and strip;0
AUT;MFH;2031-2040;Electrical sheet and strip;0
AUT;MFH;2031-2040;Tinmill products;0
AUT;MFH;2031-2040;Other metal coated sheet and strip;0
AUT;MFH;2031-2040;Non-metallic coated sheet and strip;0
AUT;MFH;2031-2040;Welded tubes;0
AUT;MFH;2031-2040;Liquid steel;0
AUT;MFH;2040<;Concrete reinforcing bars in transport concrete;48.7706186
AUT;MFH;2040<;Concrete reinforcing bars in precast concrete;22.42736476
AUT;MFH;2040<;Hot rolled bars;0
AUT;MFH;2040<;Wire rod;0
AUT;MFH;2040<;Railway track material;0
AUT;MFH;2040<;Heavy sections;0
AUT;MFH;2040<;Light sections;0
AUT;MFH;2040<;Seamless tubes;0
AUT;MFH;2040<;Hot rolled plate;0
AUT;MFH;2040<;Hot rolled coild, sheet and strip;0
AUT;MFH;2040<;Electrical sheet and strip;0
AUT;MFH;2040<;Tinmill products;0
AUT;MFH;2040<;Other metal coated sheet and strip;0
AUT;MFH;2040<;Non-metallic coated sheet and strip;0
AUT;MFH;2040<;Welded tubes;0
AUT;MFH;2040<;Liquid steel;0
AUT;Ret;>1945;Concrete reinforcing bars in transport concrete;0
AUT;Ret;>1945;Concrete reinforcing bars in precast concrete;0
AUT;Ret;>1945;Hot rolled bars;0
AUT;Ret;>1945;Wire rod;0
AUT;Ret;>1945;Railway track material;0
AUT;Ret;>1945;Heavy sections;0
AUT;Ret;>1945;Light sections;0
AUT;Ret;>1945;Seamless tubes;0
AUT;Ret;>1945;Hot rolled plate;0
AUT;Ret;>1945;Hot rolled coild, sheet and strip;0
AUT;Ret;>1945;Electrical sheet and strip;0
AUT;Ret;>1945;Tinmill products;0
AUT;Ret;>1945;Other metal coated sheet and strip;0
AUT;Ret;>1945;Non-metallic coated sheet and strip;0
