Vehicle size;Vehicle type;Plastics product;Value
microcar;Conventional Hybrid – Gasoline;PUR;15.62808872
microcar;Conventional Hybrid – Gasoline;Rubber;8.682271511
microcar;Conventional Hybrid – Diesel Oil;PP;27.78326884
microcar;Conventional Hybrid – Diesel Oil;PE;8.682271511
microcar;Conventional Hybrid – Diesel Oil;ABS;13.02340727
microcar;Conventional Hybrid – Diesel Oil;PVC;4.341135755
microcar;Conventional Hybrid – Diesel Oil;PC;0.868227151
microcar;Conventional Hybrid – Diesel Oil;PA/Nylon;6.945817209
microcar;Conventional Hybrid – Diesel Oil;PUR;15.62808872
microcar;Conventional Hybrid – Diesel Oil;Rubber;8.682271511
passenger car;Internal Combustion Engine – Gasoline;PP;47.29451033
passenger car;Internal Combustion Engine – Gasoline;PE;14.77953448
passenger car;Internal Combustion Engine – Gasoline;ABS;22.16930172
passenger car;Internal Combustion Engine – Gasoline;PVC;7.389767239
passenger car;Internal Combustion Engine – Gasoline;PC;1.477953448
passenger car;Internal Combustion Engine – Gasoline;PA/Nylon;11.82362758
passenger car;Internal Combustion Engine – Gasoline;PUR;26.60316206
passenger car;Internal Combustion Engine – Gasoline;Rubber;14.77953448
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PP;47.29451033
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PE;14.77953448
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;ABS;22.16930172
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PVC;7.389767239
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PC;1.477953448
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PA/Nylon;11.82362758
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;PUR;26.60316206
passenger car;Internal Combustion Engine – Liquified Petroleum Gas;Rubber;14.77953448
passenger car;Internal Combustion Engine – Diesel Oil;PP;47.98733662
passenger car;Internal Combustion Engine – Diesel Oil;PE;14.99604269
passenger car;Internal Combustion Engine – Diesel Oil;ABS;22.49406404
passenger car;Internal Combustion Engine – Diesel Oil;PVC;7.498021347
passenger car;Internal Combustion Engine – Diesel Oil;PC;1.499604269
passenger car;Internal Combustion Engine – Diesel Oil;PA/Nylon;11.99683415
passenger car;Internal Combustion Engine – Diesel Oil;PUR;26.99287685
passenger car;Internal Combustion Engine – Diesel Oil;Rubber;14.99604269
passenger car;Internal Combustion Engine – Natural Gas;PP;47.29451033
passenger car;Internal Combustion Engine – Natural Gas;PE;14.77953448
passenger car;Internal Combustion Engine – Natural Gas;ABS;22.16930172
passenger car;Internal Combustion Engine – Natural Gas;PVC;7.389767239
passenger car;Internal Combustion Engine – Natural Gas;PC;1.477953448
passenger car;Internal Combustion Engine – Natural Gas;PA/Nylon;11.82362758
passenger car;Internal Combustion Engine – Natural Gas;PUR;26.60316206
passenger car;Internal Combustion Engine – Natural Gas;Rubber;14.77953448
passenger car;Internal Combustion Engine – Ethanol;PP;47.29451033
passenger car;Internal Combustion Engine – Ethanol;PE;14.77953448
passenger car;Internal Combustion Engine – Ethanol;ABS;22.16930172
passenger car;Internal Combustion Engine – Ethanol;PVC;7.389767239
passenger car;Internal Combustion Engine – Ethanol;PC;1.477953448
passenger car;Internal Combustion Engine – Ethanol;PA/Nylon;11.82362758
passenger car;Internal Combustion Engine – Ethanol;PUR;26.60316206
passenger car;Internal Combustion Engine – Ethanol;Rubber;14.77953448
passenger car;Internal Combustion Engine – Biodiesel;PP;47.98733662
passenger car;Internal Combustion Engine – Biodiesel;PE;14.99604269
passenger car;Internal Combustion Engine – Biodiesel;ABS;22.49406404
passenger car;Internal Combustion Engine – Biodiesel;PVC;7.498021347
passenger car;Internal Combustion Engine – Biodiesel;PC;1.499604269
passenger car;Internal Combustion Engine – Biodiesel;PA/Nylon;11.99683415
passenger car;Internal Combustion Engine – Biodiesel;PUR;26.99287685
passenger car;Internal Combustion Engine – Biodiesel;Rubber;14.99604269
passenger car;Internal Combustion Engine – Methanol;PP;47.29451033
passenger car;Internal Combustion Engine – Methanol;PE;14.77953448
passenger car;Internal Combustion Engine – Methanol;ABS;22.16930172
passenger car;Internal Combustion Engine – Methanol;PVC;7.389767239
