Region;Building type;Age cohort;Insulation product;value
AUT;Ret;2021-2030;Insulation (Roof);18.26880492
AUT;Ret;2021-2030;Insulation (Floor);2.4
AUT;Ret;2021-2030;Insulation (Basement);0
AUT;Ret;2031-2040;Insulation;0
AUT;Ret;2031-2040;Insulation (Exterior wall);1.887511208
AUT;Ret;2031-2040;Insulation (Roof);18.26880492
AUT;Ret;2031-2040;Insulation (Floor);2.4
AUT;Ret;2031-2040;Insulation (Basement);0
AUT;Ret;2040<;Insulation;0
AUT;Ret;2040<;Insulation (Exterior wall);1.887511208
AUT;Ret;2040<;Insulation (Roof);18.26880492
AUT;Ret;2040<;Insulation (Floor);2.4
AUT;Ret;2040<;Insulation (Basement);0
AUT;Off;>1945;Insulation;3.705263158
AUT;Off;>1945;Insulation (Exterior wall);0
AUT;Off;>1945;Insulation (Roof);0
AUT;Off;>1945;Insulation (Floor);0
AUT;Off;>1945;Insulation (Basement);0
AUT;Off;1945-1969;Insulation;5.364210526
AUT;Off;1945-1969;Insulation (Exterior wall);0
AUT;Off;1945-1969;Insulation (Roof);0
AUT;Off;1945-1969;Insulation (Floor);0
AUT;Off;1945-1969;Insulation (Basement);0
AUT;Off;1970-1989;Insulation;19.7712
AUT;Off;1970-1989;Insulation (Exterior wall);0
AUT;Off;1970-1989;Insulation (Roof);0
AUT;Off;1970-1989;Insulation (Floor);0
AUT;Off;1970-1989;Insulation (Basement);0
AUT;Off;1990-2010;Insulation;13.14272
AUT;Off;1990-2010;Insulation (Exterior wall);0
AUT;Off;1990-2010;Insulation (Roof);0
AUT;Off;1990-2010;Insulation (Floor);0
AUT;Off;1990-2010;Insulation (Basement);0
AUT;Off;2011-2020;Insulation;13.14272
AUT;Off;2011-2020;Insulation (Exterior wall);0
AUT;Off;2011-2020;Insulation (Roof);0
AUT;Off;2011-2020;Insulation (Floor);0
AUT;Off;2011-2020;Insulation (Basement);0
AUT;Off;2021-2030;Insulation;0
AUT;Off;2021-2030;Insulation (Exterior wall);8.50272
AUT;Off;2021-2030;Insulation (Roof);2.24
AUT;Off;2021-2030;Insulation (Floor);2.4
AUT;Off;2021-2030;Insulation (Basement);0
AUT;Off;2031-2040;Insulation;0
AUT;Off;2031-2040;Insulation (Exterior wall);8.50272
AUT;Off;2031-2040;Insulation (Roof);2.24
AUT;Off;2031-2040;Insulation (Floor);2.4
AUT;Off;2031-2040;Insulation (Basement);0
AUT;Off;2040<;Insulation;0
AUT;Off;2040<;Insulation (Exterior wall);8.50272
AUT;Off;2040<;Insulation (Roof);2.24
AUT;Off;2040<;Insulation (Floor);2.4
AUT;Off;2040<;Insulation (Basement);0
AUT;Hot;>1945;Insulation;3.705263158
AUT;Hot;>1945;Insulation (Exterior wall);0
AUT;Hot;>1945;Insulation (Roof);0
AUT;Hot;>1945;Insulation (Floor);0
AUT;Hot;>1945;Insulation (Basement);0
AUT;Hot;1945-1969;Insulation;5.364210526
AUT;Hot;1945-1969;Insulation (Exterior wall);0
AUT;Hot;1945-1969;Insulation (Roof);0
AUT;Hot;1945-1969;Insulation (Floor);0
AUT;Hot;1945-1969;Insulation (Basement);0
AUT;Hot;1970-1989;Insulation;19.7712
AUT;Hot;1970-1989;Insulation (Exterior wall);0
AUT;Hot;1970-1989;Insulation (Roof);0
AUT;Hot;1970-1989;Insulation (Floor);0
AUT;Hot;1970-1989;Insulation (Basement);0
AUT;Hot;1990-2010;Insulation;13.14272
AUT;Hot;1990-2010;Insulation (Exterior wall);0
AUT;Hot;1990-2010;Insulation (Roof);0
AUT;Hot;1990-2010;Insulation (Floor);0
AUT;Hot;1990-2010;Insulation (Basement);0
AUT;Hot;2011-2020;Insulation;13.14272
AUT;Hot;2011-2020;Insulation (Exterior wall);0
AUT;Hot;2011-2020;Insulation (Roof);0
AUT;Hot;2011-2020;Insulation (Floor);0
AUT;Hot;2011-2020;Insulation (Basement);0
AUT;Hot;2021-2030;Insulation;0
AUT;Hot;2021-2030;Insulation (Exterior wall);8.50272
AUT;Hot;2021-2030;Insulation (Roof);2.24
AUT;Hot;2021-2030;Insulation (Floor);2.4
AUT;Hot;2021-2030;Insulation (Basement);0
AUT;Hot;2031-2040;Insulation;0
AUT;Hot;2031-2040;Insulation (Exterior wall);8.50272
AUT;Hot;2031-2040;Insulation (Roof);2.24
AUT;Hot;2031-2040;Insulation (Floor);2.4
AUT;Hot;2031-2040;Insulation (Basement);0
AUT;Hot;2040<;Insulation;0
AUT;Hot;2040<;Insulation (Exterior wall);8.50272
AUT;Hot;2040<;Insulation (Roof);2.24
