Region;Building type;Age cohort;Glass product;value
AUT;Edu;2011-2020;Flat glass;25
AUT;Edu;2011-2020;Container glass;0
AUT;Edu;2011-2020;Other;0
AUT;Edu;2021-2030;Flat glass;25
AUT;Edu;2021-2030;Container glass;0
AUT;Edu;2021-2030;Other;0
AUT;Edu;2031-2040;Flat glass;25
AUT;Edu;2031-2040;Container glass;0
AUT;Edu;2031-2040;Other;0
AUT;Edu;2040<;Flat glass;25
AUT;Edu;2040<;Container glass;0
AUT;Edu;2040<;Other;0
AUT;Hea;>1945;Flat glass;4.9
AUT;Hea;>1945;Container glass;0
AUT;Hea;>1945;Other;0
AUT;Hea;1945-1969;Flat glass;4.9
AUT;Hea;1945-1969;Container glass;0
AUT;Hea;1945-1969;Other;0
AUT;Hea;1970-1989;Flat glass;4.9
AUT;Hea;1970-1989;Container glass;0
AUT;Hea;1970-1989;Other;0
AUT;Hea;1990-2010;Flat glass;4.9
AUT;Hea;1990-2010;Container glass;0
AUT;Hea;1990-2010;Other;0
AUT;Hea;2011-2020;Flat glass;19.6
AUT;Hea;2011-2020;Container glass;0
AUT;Hea;2011-2020;Other;0
AUT;Hea;2021-2030;Flat glass;19.6
AUT;Hea;2021-2030;Container glass;0
AUT;Hea;2021-2030;Other;0
AUT;Hea;2031-2040;Flat glass;19.6
AUT;Hea;2031-2040;Container glass;0
AUT;Hea;2031-2040;Other;0
AUT;Hea;2040<;Flat glass;19.6
AUT;Hea;2040<;Container glass;0
AUT;Hea;2040<;Other;0
AUT;Oth;>1945;Flat glass;14.5
AUT;Oth;>1945;Container glass;0
AUT;Oth;>1945;Other;0
AUT;Oth;1945-1969;Flat glass;14.5
AUT;Oth;1945-1969;Container glass;0
AUT;Oth;1945-1969;Other;0
AUT;Oth;1970-1989;Flat glass;14.5
AUT;Oth;1970-1989;Container glass;0
AUT;Oth;1970-1989;Other;0
AUT;Oth;1990-2010;Flat glass;14.5
AUT;Oth;1990-2010;Container glass;0
AUT;Oth;1990-2010;Other;0
AUT;Oth;2011-2020;Flat glass;58
AUT;Oth;2011-2020;Container glass;0
AUT;Oth;2011-2020;Other;0
AUT;Oth;2021-2030;Flat glass;58
AUT;Oth;2021-2030;Container glass;0
AUT;Oth;2021-2030;Other;0
AUT;Oth;2031-2040;Flat glass;58
AUT;Oth;2031-2040;Container glass;0
AUT;Oth;2031-2040;Other;0
AUT;Oth;2040<;Flat glass;58
AUT;Oth;2040<;Container glass;0
AUT;Oth;2040<;Other;0
BEL;SFH;>1945;Flat glass;2.825377397
BEL;SFH;>1945;Container glass;0
BEL;SFH;>1945;Other;0
BEL;SFH;1945-1969;Flat glass;2.825377397
BEL;SFH;1945-1969;Container glass;0
BEL;SFH;1945-1969;Other;0
BEL;SFH;1970-1989;Flat glass;2.825377397
BEL;SFH;1970-1989;Container glass;0
BEL;SFH;1970-1989;Other;0
BEL;SFH;1990-2010;Flat glass;2.825377397
BEL;SFH;1990-2010;Container glass;0
BEL;SFH;1990-2010;Other;0
BEL;SFH;2011-2020;Flat glass;11.30150959
BEL;SFH;2011-2020;Container glass;0
BEL;SFH;2011-2020;Other;0
BEL;SFH;2021-2030;Flat glass;11.30150959
BEL;SFH;2021-2030;Container glass;0
BEL;SFH;2021-2030;Other;0
BEL;SFH;2031-2040;Flat glass;11.30150959
BEL;SFH;2031-2040;Container glass;0
BEL;SFH;2031-2040;Other;0
BEL;SFH;2040<;Flat glass;11.30150959
BEL;SFH;2040<;Container glass;0
BEL;SFH;2040<;Other;0
BEL;MFH;>1945;Flat glass;0.909139253
BEL;MFH;>1945;Container glass;0
BEL;MFH;>1945;Other;0
BEL;MFH;1945-1969;Flat glass;1.992695135
BEL;MFH;1945-1969;Container glass;0
BEL;MFH;1945-1969;Other;0
BEL;MFH;1970-1989;Flat glass;3.076251017
BEL;MFH;1970-1989;Container glass;0
BEL;MFH;1970-1989;Other;0
BEL;MFH;1990-2010;Flat glass;4.1598069
BEL;MFH;1990-2010;Container glass;0
BEL;MFH;1990-2010;Other;0
BEL;MFH;2011-2020;Flat glass;16.6392276
BEL;MFH;2011-2020;Container glass;0
BEL;MFH;2011-2020;Other;0
BEL;MFH;2021-2030;Flat glass;16.6392276
BEL;MFH;2021-2030;Container glass;0
BEL;MFH;2021-2030;Other;0
BEL;MFH;2031-2040;Flat glass;16.6392276
BEL;MFH;2031-2040;Container glass;0
BEL;MFH;2031-2040;Other;0
BEL;MFH;2040<;Flat glass;16.6392276
BEL;MFH;2040<;Container glass;0
BEL;MFH;2040<;Other;0
BEL;Ret;>1945;Flat glass;5.866666667
BEL;Ret;>1945;Container glass;0
BEL;Ret;>1945;Other;0
BEL;Ret;1945-1969;Flat glass;5.866666667
BEL;Ret;1945-1969;Container glass;0
BEL;Ret;1945-1969;Other;0
BEL;Ret;1970-1989;Flat glass;5.866666667
BEL;Ret;1970-1989;Container glass;0
BEL;Ret;1970-1989;Other;0
BEL;Ret;1990-2010;Flat glass;5.866666667
BEL;Ret;1990-2010;Container glass;0
BEL;Ret;1990-2010;Other;0
BEL;Ret;2011-2020;Flat glass;23.46666667
BEL;Ret;2011-2020;Container glass;0
BEL;Ret;2011-2020;Other;0
BEL;Ret;2021-2030;Flat glass;23.46666667
BEL;Ret;2021-2030;Container glass;0
BEL;Ret;2021-2030;Other;0
BEL;Ret;2031-2040;Flat glass;23.46666667
BEL;Ret;2031-2040;Container glass;0
BEL;Ret;2031-2040;Other;0
BEL;Ret;2040<;Flat glass;23.46666667
BEL;Ret;2040<;Container glass;0
BEL;Ret;2040<;Other;0
BEL;Off;>1945;Flat glass;6.44
BEL;Off;>1945;Container glass;0
BEL;Off;>1945;Other;0
BEL;Off;1945-1969;Flat glass;6.44
BEL;Off;1945-1969;Container glass;0
BEL;Off;1945-1969;Other;0
BEL;Off;1970-1989;Flat glass;6.44
BEL;Off;1970-1989;Container glass;0
BEL;Off;1970-1989;Other;0
BEL;Off;1990-2010;Flat glass;6.44
BEL;Off;1990-2010;Container glass;0
BEL;Off;1990-2010;Other;0
BEL;Off;2011-2020;Flat glass;25.76
BEL;Off;2011-2020;Container glass;0
BEL;Off;2011-2020;Other;0
BEL;Off;2021-2030;Flat glass;25.76
BEL;Off;2021-2030;Container glass;0
BEL;Off;2021-2030;Other;0
BEL;Off;2031-2040;Flat glass;25.76
BEL;Off;2031-2040;Container glass;0
BEL;Off;2031-2040;Other;0
BEL;Off;2040<;Flat glass;25.76
BEL;Off;2040<;Container glass;0
BEL;Off;2040<;Other;0
BEL;Hot;>1945;Flat glass;3.9
BEL;Hot;>1945;Container glass;0
BEL;Hot;>1945;Other;0
BEL;Hot;1945-1969;Flat glass;3.9
BEL;Hot;1945-1969;Container glass;0
BEL;Hot;1945-1969;Other;0
BEL;Hot;1970-1989;Flat glass;3.9
BEL;Hot;1970-1989;Container glass;0
BEL;Hot;1970-1989;Other;0
BEL;Hot;1990-2010;Flat glass;3.9
BEL;Hot;1990-2010;Container glass;0
BEL;Hot;1990-2010;Other;0
BEL;Hot;2011-2020;Flat glass;15.6
BEL;Hot;2011-2020;Container glass;0
BEL;Hot;2011-2020;Other;0
BEL;Hot;2021-2030;Flat glass;15.6
BEL;Hot;2021-2030;Container glass;0
BEL;Hot;2021-2030;Other;0
BEL;Hot;2031-2040;Flat glass;15.6
BEL;Hot;2031-2040;Container glass;0
BEL;Hot;2031-2040;Other;0
BEL;Hot;2040<;Flat glass;15.6
BEL;Hot;2040<;Container glass;0
BEL;Hot;2040<;Other;0
BEL;Edu;>1945;Flat glass;6.25
BEL;Edu;>1945;Container glass;0
BEL;Edu;>1945;Other;0
BEL;Edu;1945-1969;Flat glass;6.25
BEL;Edu;1945-1969;Container glass;0
BEL;Edu;1945-1969;Other;0
BEL;Edu;1970-1989;Flat glass;6.25
BEL;Edu;1970-1989;Container glass;0
BEL;Edu;1970-1989;Other;0
BEL;Edu;1990-2010;Flat glass;6.25
BEL;Edu;1990-2010;Container glass;0
BEL;Edu;1990-2010;Other;0
BEL;Edu;2011-2020;Flat glass;25
BEL;Edu;2011-2020;Container glass;0
BEL;Edu;2011-2020;Other;0
BEL;Edu;2021-2030;Flat glass;25
BEL;Edu;2021-2030;Container glass;0
BEL;Edu;2021-2030;Other;0
BEL;Edu;2031-2040;Flat glass;25
BEL;Edu;2031-2040;Container glass;0
BEL;Edu;2031-2040;Other;0
BEL;Edu;2040<;Flat glass;25
BEL;Edu;2040<;Container glass;0
BEL;Edu;2040<;Other;0
BEL;Hea;>1945;Flat glass;4.9
BEL;Hea;>1945;Container glass;0
BEL;Hea;>1945;Other;0
BEL;Hea;1945-1969;Flat glass;4.9
BEL;Hea;1945-1969;Container glass;0
BEL;Hea;1945-1969;Other;0
BEL;Hea;1970-1989;Flat glass;4.9
BEL;Hea;1970-1989;Container glass;0
BEL;Hea;1970-1989;Other;0
BEL;Hea;1990-2010;Flat glass;4.9
BEL;Hea;1990-2010;Container glass;0
BEL;Hea;1990-2010;Other;0
BEL;Hea;2011-2020;Flat glass;19.6
BEL;Hea;2011-2020;Container glass;0
BEL;Hea;2011-2020;Other;0
BEL;Hea;2021-2030;Flat glass;19.6
BEL;Hea;2021-2030;Container glass;0
BEL;Hea;2021-2030;Other;0
BEL;Hea;2031-2040;Flat glass;19.6
BEL;Hea;2031-2040;Container glass;0
BEL;Hea;2031-2040;Other;0
BEL;Hea;2040<;Flat glass;19.6
BEL;Hea;2040<;Container glass;0
BEL;Hea;2040<;Other;0
BEL;Oth;>1945;Flat glass;14.5
BEL;Oth;>1945;Container glass;0
BEL;Oth;>1945;Other;0
BEL;Oth;1945-1969;Flat glass;14.5
BEL;Oth;1945-1969;Container glass;0
BEL;Oth;1945-1969;Other;0
BEL;Oth;1970-1989;Flat glass;14.5
BEL;Oth;1970-1989;Container glass;0
BEL;Oth;1970-1989;Other;0
BEL;Oth;1990-2010;Flat glass;14.5
BEL;Oth;1990-2010;Container glass;0
BEL;Oth;1990-2010;Other;0
BEL;Oth;2011-2020;Flat glass;58
BEL;Oth;2011-2020;Container glass;0
BEL;Oth;2011-2020;Other;0
BEL;Oth;2021-2030;Flat glass;58
BEL;Oth;2021-2030;Container glass;0
BEL;Oth;2021-2030;Other;0
BEL;Oth;2031-2040;Flat glass;58
BEL;Oth;2031-2040;Container glass;0
BEL;Oth;2031-2040;Other;0
BEL;Oth;2040<;Flat glass;58
BEL;Oth;2040<;Container glass;0
BEL;Oth;2040<;Other;0
BGR;SFH;>1945;Flat glass;2.825377397
BGR;SFH;>1945;Container glass;0
BGR;SFH;>1945;Other;0
BGR;SFH;1945-1969;Flat glass;2.825377397
BGR;SFH;1945-1969;Container glass;0
BGR;SFH;1945-1969;Other;0
BGR;SFH;1970-1989;Flat glass;2.825377397
BGR;SFH;1970-1989;Container glass;0
BGR;SFH;1970-1989;Other;0
BGR;SFH;1990-2010;Flat glass;2.825377397
BGR;SFH;1990-2010;Container glass;0
BGR;SFH;1990-2010;Other;0
BGR;SFH;2011-2020;Flat glass;11.30150959
BGR;SFH;2011-2020;Container glass;0
BGR;SFH;2011-2020;Other;0
BGR;SFH;2021-2030;Flat glass;11.30150959
BGR;SFH;2021-2030;Container glass;0
BGR;SFH;2021-2030;Other;0
BGR;SFH;2031-2040;Flat glass;11.30150959
BGR;SFH;2031-2040;Container glass;0
BGR;SFH;2031-2040;Other;0
BGR;SFH;2040<;Flat glass;11.30150959
BGR;SFH;2040<;Container glass;0
BGR;SFH;2040<;Other;0
BGR;MFH;>1945;Flat glass;0.909139253
BGR;MFH;>1945;Container glass;0
BGR;MFH;>1945;Other;0
BGR;MFH;1945-1969;Flat glass;1.992695135
BGR;MFH;1945-1969;Container glass;0
BGR;MFH;1945-1969;Other;0
BGR;MFH;1970-1989;Flat glass;3.076251017
BGR;MFH;1970-1989;Container glass;0
BGR;MFH;1970-1989;Other;0
BGR;MFH;1990-2010;Flat glass;4.1598069
BGR;MFH;1990-2010;Container glass;0
BGR;MFH;1990-2010;Other;0
BGR;MFH;2011-2020;Flat glass;16.6392276
BGR;MFH;2011-2020;Container glass;0
BGR;MFH;2011-2020;Other;0
BGR;MFH;2021-2030;Flat glass;16.6392276
BGR;MFH;2021-2030;Container glass;0
BGR;MFH;2021-2030;Other;0
BGR;MFH;2031-2040;Flat glass;16.6392276
BGR;MFH;2031-2040;Container glass;0
BGR;MFH;2031-2040;Other;0
BGR;MFH;2040<;Flat glass;16.6392276
BGR;MFH;2040<;Container glass;0
BGR;MFH;2040<;Other;0
BGR;Ret;>1945;Flat glass;5.866666667
BGR;Ret;>1945;Container glass;0
BGR;Ret;>1945;Other;0
BGR;Ret;1945-1969;Flat glass;5.866666667
BGR;Ret;1945-1969;Container glass;0
BGR;Ret;1945-1969;Other;0
BGR;Ret;1970-1989;Flat glass;5.866666667
BGR;Ret;1970-1989;Container glass;0
BGR;Ret;1970-1989;Other;0
BGR;Ret;1990-2010;Flat glass;5.866666667
BGR;Ret;1990-2010;Container glass;0
BGR;Ret;1990-2010;Other;0
BGR;Ret;2011-2020;Flat glass;23.46666667
BGR;Ret;2011-2020;Container glass;0
BGR;Ret;2011-2020;Other;0
BGR;Ret;2021-2030;Flat glass;23.46666667
BGR;Ret;2021-2030;Container glass;0
BGR;Ret;2021-2030;Other;0
BGR;Ret;2031-2040;Flat glass;23.46666667
BGR;Ret;2031-2040;Container glass;0
BGR;Ret;2031-2040;Other;0
BGR;Ret;2040<;Flat glass;23.46666667
BGR;Ret;2040<;Container glass;0
BGR;Ret;2040<;Other;0
BGR;Off;>1945;Flat glass;6.44
BGR;Off;>1945;Container glass;0
BGR;Off;>1945;Other;0
BGR;Off;1945-1969;Flat glass;6.44
BGR;Off;1945-1969;Container glass;0
BGR;Off;1945-1969;Other;0
BGR;Off;1970-1989;Flat glass;6.44
BGR;Off;1970-1989;Container glass;0
BGR;Off;1970-1989;Other;0
BGR;Off;1990-2010;Flat glass;6.44
BGR;Off;1990-2010;Container glass;0
BGR;Off;1990-2010;Other;0
BGR;Off;2011-2020;Flat glass;25.76
BGR;Off;2011-2020;Container glass;0
BGR;Off;2011-2020;Other;0
BGR;Off;2021-2030;Flat glass;25.76
BGR;Off;2021-2030;Container glass;0
BGR;Off;2021-2030;Other;0
BGR;Off;2031-2040;Flat glass;25.76
BGR;Off;2031-2040;Container glass;0
BGR;Off;2031-2040;Other;0
BGR;Off;2040<;Flat glass;25.76
BGR;Off;2040<;Container glass;0
BGR;Off;2040<;Other;0
BGR;Hot;>1945;Flat glass;3.9
BGR;Hot;>1945;Container glass;0
BGR;Hot;>1945;Other;0
BGR;Hot;1945-1969;Flat glass;3.9
BGR;Hot;1945-1969;Container glass;0
BGR;Hot;1945-1969;Other;0
BGR;Hot;1970-1989;Flat glass;3.9
BGR;Hot;1970-1989;Container glass;0
BGR;Hot;1970-1989;Other;0
BGR;Hot;1990-2010;Flat glass;3.9
BGR;Hot;1990-2010;Container glass;0
BGR;Hot;1990-2010;Other;0
BGR;Hot;2011-2020;Flat glass;15.6
BGR;Hot;2011-2020;Container glass;0
BGR;Hot;2011-2020;Other;0
BGR;Hot;2021-2030;Flat glass;15.6
BGR;Hot;2021-2030;Container glass;0
BGR;Hot;2021-2030;Other;0
BGR;Hot;2031-2040;Flat glass;15.6
BGR;Hot;2031-2040;Container glass;0
BGR;Hot;2031-2040;Other;0
BGR;Hot;2040<;Flat glass;15.6
BGR;Hot;2040<;Container glass;0
BGR;Hot;2040<;Other;0
BGR;Edu;>1945;Flat glass;6.25
BGR;Edu;>1945;Container glass;0
BGR;Edu;>1945;Other;0
BGR;Edu;1945-1969;Flat glass;6.25
BGR;Edu;1945-1969;Container glass;0
BGR;Edu;1945-1969;Other;0
BGR;Edu;1970-1989;Flat glass;6.25
BGR;Edu;1970-1989;Container glass;0
BGR;Edu;1970-1989;Other;0
BGR;Edu;1990-2010;Flat glass;6.25
BGR;Edu;1990-2010;Container glass;0
BGR;Edu;1990-2010;Other;0
BGR;Edu;2011-2020;Flat glass;25
BGR;Edu;2011-2020;Container glass;0
BGR;Edu;2011-2020;Other;0
BGR;Edu;2021-2030;Flat glass;25
BGR;Edu;2021-2030;Container glass;0
BGR;Edu;2021-2030;Other;0
BGR;Edu;2031-2040;Flat glass;25
BGR;Edu;2031-2040;Container glass;0
BGR;Edu;2031-2040;Other;0
BGR;Edu;2040<;Flat glass;25
BGR;Edu;2040<;Container glass;0
BGR;Edu;2040<;Other;0
BGR;Hea;>1945;Flat glass;4.9
BGR;Hea;>1945;Container glass;0
BGR;Hea;>1945;Other;0
BGR;Hea;1945-1969;Flat glass;4.9
BGR;Hea;1945-1969;Container glass;0
BGR;Hea;1945-1969;Other;0
BGR;Hea;1970-1989;Flat glass;4.9
BGR;Hea;1970-1989;Container glass;0
BGR;Hea;1970-1989;Other;0
BGR;Hea;1990-2010;Flat glass;4.9
BGR;Hea;1990-2010;Container glass;0
BGR;Hea;1990-2010;Other;0
BGR;Hea;2011-2020;Flat glass;19.6
BGR;Hea;2011-2020;Container glass;0
BGR;Hea;2011-2020;Other;0
BGR;Hea;2021-2030;Flat glass;19.6
BGR;Hea;2021-2030;Container glass;0
BGR;Hea;2021-2030;Other;0
BGR;Hea;2031-2040;Flat glass;19.6
BGR;Hea;2031-2040;Container glass;0
BGR;Hea;2031-2040;Other;0
BGR;Hea;2040<;Flat glass;19.6
BGR;Hea;2040<;Container glass;0
BGR;Hea;2040<;Other;0
BGR;Oth;>1945;Flat glass;14.5
BGR;Oth;>1945;Container glass;0
BGR;Oth;>1945;Other;0
BGR;Oth;1945-1969;Flat glass;14.5
BGR;Oth;1945-1969;Container glass;0
BGR;Oth;1945-1969;Other;0
BGR;Oth;1970-1989;Flat glass;14.5
BGR;Oth;1970-1989;Container glass;0
BGR;Oth;1970-1989;Other;0
BGR;Oth;1990-2010;Flat glass;14.5
BGR;Oth;1990-2010;Container glass;0
BGR;Oth;1990-2010;Other;0
BGR;Oth;2011-2020;Flat glass;58
BGR;Oth;2011-2020;Container glass;0
BGR;Oth;2011-2020;Other;0
BGR;Oth;2021-2030;Flat glass;58
BGR;Oth;2021-2030;Container glass;0
BGR;Oth;2021-2030;Other;0
BGR;Oth;2031-2040;Flat glass;58
BGR;Oth;2031-2040;Container glass;0
BGR;Oth;2031-2040;Other;0
BGR;Oth;2040<;Flat glass;58
BGR;Oth;2040<;Container glass;0
BGR;Oth;2040<;Other;0
CYP;SFH;>1945;Flat glass;3
CYP;SFH;>1945;Container glass;0
CYP;SFH;>1945;Other;0
CYP;SFH;1945-1969;Flat glass;3
CYP;SFH;1945-1969;Container glass;0
CYP;SFH;1945-1969;Other;0
CYP;SFH;1970-1989;Flat glass;3
CYP;SFH;1970-1989;Container glass;0
CYP;SFH;1970-1989;Other;0
CYP;SFH;1990-2010;Flat glass;3
CYP;SFH;1990-2010;Container glass;0
CYP;SFH;1990-2010;Other;0
CYP;SFH;2011-2020;Flat glass;12
CYP;SFH;2011-2020;Container glass;0
CYP;SFH;2011-2020;Other;0
CYP;SFH;2021-2030;Flat glass;12
CYP;SFH;2021-2030;Container glass;0
CYP;SFH;2021-2030;Other;0
CYP;SFH;2031-2040;Flat glass;12
CYP;SFH;2031-2040;Container glass;0
CYP;SFH;2031-2040;Other;0
CYP;SFH;2040<;Flat glass;12
CYP;SFH;2040<;Container glass;0
CYP;SFH;2040<;Other;0
CYP;MFH;>1945;Flat glass;6.5
CYP;MFH;>1945;Container glass;0
CYP;MFH;>1945;Other;0
CYP;MFH;1945-1969;Flat glass;6.5
CYP;MFH;1945-1969;Container glass;0
CYP;MFH;1945-1969;Other;0
CYP;MFH;1970-1989;Flat glass;6
CYP;MFH;1970-1989;Container glass;0
CYP;MFH;1970-1989;Other;0
CYP;MFH;1990-2010;Flat glass;7
CYP;MFH;1990-2010;Container glass;0
CYP;MFH;1990-2010;Other;0
CYP;MFH;2011-2020;Flat glass;28
CYP;MFH;2011-2020;Container glass;0
CYP;MFH;2011-2020;Other;0
CYP;MFH;2021-2030;Flat glass;28
CYP;MFH;2021-2030;Container glass;0
CYP;MFH;2021-2030;Other;0
CYP;MFH;2031-2040;Flat glass;28
CYP;MFH;2031-2040;Container glass;0
CYP;MFH;2031-2040;Other;0
CYP;MFH;2040<;Flat glass;28
CYP;MFH;2040<;Container glass;0
CYP;MFH;2040<;Other;0
CYP;Ret;>1945;Flat glass;5.866666667
CYP;Ret;>1945;Container glass;0
CYP;Ret;>1945;Other;0
CYP;Ret;1945-1969;Flat glass;5.866666667
CYP;Ret;1945-1969;Container glass;0
CYP;Ret;1945-1969;Other;0
CYP;Ret;1970-1989;Flat glass;5.866666667
CYP;Ret;1970-1989;Container glass;0
CYP;Ret;1970-1989;Other;0
CYP;Ret;1990-2010;Flat glass;5.866666667
CYP;Ret;1990-2010;Container glass;0
CYP;Ret;1990-2010;Other;0
CYP;Ret;2011-2020;Flat glass;23.46666667
CYP;Ret;2011-2020;Container glass;0
CYP;Ret;2011-2020;Other;0
CYP;Ret;2021-2030;Flat glass;23.46666667
CYP;Ret;2021-2030;Container glass;0
CYP;Ret;2021-2030;Other;0
CYP;Ret;2031-2040;Flat glass;23.46666667
CYP;Ret;2031-2040;Container glass;0
CYP;Ret;2031-2040;Other;0
CYP;Ret;2040<;Flat glass;23.46666667
CYP;Ret;2040<;Container glass;0
CYP;Ret;2040<;Other;0
CYP;Off;>1945;Flat glass;6.44
CYP;Off;>1945;Container glass;0
CYP;Off;>1945;Other;0
CYP;Off;1945-1969;Flat glass;6.44
CYP;Off;1945-1969;Container glass;0
CYP;Off;1945-1969;Other;0
CYP;Off;1970-1989;Flat glass;6.44
CYP;Off;1970-1989;Container glass;0
CYP;Off;1970-1989;Other;0
CYP;Off;1990-2010;Flat glass;6.44
CYP;Off;1990-2010;Container glass;0
CYP;Off;1990-2010;Other;0
CYP;Off;2011-2020;Flat glass;25.76
CYP;Off;2011-2020;Container glass;0
CYP;Off;2011-2020;Other;0
CYP;Off;2021-2030;Flat glass;25.76
CYP;Off;2021-2030;Container glass;0
CYP;Off;2021-2030;Other;0
CYP;Off;2031-2040;Flat glass;25.76
CYP;Off;2031-2040;Container glass;0
CYP;Off;2031-2040;Other;0
CYP;Off;2040<;Flat glass;25.76
