Region;Year;Vehicle size;Value
BEL;2034;microcar;0.291490611
BEL;2034;passenger car;0.64125632
BEL;2034;minivan_SUV;0.04669248
BEL;2034;light truck;0.020560589
BEL;2035;microcar;0.296959972
BEL;2035;passenger car;0.64384
BEL;2035;minivan_SUV;0.04176
BEL;2035;light truck;0.017440028
BEL;2036;microcar;0.301535159
BEL;2036;passenger car;0.64600128
BEL;2036;minivan_SUV;0.03763392
BEL;2036;light truck;0.014829641
BEL;2037;microcar;0.305171464
BEL;2037;passenger car;0.64771904
BEL;2037;minivan_SUV;0.03435456
BEL;2037;light truck;0.012754936
BEL;2038;microcar;0.307824178
BEL;2038;passenger car;0.64897216
BEL;2038;minivan_SUV;0.03196224
BEL;2038;light truck;0.011241422
BEL;2039;microcar;0.309448593
BEL;2039;passenger car;0.64973952
BEL;2039;minivan_SUV;0.03049728
BEL;2039;light truck;0.010314607
BEL;2040;microcar;0.31
BEL;2040;passenger car;0.65
BEL;2040;minivan_SUV;0.03
BEL;2040;light truck;0.01
BEL;2041;microcar;0.31
BEL;2041;passenger car;0.65
BEL;2041;minivan_SUV;0.03
BEL;2041;light truck;0.01
BEL;2042;microcar;0.31
BEL;2042;passenger car;0.65
BEL;2042;minivan_SUV;0.03
BEL;2042;light truck;0.01
BEL;2043;microcar;0.31
BEL;2043;passenger car;0.65
BEL;2043;minivan_SUV;0.03
BEL;2043;light truck;0.01
BEL;2044;microcar;0.31
BEL;2044;passenger car;0.65
BEL;2044;minivan_SUV;0.03
BEL;2044;light truck;0.01
BEL;2045;microcar;0.31
BEL;2045;passenger car;0.65
BEL;2045;minivan_SUV;0.03
BEL;2045;light truck;0.01
BEL;2046;microcar;0.31
BEL;2046;passenger car;0.65
BEL;2046;minivan_SUV;0.03
BEL;2046;light truck;0.01
BEL;2047;microcar;0.31
BEL;2047;passenger car;0.65
BEL;2047;minivan_SUV;0.03
BEL;2047;light truck;0.01
BEL;2048;microcar;0.31
BEL;2048;passenger car;0.65
BEL;2048;minivan_SUV;0.03
BEL;2048;light truck;0.01
BEL;2049;microcar;0.31
