,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
59,EU27+3,2019.0,other,PET,Mechanical recycling,All,2,0.004237837837837838
60,EU27+3,2019.0,other,PET,Mechanical recycling,All,3,0.0033902702702702705
61,EU27+3,2019.0,other,PET,Mechanical recycling,All,4,0.013561081081081087
62,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,0,344.5411171915419
63,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,1,82.68986812597005
64,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,2,19.845568350232814
65,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,3,4.762936404055875
66,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,4,1.14310473697341
67,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,5,0.36098044325476114
68,EU27+3,2019.25,reusable beverage bottles,PET,Mechanical recycling,All,0,1.0156852197616555
69,EU27+3,2019.25,reusable beverage bottles,PET,Mechanical recycling,All,1,0.3207427009773649
70,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.355075807514833
71,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.64521819380356
72,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.114852366512854
73,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.26756456796308503
74,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06421549631114039
75,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.020278577782465387
76,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07172184588464495
77,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.02264900396357209
78,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
79,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209213
80,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052055
81,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
82,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,4,0.2753931357277277
