region,time,sector,intermediate,product,element,value
EU27+1,2017,Other Transport,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Wire Rod,All,211.2902979
EU27+1,2017,Other Transport,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Bar,All,109.8641562
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Plate,All,3275.775791
EU27+1,2017,Other Transport,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Coil,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Coil Galvanized,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Narrow Strip,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Organic Coated,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Tinned,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Electrical Sheet,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Welded Tube,All,323.1373973
EU27+1,2017,Other Transport,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Seamless Tube,All,150.556352
EU27+1,2017,Other Transport,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cast Iron,All,201.9790643
EU27+1,2017,Other Transport,Steel Intermediary,Cast Iron,Cu,0
EU27+1,2017,Other Transport,Steel Intermediary,Cast Steel,All,0
EU27+1,2017,Other Transport,Steel Intermediary,Cast Steel,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Light Sections,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Light Sections,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Heavy Sections,All,0
