"region","time","sector","polymer","value"
"EU27+3",2022,"PET single-use beverage bottles","PET",0
"EU27+3",2022,"PET reusable beverage bottles","PET",20
"EU27+3",2040,"PET single-use beverage bottles","PET",0
"EU27+3",2040,"PET reusable beverage bottles","PET",20
