"region","time","sector","polymer","waste_category","secondary_raw_material","value"
"EU27+3",2022,"PET single-use beverage bottles","PET","Mechanical recycling","Granulate",0.9
"EU27+3",2022,"PET reusable beverage bottles","PET","Mechanical recycling","Granulate",0.9
"EU27+3",2040,"PET single-use beverage bottles","PET","Mechanical recycling","Granulate",0.9
"EU27+3",2040,"PET reusable beverage bottles","PET","Mechanical recycling","Granulate",0.9
