"region","other_region","time","sector","polymer","value"
"EU27+3","EU27+3",2022,"PET single-use beverage bottles","PET",1
"EU27+3","EU27+3",2022,"PET reusable beverage bottles","PET",1
"EU27+3","EU27+3",2040,"PET single-use beverage bottles","PET",1
"EU27+3","EU27+3",2040,"PET reusable beverage bottles","PET",1
