Time,Region simple,Concrete product simple,End use sector,value
1978,EU28,Transport concrete,Infrastructure,299132998.0258838
1978,EU28,Precast concrete,Buildings,748080775.1342714
1978,EU28,Precast concrete,Infrastructure,299132998.0258838
1979,EU28,Transport concrete,Buildings,688725357.0531645
1979,EU28,Transport concrete,Infrastructure,275398710.5667588
1979,EU28,Precast concrete,Buildings,688725357.0531645
1979,EU28,Precast concrete,Infrastructure,275398710.5667588
1980,EU28,Transport concrete,Buildings,834957799.4086293
1980,EU28,Transport concrete,Infrastructure,333872274.3107089
1980,EU28,Precast concrete,Buildings,834957799.4086293
1980,EU28,Precast concrete,Infrastructure,333872274.3107089
1981,EU28,Transport concrete,Buildings,782575795.0740497
1981,EU28,Transport concrete,Infrastructure,312926426.5893918
1981,EU28,Precast concrete,Buildings,782575795.0740497
1981,EU28,Precast concrete,Infrastructure,312926426.5893918
1982,EU28,Transport concrete,Buildings,826150764.0524899
1982,EU28,Transport concrete,Infrastructure,330350629.3528779
1982,EU28,Precast concrete,Buildings,826150764.0524899
1982,EU28,Precast concrete,Infrastructure,330350629.3528779
1983,EU28,Transport concrete,Buildings,870975900.3513403
1983,EU28,Transport concrete,Infrastructure,348274733.0776241
1983,EU28,Precast concrete,Buildings,870975900.3513403
1983,EU28,Precast concrete,Infrastructure,348274733.0776241
1984,EU28,Transport concrete,Buildings,905680202.5736243
1984,EU28,Transport concrete,Infrastructure,362151846.77070516
1984,EU28,Precast concrete,Buildings,905680202.5736243
1984,EU28,Precast concrete,Infrastructure,362151846.77070516
1985,EU28,Transport concrete,Buildings,961110213.0274087
1985,EU28,Transport concrete,Infrastructure,384316492.299353
1985,EU28,Precast concrete,Buildings,961110213.0274087
1985,EU28,Precast concrete,Infrastructure,384316492.299353
1986,EU28,Transport concrete,Buildings,1008642550.1127305
1986,EU28,Transport concrete,Infrastructure,403323116.9422038
1986,EU28,Precast concrete,Buildings,1008642550.1127305
1986,EU28,Precast concrete,Infrastructure,403323116.9422038
1987,EU28,Transport concrete,Buildings,1148732672.149825
