Time,Region simple,Concrete product simple,End use sector,value
1983,EU28,Transport concrete,Buildings,0.0
1983,EU28,Transport concrete,Infrastructure,0.0
1983,EU28,Precast concrete,Buildings,0.0
1983,EU28,Precast concrete,Infrastructure,0.0
1984,EU28,Transport concrete,Buildings,0.0
1984,EU28,Transport concrete,Infrastructure,0.0
1984,EU28,Precast concrete,Buildings,0.0
1984,EU28,Precast concrete,Infrastructure,0.0
1985,EU28,Transport concrete,Buildings,0.0
1985,EU28,Transport concrete,Infrastructure,0.0
1985,EU28,Precast concrete,Buildings,0.0
1985,EU28,Precast concrete,Infrastructure,0.0
1986,EU28,Transport concrete,Buildings,0.0
1986,EU28,Transport concrete,Infrastructure,0.0
1986,EU28,Precast concrete,Buildings,0.0
1986,EU28,Precast concrete,Infrastructure,0.0
1987,EU28,Transport concrete,Buildings,0.0
1987,EU28,Transport concrete,Infrastructure,0.0
1987,EU28,Precast concrete,Buildings,0.0
1987,EU28,Precast concrete,Infrastructure,0.0
1988,EU28,Transport concrete,Buildings,0.0
1988,EU28,Transport concrete,Infrastructure,0.0
1988,EU28,Precast concrete,Buildings,0.0
1988,EU28,Precast concrete,Infrastructure,0.0
1989,EU28,Transport concrete,Buildings,0.0
1989,EU28,Transport concrete,Infrastructure,0.0
1989,EU28,Precast concrete,Buildings,0.0
1989,EU28,Precast concrete,Infrastructure,0.0
1990,EU28,Transport concrete,Buildings,0.0
1990,EU28,Transport concrete,Infrastructure,0.0
1990,EU28,Precast concrete,Buildings,0.0
1990,EU28,Precast concrete,Infrastructure,0.0
1991,EU28,Transport concrete,Buildings,0.0
1991,EU28,Transport concrete,Infrastructure,0.0
1991,EU28,Precast concrete,Buildings,0.0
1991,EU28,Precast concrete,Infrastructure,0.0
1992,EU28,Transport concrete,Buildings,0.0
1992,EU28,Transport concrete,Infrastructure,0.0
1992,EU28,Precast concrete,Buildings,0.0
1992,EU28,Precast concrete,Infrastructure,0.0
1993,EU28,Transport concrete,Buildings,0.0
1993,EU28,Transport concrete,Infrastructure,0.0
1993,EU28,Precast concrete,Buildings,0.0
1993,EU28,Precast concrete,Infrastructure,0.0
1994,EU28,Transport concrete,Buildings,0.0
1994,EU28,Transport concrete,Infrastructure,0.0
1994,EU28,Precast concrete,Buildings,0.0
1994,EU28,Precast concrete,Infrastructure,0.0
1995,EU28,Transport concrete,Buildings,0.0
1995,EU28,Transport concrete,Infrastructure,0.0
1995,EU28,Precast concrete,Buildings,0.0
1995,EU28,Precast concrete,Infrastructure,0.0
1996,EU28,Transport concrete,Buildings,0.0
1996,EU28,Transport concrete,Infrastructure,0.0
1996,EU28,Precast concrete,Buildings,0.0
1996,EU28,Precast concrete,Infrastructure,0.0
1997,EU28,Transport concrete,Buildings,0.0
1997,EU28,Transport concrete,Infrastructure,0.0
1997,EU28,Precast concrete,Buildings,0.0
1997,EU28,Precast concrete,Infrastructure,0.0
1998,EU28,Transport concrete,Buildings,0.0
1998,EU28,Transport concrete,Infrastructure,0.0
1998,EU28,Precast concrete,Buildings,0.0
1998,EU28,Precast concrete,Infrastructure,0.0
1999,EU28,Transport concrete,Buildings,0.0
1999,EU28,Transport concrete,Infrastructure,0.0
1999,EU28,Precast concrete,Buildings,0.0
1999,EU28,Precast concrete,Infrastructure,0.0
2000,EU28,Transport concrete,Buildings,0.0
2000,EU28,Transport concrete,Infrastructure,0.0
2000,EU28,Precast concrete,Buildings,0.0
2000,EU28,Precast concrete,Infrastructure,0.0
2001,EU28,Transport concrete,Buildings,0.0
2001,EU28,Transport concrete,Infrastructure,0.0
2001,EU28,Precast concrete,Buildings,0.0
2001,EU28,Precast concrete,Infrastructure,0.0
2002,EU28,Transport concrete,Buildings,0.0
2002,EU28,Transport concrete,Infrastructure,0.0
2002,EU28,Precast concrete,Buildings,0.0
2002,EU28,Precast concrete,Infrastructure,0.0
2003,EU28,Transport concrete,Buildings,0.0
2003,EU28,Transport concrete,Infrastructure,0.0
2003,EU28,Precast concrete,Buildings,0.0
2003,EU28,Precast concrete,Infrastructure,0.0
2004,EU28,Transport concrete,Buildings,0.0
2004,EU28,Transport concrete,Infrastructure,0.0
2004,EU28,Precast concrete,Buildings,0.0
2004,EU28,Precast concrete,Infrastructure,0.0
2005,EU28,Transport concrete,Buildings,0.0
2005,EU28,Transport concrete,Infrastructure,0.0
2005,EU28,Precast concrete,Buildings,0.0
2005,EU28,Precast concrete,Infrastructure,0.0
2006,EU28,Transport concrete,Buildings,0.0
2006,EU28,Transport concrete,Infrastructure,0.0
2006,EU28,Precast concrete,Buildings,0.0
2006,EU28,Precast concrete,Infrastructure,0.0
2007,EU28,Transport concrete,Buildings,0.0
2007,EU28,Transport concrete,Infrastructure,0.0
2007,EU28,Precast concrete,Buildings,0.0
2007,EU28,Precast concrete,Infrastructure,0.0
2008,EU28,Transport concrete,Buildings,0.0
2008,EU28,Transport concrete,Infrastructure,0.0
2008,EU28,Precast concrete,Buildings,0.0
2008,EU28,Precast concrete,Infrastructure,0.0
2009,EU28,Transport concrete,Buildings,0.0
2009,EU28,Transport concrete,Infrastructure,0.0
2009,EU28,Precast concrete,Buildings,0.0
2009,EU28,Precast concrete,Infrastructure,0.0
2010,EU28,Transport concrete,Buildings,0.0
2010,EU28,Transport concrete,Infrastructure,0.0
2010,EU28,Precast concrete,Buildings,0.0
2010,EU28,Precast concrete,Infrastructure,0.0
2011,EU28,Transport concrete,Buildings,0.0
2011,EU28,Transport concrete,Infrastructure,0.0
2011,EU28,Precast concrete,Buildings,0.0
2011,EU28,Precast concrete,Infrastructure,0.0
2012,EU28,Transport concrete,Buildings,0.0
2012,EU28,Transport concrete,Infrastructure,0.0
2012,EU28,Precast concrete,Buildings,0.0
2012,EU28,Precast concrete,Infrastructure,0.0
2013,EU28,Transport concrete,Buildings,0.0
2013,EU28,Transport concrete,Infrastructure,0.0
2013,EU28,Precast concrete,Buildings,0.0
2013,EU28,Precast concrete,Infrastructure,0.0
2014,EU28,Transport concrete,Buildings,0.0
2014,EU28,Transport concrete,Infrastructure,0.0
2014,EU28,Precast concrete,Buildings,0.0
2014,EU28,Precast concrete,Infrastructure,0.0
2015,EU28,Transport concrete,Buildings,0.0
2015,EU28,Transport concrete,Infrastructure,0.0
2015,EU28,Precast concrete,Buildings,0.0
2015,EU28,Precast concrete,Infrastructure,0.0
2016,EU28,Transport concrete,Buildings,0.0
2016,EU28,Transport concrete,Infrastructure,0.0
2016,EU28,Precast concrete,Buildings,0.0
2016,EU28,Precast concrete,Infrastructure,0.0
2017,EU28,Transport concrete,Buildings,0.0
2017,EU28,Transport concrete,Infrastructure,0.0
2017,EU28,Precast concrete,Buildings,0.0
2017,EU28,Precast concrete,Infrastructure,0.0
2018,EU28,Transport concrete,Buildings,0.0
2018,EU28,Transport concrete,Infrastructure,0.0
2018,EU28,Precast concrete,Buildings,0.0
2018,EU28,Precast concrete,Infrastructure,0.0
2019,EU28,Transport concrete,Buildings,0.0
2019,EU28,Transport concrete,Infrastructure,0.0
2019,EU28,Precast concrete,Buildings,0.0
2019,EU28,Precast concrete,Infrastructure,0.0
2020,EU28,Transport concrete,Buildings,0.0
2020,EU28,Transport concrete,Infrastructure,0.0
2020,EU28,Precast concrete,Buildings,0.0
2020,EU28,Precast concrete,Infrastructure,0.0
2021,EU28,Transport concrete,Buildings,0.0
2021,EU28,Transport concrete,Infrastructure,0.0
2021,EU28,Precast concrete,Buildings,0.0
2021,EU28,Precast concrete,Infrastructure,0.0
2022,EU28,Transport concrete,Buildings,0.0
2022,EU28,Transport concrete,Infrastructure,0.0
2022,EU28,Precast concrete,Buildings,0.0
2022,EU28,Precast concrete,Infrastructure,0.0
2023,EU28,Transport concrete,Buildings,678720107.8679999
2023,EU28,Transport concrete,Infrastructure,380745426.397
2023,EU28,Precast concrete,Buildings,678720107.8679999
2023,EU28,Precast concrete,Infrastructure,380745426.397
2024,EU28,Transport concrete,Buildings,685440108.936
2024,EU28,Transport concrete,Infrastructure,384515183.094
2024,EU28,Precast concrete,Buildings,685440108.936
2024,EU28,Precast concrete,Infrastructure,384515183.094
2025,EU28,Transport concrete,Buildings,692160110.004
2025,EU28,Transport concrete,Infrastructure,388284939.791
2025,EU28,Precast concrete,Buildings,692160110.004
2025,EU28,Precast concrete,Infrastructure,388284939.791
2026,EU28,Transport concrete,Buildings,698880111.072
2026,EU28,Transport concrete,Infrastructure,392054696.488
2026,EU28,Precast concrete,Buildings,698880111.072
2026,EU28,Precast concrete,Infrastructure,392054696.488
2027,EU28,Transport concrete,Buildings,705600112.14
2027,EU28,Transport concrete,Infrastructure,395824453.185
2027,EU28,Precast concrete,Buildings,705600112.14
2027,EU28,Precast concrete,Infrastructure,395824453.185
2028,EU28,Transport concrete,Buildings,712320113.208
2028,EU28,Transport concrete,Infrastructure,399594209.882
2028,EU28,Precast concrete,Buildings,712320113.208
2028,EU28,Precast concrete,Infrastructure,399594209.882
2029,EU28,Transport concrete,Buildings,719040114.276
2029,EU28,Transport concrete,Infrastructure,403363966.579
2029,EU28,Precast concrete,Buildings,719040114.276
2029,EU28,Precast concrete,Infrastructure,403363966.579
2030,EU28,Transport concrete,Buildings,725760115.344
2030,EU28,Transport concrete,Infrastructure,407133723.276
2030,EU28,Precast concrete,Buildings,725760115.344
2030,EU28,Precast concrete,Infrastructure,407133723.276
2031,EU28,Transport concrete,Buildings,732480116.4120001
2031,EU28,Transport concrete,Infrastructure,410903479.973
2031,EU28,Precast concrete,Buildings,732480116.4120001
2031,EU28,Precast concrete,Infrastructure,410903479.973
2032,EU28,Transport concrete,Buildings,739200117.48
2032,EU28,Transport concrete,Infrastructure,414673236.67
2032,EU28,Precast concrete,Buildings,739200117.48
2032,EU28,Precast concrete,Infrastructure,414673236.67
2033,EU28,Transport concrete,Buildings,745920118.548
2033,EU28,Transport concrete,Infrastructure,418442993.36700004
2033,EU28,Precast concrete,Buildings,745920118.548
2033,EU28,Precast concrete,Infrastructure,418442993.36700004
2034,EU28,Transport concrete,Buildings,752640119.616
2034,EU28,Transport concrete,Infrastructure,422212750.064
2034,EU28,Precast concrete,Buildings,752640119.616
2034,EU28,Precast concrete,Infrastructure,422212750.064
2035,EU28,Transport concrete,Buildings,759360120.6839999
2035,EU28,Transport concrete,Infrastructure,425982506.7609999
2035,EU28,Precast concrete,Buildings,759360120.6839999
2035,EU28,Precast concrete,Infrastructure,425982506.7609999
2036,EU28,Transport concrete,Buildings,766080121.7519999
2036,EU28,Transport concrete,Infrastructure,429752263.45799994
2036,EU28,Precast concrete,Buildings,766080121.7519999
2036,EU28,Precast concrete,Infrastructure,429752263.45799994
2037,EU28,Transport concrete,Buildings,772800122.8199999
2037,EU28,Transport concrete,Infrastructure,433522020.155
2037,EU28,Precast concrete,Buildings,772800122.8199999
2037,EU28,Precast concrete,Infrastructure,433522020.155
2038,EU28,Transport concrete,Buildings,779520123.8879999
2038,EU28,Transport concrete,Infrastructure,437291776.85199994
2038,EU28,Precast concrete,Buildings,779520123.8879999
2038,EU28,Precast concrete,Infrastructure,437291776.85199994
2039,EU28,Transport concrete,Buildings,786240124.9559999
2039,EU28,Transport concrete,Infrastructure,441061533.54899997
2039,EU28,Precast concrete,Buildings,786240124.9559999
2039,EU28,Precast concrete,Infrastructure,441061533.54899997
2040,EU28,Transport concrete,Buildings,792960126.0239999
2040,EU28,Transport concrete,Infrastructure,444831290.246
2040,EU28,Precast concrete,Buildings,792960126.0239999
2040,EU28,Precast concrete,Infrastructure,444831290.246
2041,EU28,Transport concrete,Buildings,799680127.0919999
2041,EU28,Transport concrete,Infrastructure,448601046.94299996
2041,EU28,Precast concrete,Buildings,799680127.0919999
2041,EU28,Precast concrete,Infrastructure,448601046.94299996
2042,EU28,Transport concrete,Buildings,806400128.16
2042,EU28,Transport concrete,Infrastructure,452370803.64
2042,EU28,Precast concrete,Buildings,806400128.16
2042,EU28,Precast concrete,Infrastructure,452370803.64
2043,EU28,Transport concrete,Buildings,813120129.2279999
2043,EU28,Transport concrete,Infrastructure,456140560.33699995
2043,EU28,Precast concrete,Buildings,813120129.2279999
2043,EU28,Precast concrete,Infrastructure,456140560.33699995
2044,EU28,Transport concrete,Buildings,819840130.2959999
2044,EU28,Transport concrete,Infrastructure,459910317.034
2044,EU28,Precast concrete,Buildings,819840130.2959999
2044,EU28,Precast concrete,Infrastructure,459910317.034
2045,EU28,Transport concrete,Buildings,826560131.364
2045,EU28,Transport concrete,Infrastructure,463680073.731
2045,EU28,Precast concrete,Buildings,826560131.364
2045,EU28,Precast concrete,Infrastructure,463680073.731
2046,EU28,Transport concrete,Buildings,833280132.4319999
2046,EU28,Transport concrete,Infrastructure,467449830.428
2046,EU28,Precast concrete,Buildings,833280132.4319999
2046,EU28,Precast concrete,Infrastructure,467449830.428
2047,EU28,Transport concrete,Buildings,840000133.5
2047,EU28,Transport concrete,Infrastructure,471219587.125
2047,EU28,Precast concrete,Buildings,840000133.5
2047,EU28,Precast concrete,Infrastructure,471219587.125
2048,EU28,Transport concrete,Buildings,846720134.568
2048,EU28,Transport concrete,Infrastructure,474989343.82199997
2048,EU28,Precast concrete,Buildings,846720134.568
2048,EU28,Precast concrete,Infrastructure,474989343.82199997
2049,EU28,Transport concrete,Buildings,853440135.6359999
2049,EU28,Transport concrete,Infrastructure,478759100.519
2049,EU28,Precast concrete,Buildings,853440135.6359999
2049,EU28,Precast concrete,Infrastructure,478759100.519
2050,EU28,Transport concrete,Buildings,860160136.704
2050,EU28,Transport concrete,Infrastructure,482528857.216
2050,EU28,Precast concrete,Buildings,860160136.704
2050,EU28,Precast concrete,Infrastructure,482528857.216
