"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Iron","All",229.55427070739117
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Steel","All",57.36341688250675
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Wire Rod","All",76.25380676564113
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Bar","All",19.824762949621324
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Plate","All",17.912335192994924
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil","All",22.055199158031137
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Electrical Sheet","All",158.6481099590248
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Welded Tube","All",58.30948438171343
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Seamless Tube","All",6.791896671452168
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Iron","All",54.670065400677295
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Wire Rod","All",936.7904084091103
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Bar","All",435.28162785464997
"EU27+1",1946,"Metalware","Steel Intermediary","Plate","All",309.0147366787227
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil","All",161.41803757523493
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Narrow Strip","All",172.68832583678437
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil","All",109.28642369945763
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Organic Coated","All",408.30811840280376
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Tinned","All",408.79174557331487
"EU27+1",1946,"Metalware","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Welded Tube","All",30.482616669071202
"EU27+1",1946,"Metalware","Steel Intermediary","Seamless Tube","All",14.20247734221061
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Iron","All",171.4801629154377
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Steel","All",42.851252743352724
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Wire Rod","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Bar","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil","All",172.22379502562325
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Organic Coated","All",150.13838534705374
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Welded Tube","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Seamless Tube","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Iron","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","Cu",0
