region,sector,polymer,value
East,"Household, Leisure, Sports","PE-HD, -MD",9.9
East,"Household, Leisure, Sports",PP,9.9
East,"Household, Leisure, Sports",PS,9.9
East,"Household, Leisure, Sports",PS-E,9.9
East,"Household, Leisure, Sports",PVC,9.9
East,"Household, Leisure, Sports",PET,9.9
East,"Household, Leisure, Sports","ABS, SAN",9.9
East,"Household, Leisure, Sports",PMMA,9.9
East,"Household, Leisure, Sports","PA (PA6, PA66)",9.9
East,"Household, Leisure, Sports",PC,9.9
East,"Household, Leisure, Sports",Other Thermoplastics,9.9
East,"Household, Leisure, Sports",PUR,9.9
East,"Household, Leisure, Sports",Other Plastics,9.9
East,Others,"PE-LD, -LLD",6.0
East,Others,"PE-HD, -MD",6.0
East,Others,PP,6.0
East,Others,PS,6.0
East,Others,PS-E,6.0
East,Others,PVC,6.0
East,Others,PET,6.0
East,Others,"ABS, SAN",6.0
East,Others,PMMA,6.0
East,Others,"PA (PA6, PA66)",6.0
East,Others,PC,6.0
East,Others,Other Thermoplastics,6.0
East,Others,PUR,6.0
East,Others,Other Plastics,6.0
East,Packaging,"PE-LD, -LLD",0.2
East,Packaging,"PE-HD, -MD",0.2
East,Packaging,PP,0.2
East,Packaging,PS,0.2
East,Packaging,PS-E,0.2
East,Packaging,PVC,0.2
East,Packaging,PET,0.2
East,Packaging,"ABS, SAN",0.2
East,Packaging,PMMA,0.2
East,Packaging,"PA (PA6, PA66)",0.2
East,Packaging,PC,0.2
East,Packaging,Other Thermoplastics,0.2
East,Packaging,PUR,0.2
East,Packaging,Other Plastics,0.2
East,PET beverage bottles,"PE-LD, -LLD",0.2
East,PET beverage bottles,"PE-HD, -MD",0.2
East,PET beverage bottles,PP,0.2
East,PET beverage bottles,PS,0.2
East,PET beverage bottles,PS-E,0.2
East,PET beverage bottles,PVC,0.2
East,PET beverage bottles,PET,0.2
East,PET beverage bottles,"ABS, SAN",0.2
East,PET beverage bottles,PMMA,0.2
East,PET beverage bottles,"PA (PA6, PA66)",0.2
East,PET beverage bottles,PC,0.2
East,PET beverage bottles,Other Thermoplastics,0.2
East,PET beverage bottles,PUR,0.2
East,PET beverage bottles,Other Plastics,0.2
East,PET other packaging,"PE-LD, -LLD",0.2
East,PET other packaging,"PE-HD, -MD",0.2
East,PET other packaging,PP,0.2
East,PET other packaging,PS,0.2
East,PET other packaging,PS-E,0.2
East,PET other packaging,PVC,0.2
East,PET other packaging,PET,0.2
East,PET other packaging,"ABS, SAN",0.2
East,PET other packaging,PMMA,0.2
East,PET other packaging,"PA (PA6, PA66)",0.2
East,PET other packaging,PC,0.2
East,PET other packaging,Other Thermoplastics,0.2
