"Short name", "Process"
EUSAllH, "End use stock historic: All"
EUSAllF, "End use stock future: All"
"", "Productin of polymers"
"", "Market for polymers"
"", "Manufacturing of end use products from plastics"
"", "Waste collection of EOL plastics"
"", "Unsorted waste market for recovered EOL plastics"
"", "Waste sorting of recovered EOL plastics"
"", "Sorted waste market for sorted EOL plastics"
"", "Recycling of sorted EOL plastics"
