,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
57,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.114852366512854
58,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.26756456796308503
59,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06421549631114039
60,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.020278577782465387
61,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07172184588464495
62,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.02264900396357209
63,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
64,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209213
65,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052055
66,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
67,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,4,0.2753931357277277
68,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,5,0.21638032092892892
69,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,0,352.45333491410344
70,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,1,84.58880037938482
71,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,2,20.301312091052353
72,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,3,4.872314901852565
73,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1693555764446157
74,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,5,0.28064533834670774
75,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,6,0.08862484368843405
76,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,0,1.003405230794916
77,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,1,0.24081725539077975
78,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,2,0.07604755433393044
79,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.785188603237387
80,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.748445264776972
81,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1396268635464732
82,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.27351044725115353
83,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06564250734027685
84,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01575420176166644
85,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.004975011082631507
86,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07431501079298967
87,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.017835602590317523
88,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.005632295554837114
89,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
90,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209218
91,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052055
92,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
93,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,4,0.27539313572772783
94,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,5,0.1211729797202002
95,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,6,0.09520734120872874
96,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,0,360.3655526366649
97,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,1,86.48773263279956
98,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,2,20.757055831871895
99,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,3,4.981693399649254
100,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1956064159158213
101,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,5,0.2869455398197971
102,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06886692955675128
103,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,7,0.0217474514389741
104,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,0,0.9895266633828019
105,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,1,0.23748639921187253
106,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,2,0.05699673581084938
107,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,3,0.01799896920342612
108,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.215301398959937
109,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.851672335750385
110,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.164401360580092
111,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2794563265392221
112,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06706951836941329
113,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01609668440865919
114,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.003863204258078204
115,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0012199592393931172
116,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07695162553224347
117,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.01846839012773843
118,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.004432413630657224
119,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.0013997095675759657
120,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
121,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209218
122,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052057
123,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
124,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,4,0.27539313572772783
125,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,5,0.12117297972020023
126,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,6,0.053316111076888086
127,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,7,0.04189123013184065
128,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,0,350.67302361859953
129,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,1,84.16538588983664
130,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,2,20.19969261356079
131,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,3,4.847926227254589
132,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1635022945411013
133,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,5,0.27924055068986436
134,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06701773216556746
135,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,7,0.01608425571973618
136,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,0,1.8605727585654086
137,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,1,0.4465374620556979
138,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10716899089336752
139,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,3,0.025720557814408195
140,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,4,0.00812228141507627
141,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.655105492013323
142,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.717441682197896
143,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.132186003727495
144,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2717246408945987
145,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06521391381470369
146,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01565133931552888
147,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.0037563214357269315
148,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009015171445744632
149,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.1520815330300663
150,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.036499567927215905
151,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.008759896302531817
152,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.002102375112607637
153,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0006639079302971484
154,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
155,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1108973699486318
156,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3687948427773982
157,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6022697308220551
158,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,4,0.26499868156170425
159,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,5,0.11659941988714989
160,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05130374475034595
161,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022573647690152212
162,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,0,358.2070143604054
163,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,1,85.97268034938607
164,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,2,20.634389674238584
165,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,3,4.9522535218172585
166,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,4,1.188540845236142
167,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,5,0.28524980285667406
168,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06845995268560179
169,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,7,0.016430388644544436
170,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,0,1.8279557027596653
171,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,1,0.43870936866231974
172,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10529024847895668
173,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,3,0.025269659634949614
174,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,4,0.006064718312387905
175,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,5,0.0019151742039119693
176,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.064586856430267
177,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.81566871388727
178,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1558135023889466
179,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.27739524057334713
180,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.0665748577376033
181,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01597796585702479
182,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.0038347118056859496
183,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009203308333646278
184,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.157282932684046
185,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.03774790384417104
186,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.009059496922601048
187,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.002174279261424252
188,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0005218270227418206
189,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,5,0.00016478748086583804
190,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
191,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1065371064087737
192,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3712544379542813
193,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6033519526998838
194,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,4,0.2654748591879489
195,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,5,0.1168089380426975
196,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05139593273878691
197,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022614210405066237
198,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,0,365.74100510221126
199,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,1,87.78090126646683
200,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,2,21.068150714016717
201,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,3,5.056588090331805
202,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,4,1.2135811416796327
203,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,5,0.2912594740031118
204,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06990227376074683
205,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,7,0.016776545702579245
206,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,0,1.7922851353465772
207,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,1,0.4301484324831784
208,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10323562379596285
209,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,3,0.024776549711031066
210,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,4,0.005946371930647458
211,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,5,0.0014271292633553894
212,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,6,0.0004506723989543333
213,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.47406822084721
214,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.913947673203433
