Region,Time,Vehicle size,Value
BEL,2014,light truck,0.1428576510216006
BEL,2014,minivan_SUV,0.24
BEL,2015,microcar,0.07714234897839932
BEL,2015,passenger car,0.54
BEL,2015,light truck,0.1428576510216006
BEL,2015,minivan_SUV,0.24
BEL,2016,microcar,0.07731371659486266
BEL,2016,passenger car,0.5429984
BEL,2016,light truck,0.1354901234051373
BEL,2016,minivan_SUV,0.24419776
BEL,2017,microcar,0.07748453554232988
BEL,2017,passenger car,0.5459872
BEL,2017,light truck,0.1281461844576701
BEL,2017,minivan_SUV,0.24838208
BEL,2018,microcar,0.07765425715180478
BEL,2018,passenger car,0.5489568000000002
BEL,2018,light truck,0.1208494228481952
BEL,2018,minivan_SUV,0.25253952
BEL,2019,microcar,0.07782233275429125
BEL,2019,passenger car,0.5518976
BEL,2019,light truck,0.1136234272457087
BEL,2019,minivan_SUV,0.25665664
BEL,2020,microcar,0.07798821368079313
BEL,2020,passenger car,0.5548
BEL,2020,light truck,0.1064917863192069
BEL,2020,minivan_SUV,0.26072
BEL,2021,microcar,0.07815135126231426
BEL,2021,passenger car,0.5576544
BEL,2021,light truck,0.09947808873768572
BEL,2021,minivan_SUV,0.26471616
BEL,2022,microcar,0.07831119682985851
BEL,2022,passenger car,0.5604511999999999
BEL,2022,light truck,0.09260592317014146
BEL,2022,minivan_SUV,0.26863168
BEL,2023,microcar,0.07846720171442975
BEL,2023,passenger car,0.5631808
BEL,2023,light truck,0.08589887828557027
BEL,2023,minivan_SUV,0.27245312
BEL,2024,microcar,0.07861881724703178
BEL,2024,passenger car,0.5658335999999999
BEL,2024,light truck,0.07938054275296823
BEL,2024,minivan_SUV,0.27616704
BEL,2025,microcar,0.0787654947586685
BEL,2025,passenger car,0.5684
BEL,2025,light truck,0.0730745052413315
BEL,2025,minivan_SUV,0.27976
BEL,2026,microcar,0.07890668558034375
BEL,2026,passenger car,0.5708704
BEL,2026,light truck,0.06700435441965627
BEL,2026,minivan_SUV,0.28321856
BEL,2027,microcar,0.07904184104306138
BEL,2027,passenger car,0.5732352
BEL,2027,light truck,0.06119367895693864
BEL,2027,minivan_SUV,0.28652928
BEL,2028,microcar,0.07917041247782523
BEL,2028,passenger car,0.5754847999999999
BEL,2028,light truck,0.0556660675221748
BEL,2028,minivan_SUV,0.2896787199999999
BEL,2029,microcar,0.07929185121563917
BEL,2029,passenger car,0.5776096
BEL,2029,light truck,0.05044510878436086
BEL,2029,minivan_SUV,0.29265344
BEL,2030,microcar,0.07940560858750706
BEL,2030,passenger car,0.5795999999999999
BEL,2030,light truck,0.04555439141249299
BEL,2030,minivan_SUV,0.29544
BEL,2031,microcar,0.07951113592443274
BEL,2031,passenger car,0.5814463999999999
BEL,2031,light truck,0.04101750407556732
BEL,2031,minivan_SUV,0.29802496
BEL,2032,microcar,0.07960788455742004
BEL,2032,passenger car,0.5831392
BEL,2032,light truck,0.03685803544258002
BEL,2032,minivan_SUV,0.30039488
BEL,2033,microcar,0.07969530581747285
BEL,2033,passenger car,0.5846688
BEL,2033,light truck,0.03309957418252721
BEL,2033,minivan_SUV,0.30253632
BEL,2034,microcar,0.079772851035595
BEL,2034,passenger car,0.5860255999999999
BEL,2034,light truck,0.02976570896440506
BEL,2034,minivan_SUV,0.30443584
BEL,2035,microcar,0.07983997154279036
BEL,2035,passenger car,0.5871999999999999
BEL,2035,light truck,0.0268800284572097
BEL,2035,minivan_SUV,0.30608
BEL,2036,microcar,0.07989611867006277
BEL,2036,passenger car,0.5881824
BEL,2036,light truck,0.02446612132993729
BEL,2036,minivan_SUV,0.30745536
BEL,2037,microcar,0.07994074374841609
BEL,2037,passenger car,0.5889632
BEL,2037,light truck,0.02254757625158399
BEL,2037,minivan_SUV,0.30854848
BEL,2038,microcar,0.07997329810885416
BEL,2038,passenger car,0.5895328
BEL,2038,light truck,0.02114798189114591
BEL,2038,minivan_SUV,0.30934592
BEL,2039,microcar,0.07999323308238085
BEL,2039,passenger car,0.5898815999999999
BEL,2039,light truck,0.02029092691761922
BEL,2039,minivan_SUV,0.30983424
BEL,2040,microcar,0.08
BEL,2040,passenger car,0.59
BEL,2040,light truck,0.02000000000000007
BEL,2040,minivan_SUV,0.31
BEL,2041,microcar,0.08
BEL,2041,passenger car,0.59
BEL,2041,light truck,0.02000000000000007
BEL,2041,minivan_SUV,0.31
BEL,2042,microcar,0.08
BEL,2042,passenger car,0.59
BEL,2042,light truck,0.02000000000000007
BEL,2042,minivan_SUV,0.31
BEL,2043,microcar,0.08
BEL,2043,passenger car,0.59
BEL,2043,light truck,0.02000000000000007
BEL,2043,minivan_SUV,0.31
BEL,2044,microcar,0.08
BEL,2044,passenger car,0.59
BEL,2044,light truck,0.02000000000000007
BEL,2044,minivan_SUV,0.31
BEL,2045,microcar,0.08
BEL,2045,passenger car,0.59
BEL,2045,light truck,0.02000000000000007
BEL,2045,minivan_SUV,0.31
BEL,2046,microcar,0.08
BEL,2046,passenger car,0.59
BEL,2046,light truck,0.02000000000000007
BEL,2046,minivan_SUV,0.31
BEL,2047,microcar,0.08
BEL,2047,passenger car,0.59
BEL,2047,light truck,0.02000000000000007
BEL,2047,minivan_SUV,0.31
BEL,2048,microcar,0.08
BEL,2048,passenger car,0.59
BEL,2048,light truck,0.02000000000000007
BEL,2048,minivan_SUV,0.31
BEL,2049,microcar,0.08
BEL,2049,passenger car,0.59
BEL,2049,light truck,0.02000000000000007
BEL,2049,minivan_SUV,0.31
BEL,2050,microcar,0.08
BEL,2050,passenger car,0.59
BEL,2050,light truck,0.02000000000000007
BEL,2050,minivan_SUV,0.31
BGR,2012,microcar,0.07714234897839932
BGR,2012,passenger car,0.54
BGR,2012,light truck,0.1428576510216006
BGR,2012,minivan_SUV,0.24
BGR,2013,microcar,0.07714234897839932
BGR,2013,passenger car,0.54
BGR,2013,light truck,0.1428576510216006
BGR,2013,minivan_SUV,0.24
BGR,2014,microcar,0.07714234897839932
BGR,2014,passenger car,0.54
BGR,2014,light truck,0.1428576510216006
BGR,2014,minivan_SUV,0.24
BGR,2015,microcar,0.07714234897839932
BGR,2015,passenger car,0.54
BGR,2015,light truck,0.1428576510216006
BGR,2015,minivan_SUV,0.24
BGR,2016,microcar,0.07731371659486266
BGR,2016,passenger car,0.5429984
BGR,2016,light truck,0.1354901234051373
BGR,2016,minivan_SUV,0.24419776
BGR,2017,microcar,0.07748453554232988
BGR,2017,passenger car,0.5459872
BGR,2017,light truck,0.1281461844576701
BGR,2017,minivan_SUV,0.24838208
BGR,2018,microcar,0.07765425715180478
BGR,2018,passenger car,0.5489568000000002
BGR,2018,light truck,0.1208494228481952
BGR,2018,minivan_SUV,0.25253952
BGR,2019,microcar,0.07782233275429125
BGR,2019,passenger car,0.5518976
BGR,2019,light truck,0.1136234272457087
BGR,2019,minivan_SUV,0.25665664
BGR,2020,microcar,0.07798821368079313
BGR,2020,passenger car,0.5548
BGR,2020,light truck,0.1064917863192069
BGR,2020,minivan_SUV,0.26072
BGR,2021,microcar,0.07815135126231426
BGR,2021,passenger car,0.5576544
BGR,2021,light truck,0.09947808873768572
BGR,2021,minivan_SUV,0.26471616
BGR,2022,microcar,0.07831119682985851
