"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108333 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread) mixed with carded wool or fine animal hair, n.p.r.s.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108333 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread) mixed with carded wool or fine animal hair, n.p.r.s.","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108333 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread) mixed with carded wool or fine animal hair, n.p.r.s.","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108333 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread) mixed with carded wool or fine animal hair, n.p.r.s.","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108336 - Yarn containing < 85 % by weight of synthetic staple fibres, mixed with combed wool or fine animal hair, n.p.r.s.","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","PE",5
