"code","region","time","sector","polymer","element","value","","value","","WEIGHTLIGHTING","","nb of product","","reusable share","","SU + RU"
"2050flexible packaging","EU27+3",2050,"flexible packaging","PET","All",488.87765775235283,"",488.87765775235283,"","","","","","","",""
"2018other","EU27+3",2018,"other","PET","All",127.02702702702703,"",127.02702702702703,"","","","","","","",""
"2019other","EU27+3",2019,"other","PET","All",132.43243243243245,"",132.43243243243245,"","","","","","","",""
"2020other","EU27+3",2020,"other","PET","All",127.02702702702703,"",127.02702702702703,"","","","","","","",""
"2021other","EU27+3",2021,"other","PET","All",132.43243243243245,"",132.43243243243245,"","","","","","","",""
"2022other","EU27+3",2022,"other","PET","All",135,"",135,"","","","","","","",""
"2023other","EU27+3",2023,"other","PET","All",136.35,"",136.35,"","","","","","","",""
"2024other","EU27+3",2024,"other","PET","All",137.71349999999998,"",137.71349999999998,"","","","","","","",""
"2025other","EU27+3",2025,"other","PET","All",139.090635,"",139.090635,"","","","","","","",""
"2026other","EU27+3",2026,"other","PET","All",140.48154135,"",140.48154135,"","","","","","","",""
"2027other","EU27+3",2027,"other","PET","All",141.88635676349998,"",141.88635676349998,"","","","","","","",""
"2028other","EU27+3",2028,"other","PET","All",143.305220331135,"",143.305220331135,"","","","","","","",""
"2029other","EU27+3",2029,"other","PET","All",144.73827253444634,"",144.73827253444634,"","","","","","","",""
"2030other","EU27+3",2030,"other","PET","All",146.1856552597908,"",146.1856552597908,"","","","","","","",""
"2031other","EU27+3",2031,"other","PET","All",147.6475118123887,"",147.6475118123887,"","","","","","","",""
"2032other","EU27+3",2032,"other","PET","All",149.1239869305126,"",149.1239869305126,"","","","","","","",""
"2033other","EU27+3",2033,"other","PET","All",150.61522679981772,"",150.61522679981772,"","","","","","","",""
"2034other","EU27+3",2034,"other","PET","All",152.1213790678159,"",152.1213790678159,"","","","","","","",""
"2035other","EU27+3",2035,"other","PET","All",153.64259285849406,"",153.64259285849406,"","","","","","","",""
"2036other","EU27+3",2036,"other","PET","All",155.179018787079,"",155.179018787079,"","","","","","","",""
"2037other","EU27+3",2037,"other","PET","All",156.73080897494978,"",156.73080897494978,"","","","","","","",""
"2038other","EU27+3",2038,"other","PET","All",158.29811706469928,"",158.29811706469928,"","","","","","","",""
"2039other","EU27+3",2039,"other","PET","All",159.8810982353463,"",159.8810982353463,"","","","","","","",""
"2040other","EU27+3",2040,"other","PET","All",161.47990921769974,"",161.47990921769974,"","","","","","","",""
"2041other","EU27+3",2041,"other","PET","All",163.09470830987675,"",163.09470830987675,"","","","","","","",""
"2042other","EU27+3",2042,"other","PET","All",164.7256553929755,"",164.7256553929755,"","","","","","","",""
"2043other","EU27+3",2043,"other","PET","All",166.37291194690528,"",166.37291194690528,"","","","","","","",""
"2044other","EU27+3",2044,"other","PET","All",168.03664106637433,"",168.03664106637433,"","","","","","","",""
"2045other","EU27+3",2045,"other","PET","All",169.71700747703807,"",169.71700747703807,"","","","","","","",""
"2046other","EU27+3",2046,"other","PET","All",171.41417755180845,"",171.41417755180845,"","","","","","","",""
"2047other","EU27+3",2047,"other","PET","All",173.12831932732652,"",173.12831932732652,"","","","","","","",""
"2048other","EU27+3",2048,"other","PET","All",174.8596025205998,"",174.8596025205998,"","","","","","","",""
"2049other","EU27+3",2049,"other","PET","All",176.6081985458058,"",176.6081985458058,"","","","","","","",""
"2050other","EU27+3",2050,"other","PET","All",178.37428053126388,"",178.37428053126388,"","","","","","","",""
