"region","time","sector","polymer","element","value"
"EU27+3",2018,"single-use beverage bottles","PET","All",731.5815815815815
"EU27+3",2018,"reusable beverage bottles","PET","All",0
"EU27+3",2018,"single-use sheet (tray)","PET","All",251.7017017017017
"EU27+3",2018,"reusable sheet (tray)","PET","All",0
"EU27+3",2018,"single-use non-beverage bottles","PET","All",72.92292292292292
"EU27+3",2018,"reusable non-beverage bottles","PET","All",0
"EU27+3",2018,"flexible packaging","PET","All",87.03703703703704
"EU27+3",2018,"other","PET","All",31.756756756756758
