"region","time","sector","polymer","element","value"
"EU27+3",2040.5,"single-use beverage bottles","PET","All",0
"EU27+3",2040.75,"single-use beverage bottles","PET","All",0
"EU27+3",2041,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2041.25,"single-use beverage bottles","PET","All",0
"EU27+3",2041.5,"single-use beverage bottles","PET","All",0
"EU27+3",2041.75,"single-use beverage bottles","PET","All",0
"EU27+3",2042,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2042.25,"single-use beverage bottles","PET","All",0
"EU27+3",2042.5,"single-use beverage bottles","PET","All",0
"EU27+3",2042.75,"single-use beverage bottles","PET","All",0
"EU27+3",2043,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2043.25,"single-use beverage bottles","PET","All",0
"EU27+3",2043.5,"single-use beverage bottles","PET","All",0
"EU27+3",2043.75,"single-use beverage bottles","PET","All",0
"EU27+3",2044,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2044.25,"single-use beverage bottles","PET","All",0
"EU27+3",2044.5,"single-use beverage bottles","PET","All",0
"EU27+3",2044.75,"single-use beverage bottles","PET","All",0
"EU27+3",2045,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2045.25,"single-use beverage bottles","PET","All",0
"EU27+3",2045.5,"single-use beverage bottles","PET","All",0
"EU27+3",2045.75,"single-use beverage bottles","PET","All",0
"EU27+3",2046,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2046.25,"single-use beverage bottles","PET","All",0
"EU27+3",2046.5,"single-use beverage bottles","PET","All",0
"EU27+3",2046.75,"single-use beverage bottles","PET","All",0
"EU27+3",2047,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2047.25,"single-use beverage bottles","PET","All",0
"EU27+3",2047.5,"single-use beverage bottles","PET","All",0
"EU27+3",2047.75,"single-use beverage bottles","PET","All",0
"EU27+3",2048,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2048.25,"single-use beverage bottles","PET","All",0
"EU27+3",2048.5,"single-use beverage bottles","PET","All",0
"EU27+3",2048.75,"single-use beverage bottles","PET","All",0
"EU27+3",2049,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2049.25,"single-use beverage bottles","PET","All",0
"EU27+3",2049.5,"single-use beverage bottles","PET","All",0
"EU27+3",2049.75,"single-use beverage bottles","PET","All",0
"EU27+3",2050,"single-use beverage bottles","PET","All",0.010000000000000009
"EU27+3",2018.25,"reusable beverage bottles","PET","All",7
"EU27+3",2018.5,"reusable beverage bottles","PET","All",7
"EU27+3",2018.75,"reusable beverage bottles","PET","All",7
"EU27+3",2019,"reusable beverage bottles","PET","All",7
"EU27+3",2019.25,"reusable beverage bottles","PET","All",7
"EU27+3",2019.5,"reusable beverage bottles","PET","All",7
"EU27+3",2019.75,"reusable beverage bottles","PET","All",7
"EU27+3",2020,"reusable beverage bottles","PET","All",7
"EU27+3",2020.25,"reusable beverage bottles","PET","All",7
"EU27+3",2020.5,"reusable beverage bottles","PET","All",7
"EU27+3",2020.75,"reusable beverage bottles","PET","All",7
"EU27+3",2021,"reusable beverage bottles","PET","All",7
"EU27+3",2021.25,"reusable beverage bottles","PET","All",7
"EU27+3",2021.5,"reusable beverage bottles","PET","All",7
"EU27+3",2021.75,"reusable beverage bottles","PET","All",7
"EU27+3",2022,"reusable beverage bottles","PET","All",7
"EU27+3",2022.25,"reusable beverage bottles","PET","All",7
"EU27+3",2022.5,"reusable beverage bottles","PET","All",7
"EU27+3",2022.75,"reusable beverage bottles","PET","All",7
"EU27+3",2023,"reusable beverage bottles","PET","All",7
"EU27+3",2023.25,"reusable beverage bottles","PET","All",7
"EU27+3",2023.5,"reusable beverage bottles","PET","All",7
"EU27+3",2023.75,"reusable beverage bottles","PET","All",7
"EU27+3",2024,"reusable beverage bottles","PET","All",7
"EU27+3",2024.25,"reusable beverage bottles","PET","All",7
"EU27+3",2024.5,"reusable beverage bottles","PET","All",7
"EU27+3",2024.75,"reusable beverage bottles","PET","All",7
"EU27+3",2025,"reusable beverage bottles","PET","All",7
"EU27+3",2025.25,"reusable beverage bottles","PET","All",7
"EU27+3",2025.5,"reusable beverage bottles","PET","All",7
"EU27+3",2025.75,"reusable beverage bottles","PET","All",7
"EU27+3",2026,"reusable beverage bottles","PET","All",7
"EU27+3",2026.25,"reusable beverage bottles","PET","All",7
"EU27+3",2026.5,"reusable beverage bottles","PET","All",7
"EU27+3",2026.75,"reusable beverage bottles","PET","All",7
"EU27+3",2027,"reusable beverage bottles","PET","All",7
"EU27+3",2027.25,"reusable beverage bottles","PET","All",7
"EU27+3",2027.5,"reusable beverage bottles","PET","All",7
"EU27+3",2027.75,"reusable beverage bottles","PET","All",7
"EU27+3",2028,"reusable beverage bottles","PET","All",7
"EU27+3",2028.25,"reusable beverage bottles","PET","All",7
"EU27+3",2028.5,"reusable beverage bottles","PET","All",7
"EU27+3",2028.75,"reusable beverage bottles","PET","All",7
"EU27+3",2029,"reusable beverage bottles","PET","All",7
"EU27+3",2029.25,"reusable beverage bottles","PET","All",7
"EU27+3",2029.5,"reusable beverage bottles","PET","All",7
"EU27+3",2029.75,"reusable beverage bottles","PET","All",7
"EU27+3",2030,"reusable beverage bottles","PET","All",7
