"PET bottles (beverage) placed on the market","","","","","","","","placed on the market",2022,"","shares","","PET converter demand","","","",""
2022,3110,"kt","","","","","","beverage bottles",3110,"kt",0.6226226226226226,"",2018,4700,"kt","",""
"","","","","","","","","other bottles",310,"kt",0.062062062062062065,"",2019,4900,"kt",0.0004955401387511937,""
"p. 51","","","","","","","","trays",1070,"kt",0.21421421421421422,"",2020,4700,"kt",0.0004952947003467045,""
"Share of reusable beverage bottles","","","","","","","","flexible",370,"kt",0.07407407407407407,"",2021,4900,"kt",0.0004950495049504955,""
2022,0.012,"","","","","","","other",135,"kt",0.02702702702702703,"","","","","",""
"Assumption: share based on weight put on the market","","","","","","","","TOTAL",4995,"",1,"","","","","",""
"","","","","","","","","","","","","","","","","",""
"p. 52","","","","","","","","","","","","","","","","",""
"Reusable targets for beverage bottles","","","","","","","","","","","","","","","","",""
2030,0.1,"","","","","","","","","","","","","","","",""
2040,0.25,"","","","","","","","","","","","","","","",""
"Assumption: share based on weight put on the market","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"p. 52","","","","","","","","","","","","","","","","",""
"Annual growth rate in beverage bottles placed on the market","","","","","","","","","","","","","","","","",""
"",0.01,0.02,"","","","","","","","","","","","","","",""
"Assumption: growth rate of weight placed on the market","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"BEVERAGE BOTTLES","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Roland Fehringer (2019) Ökobilanz für Gebinde aus PET und anderen Materialien (Akronym: ALPLA LCA Packaging). c7-consult, Version 1.2.","","","","","","","","","","","","","","","","",""
"https://www.researchgate.net/profile/Roland-Fehringer/publication/349816653_Life_cycle_assessment_of_various_packaging_units_and_alternative_materials/links/60422be592851c077f18c10d/Life-cycle-assessment-of-various-packaging-units-and-alternative-materials.pdf","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Weight of PET beverage bottles","","","","","","","","WEIGHTLIGHTING","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"[g]","single-use","reusable","ratio","source","","","","ratio 1L bottles from ALPLA (light weight / current weight)","","","","","","","","",""
"1L mineral water",24.9,65,2.610441767068273,"Table 1 p. 22","","","","LW/CW",0.6729729729729729,"","","","","","","",""
"0.5 L CSD",20.76,50,2.4084778420038533,"Table 3 p. 26","","","","Assumption:",0.7,"","","","","","","",""
"with cap and label:","","","","","","","","","","","","","","","","",""
"1L mineral water",28.26,69,2.4416135881104033,"","","","","","","","","","","","","",""
"0.5 L CSD",23.22,53.3,2.2954349698535745,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"ALPLA","","","","","","","","","","","","","","","","",""
"https://product-catalogue.alpla.com/product/1000-ml-beverage-bottle-38-mm-3-start","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"[g]","single-use","reusable","","[kt]","single-use","reusable","","","","","","","","","","",""
"1L non-carbonated drink",37,96.5863453815261,2.610441767068273,"1L non-carbonated drink",3.7e-08,9.658634538152611e-08,"","","","","","","","","","",""
"with cap and label:","","","","with cap and label:","","","","","","","","","","","","",""
"",41.992771084337356,102.53012048192772,2.4416135881104033,"",4.199277108433736e-08,1.0253012048192774e-07,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TRAYS","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"PLUS-PACK","","","","","","","","WEIGHTLIGHTING","","","","","","","","",""
"https://www.pluspack.com/products/product/96ml-clear-apet-tray-euro-pal/01tQF000007sspRYAQ","","","","","","","","","","","","","","","","",""
"https://www.pluspack.com/products/product/2126ml-clear-dpet-tray-euro-pal/01tQF000007sssHYAQ","","","","","","","","https://www.kpfilms.com/en/food-packaging/rigid-food-packaging-films/mono-rigid-films#/mono","","","","","","","","",""
