"region","(Alle)"
"sector","(Alle)"
"polymer","(Alle)"
"element","(Alle)"
"",""
"Zeilenbeschriftungen","Summe von value"
2018,1174.9999999999998
2018.25,1174.9999999999998
2018.5,1174.9999999999998
2018.75,1174.9999999999998
2019,1224.9867429959088
2019.25,1224.9867429959088
2019.5,1224.9867429959088
2019.75,1224.9867429959088
2020,1174.974681618549
2020.25,1174.974681618549
2020.5,1174.974681618549
2020.75,1174.974681618549
2021,1224.9605821590242
2021.25,1224.9605821590242
2021.5,1224.9605821590242
2021.75,1224.9605821590242
2022,1248.6966607435586
2022.25,1248.6966607435586
2022.5,1248.6966607435586
2022.75,1248.6966607435586
2023,1240.6671406419491
2023.25,1240.6671406419491
2023.5,1240.6671406419491
2023.75,1240.6671406419491
2024,1231.2827948453034
2024.25,1231.2827948453034
2024.5,1231.2827948453034
2024.75,1231.2827948453034
2025,1220.506636135463
2025.25,1220.506636135463
2025.5,1220.506636135463
2025.75,1220.506636135463
2026,1208.3009660959112
2026.25,1208.3009660959112
2026.5,1208.3009660959112
2026.75,1208.3009660959112
2027,1194.6273635171642
2027.25,1194.6273635171642
2027.5,1194.6273635171642
2027.75,1194.6273635171642
2028,1179.4466726306944
2028.25,1179.4466726306944
2028.5,1179.4466726306944
2028.75,1179.4466726306944
2029,1162.7189911690095
2029.25,1162.7189911690095
2029.5,1162.7189911690095
2029.75,1162.7189911690095
2030,1144.403658249483
2030.25,1144.403658249483
2030.5,1144.403658249483
2030.75,1144.403658249483
2031,1172.8283781821842
2031.25,1172.8283781821842
2031.5,1172.8283781821842
2031.75,1172.8283781821842
2032,1201.7071521477149
2032.25,1201.7071521477149
2032.5,1201.7071521477149
2032.75,1201.7071521477149
2033,1231.0462187547375
2033.25,1231.0462187547375
2033.5,1231.0462187547375
2033.75,1231.0462187547375
2034,1260.851895978686
2034.25,1260.851895978686
2034.5,1260.851895978686
2034.75,1260.851895978686
2035,1291.1305821252377
2035.25,1291.1305821252377
2035.5,1291.1305821252377
2035.75,1291.1305821252377
2036,1321.888756805123
2036.25,1321.888756805123
2036.5,1321.888756805123
2036.75,1321.888756805123
2037,1353.1329819203934
2037.25,1353.1329819203934
2037.5,1353.1329819203934
2037.75,1353.1329819203934
2038,1384.8699026622883
2038.25,1384.8699026622883
2038.5,1384.8699026622883
2038.75,1384.8699026622883
2039,1417.106248520829
2039.25,1417.106248520829
2039.5,1417.106248520829
2039.75,1417.106248520829
2040,1449.8488343062752
2040.25,1449.8488343062752
2040.5,1449.8488343062752
2040.75,1449.8488343062752
2041,1495.6093868714038
2041.25,1495.6093868714038
2041.5,1495.6093868714038
2041.75,1495.6093868714038
2042,1542.140165604405
2042.25,1542.140165604405
2042.5,1542.140165604405
2042.75,1542.140165604405
2043,1589.451998973378
2043.25,1589.451998973378
2043.5,1589.451998973378
2043.75,1589.451998973378
2044,1637.5558549931711
2044.25,1637.5558549931711
2044.5,1637.5558549931711
2044.75,1637.5558549931711
2045,1686.4628429334625
2045.25,1686.4628429334625
2045.5,1686.4628429334625
2045.75,1686.4628429334625
2046,1736.1842150470602
2046.25,1736.1842150470602
2046.5,1736.1842150470602
2046.75,1736.1842150470602
2047,1786.7313683186367
2047.25,1786.7313683186367
2047.5,1786.7313683186367
2047.75,1786.7313683186367
2048,1838.1158462341396
2048.25,1838.1158462341396
2048.5,1838.1158462341396
2048.75,1838.1158462341396
2049,1890.3493405711213
2049.25,1890.3493405711213
2049.5,1890.3493405711213
2049.75,1890.3493405711213
2050,1943.443693210219
2050.25,1943.443693210219
2050.5,1943.443693210219
2050.75,1943.443693210219
"Gesamtergebnis",183444.11421984996
