"total",108178127287.04562,109259908559.91608,110352507645.51524,111456032721.9704,112570593049.19011,113696298979.682,114833261969.47882,115981594589.17361,117141410535.06535,118312824640.416,119495952886.82016,120690912415.68837,121897821539.84526,123116799755.24371,124347967752.79616,125591447430.32413,126847361904.62737,128115835523.67365,129396993878.91039
"single-use",106879989759.60107,106659770591.71378,106450369236.5552,106251893872.25261,106064453758.71457,105888159248.44872,105723121797.48778,105569453976.42482,105427269481.55882,104535172845.28735,103654790350.06941,102786239137.31552,101929637519.8503,101085104993.62665,100252762249.55698,99432731185.46284,98625134918.14398,97830097795.56815,97047745409.18279
"reusable",1298137527.4445474,2600137968.2022963,3902138408.960045,5204138849.717793,6506139290.475542,7808139731.233291,9110140171.99104,10412140612.748789,11714141053.506536,13777651795.128643,15841162536.750748,17904673278.372856,19968184019.99496,22031694761.617065,24095205503.239174,26158716244.86128,28222226986.483383,30285737728.10549,32349248469.727596
"","","","","","","","","","","","","","","","","","","",""
"kt",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"total",3110.0000000000005,3193.61463672779,3277.534984843294,3361.764101460387,3446.3050742640867,3531.1610218162577,3616.335093864387,3701.830471653432,3787.650368240804,3904.821958471697,4022.324590328764,4140.161574228264,4258.3362536906225,4376.852005671467,4495.712240895984,4614.920404196609,4734.479974854103,4854.394466942034,4974.667429674711
"single-use",3020.4285106063267,3014.2051169218316,3008.2874346250505,3002.6785208298593,2997.3814632212743,2992.3993803611606,2987.7354219970052,2983.392769373766,2979.374635548853,2954.163984607821,2929.284375292962,2904.739118020537,2880.53155631097,2856.6650671198895,2833.1430611724804,2809.9689833011803,2787.146312786749,2764.678563702756,2742.569285263506
"reusable",89.57148939367377,179.40951980595844,269.24755021824313,359.0855806305278,448.9236110428124,538.7616414550971,628.5996718673817,718.4377022796664,808.2757326919511,950.6579738638764,1093.0402150358018,1235.4224562077272,1377.8046973796525,1520.1869385515777,1662.569179723503,1804.9514208954283,1947.3336620673535,2089.7159032392788,2232.0981444112044
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"# 0.5L CSD",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"total",131886064010.96478,133204924651.07443,134536973897.58517,135882343636.56102,137241167072.92664,138613578743.6559,139999714531.09247,141399711676.40338,142813708793.16742,144241845881.0991,145684264339.9101,147141106983.3092,148612518053.1423,150098643233.67374,151599629666.01047,153115625962.67056,154646782222.29727,156193250044.52023,157755182544.96542
"single-use",130303431242.8332,130034949619.04471,129779656601.6573,129537684076.735,129309165249.20247,129094234656.0336,128893028179.57202,128705683060.98479,128532337913.85068,127444732526.08989,126371408509.20844,125312508676.91507,124268177271.05573,123238559975.89468,122223803932.53896,121224057753.50659,120239471537.44084,119270196883.97134,118316386908.72406
"reusable",1582632768.1315775,3169975032.029723,4757317295.927869,6344659559.8260145,7932001823.72416,9519344087.622307,11106686351.52045,12694028615.418598,14281370879.316742,16797113355.009203,19312855830.701664,21828598306.394127,24344340782.086586,26860083257.77905,29375825733.47151,31891568209.16397,34407310684.85643,36923053160.5489,39438795636.241356
"","","","","","","","","","","","","","","","","","","",""
"kt",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
